program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length_reads,divergent_reads,average_divergence,dropped_reads_percentage,incorrect_length_percentage,divergent_reads_percentage,average_divergence_percentage,perfectly_reconstructed,perfectly_reconstructed_percentage
SeqPrep,gen_n1000000_l1000_se_sp.fq.gz,1000000,1000,1000000,1325,998675,1325,1325,815.4037735849057,99.867,0.133,100.0,81.54,0,0.0
SeqPrep,gen_n1000000_l100_se_sp.fq.gz,1000000,100,1000000,1000000,0,0,22170,0.02242,0.0,0.0,2.217,0.022,977830,97.783
SeqPrep,gen_n1000000_l101_se_sp.fq.gz,1000000,101,1000000,1000000,0,0,22378,0.022612,0.0,0.0,2.238,0.022,977622,97.762
SeqPrep,gen_n1000000_l102_se_sp.fq.gz,1000000,102,1000000,1000000,0,0,22585,0.022857,0.0,0.0,2.259,0.022,977415,97.742
SeqPrep,gen_n1000000_l103_se_sp.fq.gz,1000000,103,1000000,1000000,0,0,22408,0.022662,0.0,0.0,2.241,0.022,977592,97.759
SeqPrep,gen_n1000000_l104_se_sp.fq.gz,1000000,104,1000000,1000000,0,0,23020,0.023289,0.0,0.0,2.302,0.022,976980,97.698
SeqPrep,gen_n1000000_l105_se_sp.fq.gz,1000000,105,1000000,1000000,0,0,23053,0.023338,0.0,0.0,2.305,0.022,976947,97.695
SeqPrep,gen_n1000000_l106_se_sp.fq.gz,1000000,106,1000000,999996,4,0,23369,0.023627094508378032,0.0,0.0,2.337,0.022,976627,97.663
SeqPrep,gen_n1000000_l107_se_sp.fq.gz,1000000,107,1000000,999988,12,2,23356,0.023691284295411546,0.001,0.0,2.336,0.022,976632,97.663
SeqPrep,gen_n1000000_l108_se_sp.fq.gz,1000000,108,1000000,999972,28,10,24298,0.02486969635149784,0.003,0.001,2.43,0.023,975674,97.567
SeqPrep,gen_n1000000_l109_se_sp.fq.gz,1000000,109,1000000,999906,94,20,24311,0.02522237090286487,0.009,0.002,2.431,0.023,975595,97.559
SeqPrep,gen_n1000000_l10_se_sp.fq.gz,1000000,10,1000000,1000000,0,0,2323,0.002326,0.0,0.0,0.232,0.023,997677,99.768
SeqPrep,gen_n1000000_l110_se_sp.fq.gz,1000000,110,1000000,999675,325,95,24599,0.028031110110786007,0.033,0.009,2.461,0.025,975076,97.508
SeqPrep,gen_n1000000_l111_se_sp.fq.gz,1000000,111,1000000,997866,2134,189,24868,0.03144610599018305,0.213,0.019,2.492,0.028,972998,97.3
SeqPrep,gen_n1000000_l112_se_sp.fq.gz,1000000,112,1000000,996084,3916,569,25212,0.04421414258235249,0.392,0.057,2.531,0.039,970872,97.087
SeqPrep,gen_n1000000_l113_se_sp.fq.gz,1000000,113,1000000,994143,5857,980,26045,0.05852075606829198,0.586,0.098,2.62,0.052,968098,96.81
SeqPrep,gen_n1000000_l114_se_sp.fq.gz,1000000,114,1000000,995457,4543,1016,26412,0.06013519418719242,0.454,0.102,2.653,0.053,969045,96.904
SeqPrep,gen_n1000000_l115_se_sp.fq.gz,1000000,115,1000000,995259,4741,1051,26687,0.06168645548545655,0.474,0.105,2.681,0.054,968572,96.857
SeqPrep,gen_n1000000_l116_se_sp.fq.gz,1000000,116,1000000,988496,11504,1004,25483,0.05948734238681795,1.15,0.1,2.578,0.051,963013,96.301
SeqPrep,gen_n1000000_l117_se_sp.fq.gz,1000000,117,1000000,987722,12278,1013,25827,0.060087757486418245,1.228,0.101,2.615,0.051,961895,96.189
SeqPrep,gen_n1000000_l118_se_sp.fq.gz,1000000,118,1000000,987730,12270,1008,25926,0.060424407479776863,1.227,0.101,2.625,0.051,961804,96.18
SeqPrep,gen_n1000000_l119_se_sp.fq.gz,1000000,119,1000000,987295,12705,1060,26302,0.06281202680050035,1.27,0.106,2.664,0.053,960993,96.099
SeqPrep,gen_n1000000_l11_se_sp.fq.gz,1000000,11,1000000,1000000,0,0,2504,0.002506,0.0,0.0,0.25,0.023,997496,99.75
SeqPrep,gen_n1000000_l120_se_sp.fq.gz,1000000,120,1000000,986867,13133,1006,26320,0.06076908033200016,1.313,0.101,2.667,0.051,960547,96.055
SeqPrep,gen_n1000000_l121_se_sp.fq.gz,1000000,121,1000000,986966,13034,714,26412,0.0515164656127972,1.303,0.071,2.676,0.043,960554,96.055
SeqPrep,gen_n1000000_l122_se_sp.fq.gz,1000000,122,1000000,986450,13550,546,26557,0.04606214202443104,1.355,0.055,2.692,0.038,959893,95.989
SeqPrep,gen_n1000000_l123_se_sp.fq.gz,1000000,123,1000000,985898,14102,498,26827,0.045006684261455036,1.41,0.05,2.721,0.037,959071,95.907
SeqPrep,gen_n1000000_l124_se_sp.fq.gz,1000000,124,1000000,985559,14441,458,26644,0.04395880916312468,1.444,0.046,2.703,0.035,958915,95.891
SeqPrep,gen_n1000000_l125_se_sp.fq.gz,1000000,125,1000000,983715,16285,504,27107,0.04628169744285693,1.629,0.05,2.756,0.037,956608,95.661
SeqPrep,gen_n1000000_l126_se_sp.fq.gz,1000000,126,1000000,983643,16357,249,29284,0.039226629986692324,1.636,0.025,2.977,0.031,954359,95.436
