program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,avg_divergence_per_nt,edit_distances
bbmerge,gen_n1000000_l1000_merged.fq,1000000,1000,999925,841,999159,83.635,759:6 760:6 761:10 762:7 763:5 764:10 765:6 766:4 767:3 768:2 769:2 770:9 771:5 772:3 773:1 774:5 775:2 776:1 777:2 779:1 780:5 781:2 782:4 783:2 784:3 785:2 787:1 789:3 793:5 794:3 795:1 796:3 797:1 799:3 802:1 804:2 806:1 807:4 808:1 810:1 811:2 812:1 813:11 816:1 817:2 818:2 819:2 823:2 824:2 825:3 826:4 827:3 828:3 829:1 830:6 831:11 832:5 833:2 834:1 835:1 836:7 838:1 839:1 840:6 842:1 843:1 844:2 845:1 847:3 848:6 849:22 850:292 851:205 852:57 853:1 854:2 855:4 858:1 860:2 861:1 862:2 863:2 864:7 865:2 868:2 870:1 873:1 874:1 875:2 876:1 883:1
bbmerge,gen_n1000000_l100_merged.fq,1000000,100,999920,985644,14356,0.03,0:956123 1:29235 2:286
bbmerge,gen_n1000000_l101_merged.fq,1000000,101,999935,983446,16554,0.03,0:953681 1:29471 2:294
bbmerge,gen_n1000000_l102_merged.fq,1000000,102,999917,984361,15639,0.03,0:954112 1:29945 2:303 3:1
bbmerge,gen_n1000000_l103_merged.fq,1000000,103,999903,984785,15215,0.03,0:954377 1:30128 2:279 3:1
bbmerge,gen_n1000000_l104_merged.fq,1000000,104,999925,985002,14998,0.031,0:953651 1:30978 2:373
bbmerge,gen_n1000000_l105_merged.fq,1000000,105,999923,984476,15524,0.031,0:953271 1:30869 2:336
bbmerge,gen_n1000000_l106_merged.fq,1000000,106,999916,984600,15400,0.031,0:952520 1:31713 2:366 3:1
bbmerge,gen_n1000000_l107_merged.fq,1000000,107,999918,985516,14484,0.031,0:953292 1:31853 2:370 3:1
bbmerge,gen_n1000000_l108_merged.fq,1000000,108,999914,986350,13650,0.031,0:953757 1:32198 2:394 3:1
bbmerge,gen_n1000000_l109_merged.fq,1000000,109,999902,988125,11875,0.031,0:954903 1:32780 2:441 3:1
bbmerge,gen_n1000000_l10_merged.fq,1000000,10,999908,509566,490434,0.0,0:509559 1:7
bbmerge,gen_n1000000_l110_merged.fq,1000000,110,999908,988094,11906,0.031,0:954623 1:33072 2:398 3:1
bbmerge,gen_n1000000_l111_merged.fq,1000000,111,999918,986265,13735,0.031,0:952313 1:33502 2:448 3:2
bbmerge,gen_n1000000_l112_merged.fq,1000000,112,999923,987150,12850,0.031,0:953109 1:33555 2:483 3:3
bbmerge,gen_n1000000_l113_merged.fq,1000000,113,999927,987924,12076,0.031,0:953591 1:33907 2:422 3:4
bbmerge,gen_n1000000_l114_merged.fq,1000000,114,999920,988155,11845,0.031,0:953308 1:34376 2:470 3:1
bbmerge,gen_n1000000_l115_merged.fq,1000000,115,999922,989130,10870,0.031,0:953853 1:34742 2:535
bbmerge,gen_n1000000_l116_merged.fq,1000000,116,999925,987773,12227,0.032,0:952043 1:35229 2:499 3:2
bbmerge,gen_n1000000_l117_merged.fq,1000000,117,999908,988263,11737,0.032,0:951944 1:35781 2:535 3:3
bbmerge,gen_n1000000_l118_merged.fq,1000000,118,999928,989317,10683,0.032,0:952963 1:35839 2:511 3:4
bbmerge,gen_n1000000_l119_merged.fq,1000000,119,999913,990545,9455,0.032,0:953372 1:36612 2:558 3:3
bbmerge,gen_n1000000_l11_merged.fq,1000000,11,999915,810014,189986,0.0,0:810006 1:8
bbmerge,gen_n1000000_l120_merged.fq,1000000,120,999910,990056,9944,0.032,0:952647 1:36870 2:538 3:1
bbmerge,gen_n1000000_l121_merged.fq,1000000,121,999922,988704,11296,0.032,0:951003 1:37093 2:606 3:2
bbmerge,gen_n1000000_l122_merged.fq,1000000,122,999929,988623,11377,0.033,0:950017 1:37980 2:626
bbmerge,gen_n1000000_l123_merged.fq,1000000,123,999907,989162,10838,0.033,0:950143 1:38373 2:642 3:4
bbmerge,gen_n1000000_l124_merged.fq,1000000,124,999918,988992,11008,0.032,0:950102 1:38200 2:688 3:2
bbmerge,gen_n1000000_l125_merged.fq,1000000,125,999912,988991,11009,0.032,0:949888 1:38467 2:631 3:5
bbmerge,gen_n1000000_l126_merged.fq,1000000,126,999904,986144,13856,0.034,0:944453 1:40916 2:770 3:5
bbmerge,gen_n1000000_l127_merged.fq,1000000,127,999917,985569,14431,0.036,0:941674 1:43011 2:878 3:6
bbmerge,gen_n1000000_l128_merged.fq,1000000,128,999934,985162,14838,0.037,0:939049 1:45186 2:922 3:5
bbmerge,gen_n1000000_l129_merged.fq,1000000,129,999910,984922,15078,0.039,0:935946 1:47907 2:1054 3:15
bbmerge,gen_n1000000_l12_merged.fq,1000000,12,999899,865371,134629,0.0,0:865365 1:6
bbmerge,gen_n1000000_l130_merged.fq,1000000,130,999921,985047,14953,0.042,0:932745 1:51050 2:1232 3:19 4:1
bbmerge,gen_n1000000_l131_merged.fq,1000000,131,999920,983653,16347,0.044,0:928872 1:53475 2:1282 3:24
bbmerge,gen_n1000000_l132_merged.fq,1000000,132,999910,982734,17266,0.045,0:925600 1:55656 2:1461 3:17
bbmerge,gen_n1000000_l133_merged.fq,1000000,133,999905,982412,17588,0.047,0:923121 1:57607 2:1661 3:23
bbmerge,gen_n1000000_l134_merged.fq,1000000,134,999926,982484,17516,0.048,0:921352 1:59242 2:1857 3:32 4:1
bbmerge,gen_n1000000_l135_merged.fq,1000000,135,999913,983850,16150,0.05,0:920127 1:61704 2:1991 3:28
bbmerge,gen_n1000000_l136_merged.fq,1000000,136,999918,982424,17576,0.051,0:916734 1:63625 2:2020 3:45
bbmerge,gen_n1000000_l137_merged.fq,1000000,137,999930,982585,17415,0.052,0:914766 1:65555 2:2217 3:45 4:2
bbmerge,gen_n1000000_l138_merged.fq,1000000,138,999914,982609,17391,0.053,0:912835 1:67404 2:2319 3:51
bbmerge,gen_n1000000_l139_merged.fq,1000000,139,999915,982111,17889,0.055,0:910209 1:69428 2:2417 3:56 4:1
bbmerge,gen_n1000000_l13_merged.fq,1000000,13,999918,892291,107709,0.0,0:892287 1:4
bbmerge,gen_n1000000_l140_merged.fq,1000000,140,999933,982556,17444,0.056,0:908885 1:70986 2:2637 3:47 4:1
bbmerge,gen_n1000000_l141_merged.fq,1000000,141,999920,980907,19093,0.057,0:905197 1:72871 2:2779 3:60
bbmerge,gen_n1000000_l142_merged.fq,1000000,142,999926,980927,19073,0.058,0:903142 1:74730 2:2983 3:70 4:2
bbmerge,gen_n1000000_l143_merged.fq,1000000,143,999923,980588,19412,0.06,0:899949 1:77390 2:3163 3:82 4:4
bbmerge,gen_n1000000_l144_merged.fq,1000000,144,999929,980991,19009,0.061,0:898652 1:78962 2:3295 3:80 4:2
bbmerge,gen_n1000000_l145_merged.fq,1000000,145,999941,982068,17932,0.062,0:897739 1:80711 2:3512 3:103 4:3
bbmerge,gen_n1000000_l146_merged.fq,1000000,146,999918,980240,19760,0.063,0:893508 1:82910 2:3704 3:115 4:3
bbmerge,gen_n1000000_l147_merged.fq,1000000,147,999928,980861,19139,0.064,0:892299 1:84625 2:3817 3:119 4:1
bbmerge,gen_n1000000_l148_merged.fq,1000000,148,999929,980488,19512,0.066,0:889511 1:86815 2:4038 3:123 4:1
bbmerge,gen_n1000000_l149_merged.fq,1000000,149,999905,980249,19751,0.066,0:888116 1:87783 2:4218 3:127 4:5
bbmerge,gen_n1000000_l14_merged.fq,1000000,14,999905,900174,99826,0.0,0:900166 1:8
bbmerge,gen_n1000000_l150_merged.fq,1000000,150,999910,981306,18694,0.068,0:885949 1:90715 2:4513 3:125 4:4
bbmerge,gen_n1000000_l151_merged.fq,1000000,151,999918,980515,19485,0.069,0:883678 1:92118 2:4567 3:150 4:2
bbmerge,gen_n1000000_l152_merged.fq,1000000,152,999907,980398,19602,0.07,0:881081 1:94186 2:4971 3:156 4:4
bbmerge,gen_n1000000_l153_merged.fq,1000000,153,999917,979181,20819,0.071,0:877814 1:96130 2:5067 3:166 4:4
bbmerge,gen_n1000000_l154_merged.fq,1000000,154,999919,979101,20899,0.072,0:875945 1:97598 2:5361 3:193 4:3 5:1
bbmerge,gen_n1000000_l155_merged.fq,1000000,155,999921,980103,19897,0.073,0:874729 1:99712 2:5459 3:198 4:5
bbmerge,gen_n1000000_l156_merged.fq,1000000,156,999910,978628,21372,0.074,0:871115 1:101670 2:5638 3:200 4:5
bbmerge,gen_n1000000_l157_merged.fq,1000000,157,999908,978946,21054,0.075,0:869344 1:103470 2:5917 3:211 4:4
bbmerge,gen_n1000000_l158_merged.fq,1000000,158,999901,978688,21312,0.076,0:867604 1:104590 2:6243 3:243 4:8
bbmerge,gen_n1000000_l159_merged.fq,1000000,159,999923,977569,22431,0.078,0:863905 1:107076 2:6306 3:274 4:8
bbmerge,gen_n1000000_l15_merged.fq,1000000,15,999912,905276,94724,0.0,0:905270 1:6
