program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
ClipAndMerge,gen_n1000000_l1000_merged.fq,1000000,1000,999921,6056,993865,6056,0,0,99.386,0.606,0.0,0.0,6056,
ClipAndMerge,gen_n1000000_l100_merged.fq,1000000,100,999928,1000000,-72,0,21984,978016,-0.007,0.0,2.198,97.802,21984,
ClipAndMerge,gen_n1000000_l101_merged.fq,1000000,101,999921,1000000,-79,0,22171,977829,-0.008,0.0,2.217,97.783,22171,
ClipAndMerge,gen_n1000000_l102_merged.fq,1000000,102,999926,999998,-72,0,22605,977393,-0.007,0.0,2.26,97.739,22605,
ClipAndMerge,gen_n1000000_l103_merged.fq,1000000,103,999915,999999,-84,0,22765,977234,-0.008,0.0,2.276,97.723,22765,
ClipAndMerge,gen_n1000000_l104_merged.fq,1000000,104,999911,999999,-88,0,22916,977083,-0.009,0.0,2.292,97.708,22916,
ClipAndMerge,gen_n1000000_l105_merged.fq,1000000,105,999920,999999,-79,0,23141,976858,-0.008,0.0,2.314,97.686,23141,
ClipAndMerge,gen_n1000000_l106_merged.fq,1000000,106,999938,999999,-61,0,23564,976435,-0.006,0.0,2.356,97.644,23564,
ClipAndMerge,gen_n1000000_l107_merged.fq,1000000,107,999913,1000000,-87,0,23898,976102,-0.009,0.0,2.39,97.61,23898,
ClipAndMerge,gen_n1000000_l108_merged.fq,1000000,108,999922,999998,-76,0,23841,976157,-0.008,0.0,2.384,97.616,23841,
ClipAndMerge,gen_n1000000_l109_merged.fq,1000000,109,999923,1000000,-77,0,24085,975915,-0.008,0.0,2.409,97.591,24085,
ClipAndMerge,gen_n1000000_l10_merged.fq,1000000,10,999901,973997,25904,0,11,973986,2.59,0.0,0.001,97.399,11,
ClipAndMerge,gen_n1000000_l110_merged.fq,1000000,110,999916,999998,-82,0,24589,975409,-0.008,0.0,2.459,97.541,24589,
ClipAndMerge,gen_n1000000_l111_merged.fq,1000000,111,999908,999995,-87,0,24725,975270,-0.009,0.0,2.473,97.527,24725,
ClipAndMerge,gen_n1000000_l112_merged.fq,1000000,112,999924,999997,-73,0,24951,975046,-0.007,0.0,2.495,97.505,24951,
ClipAndMerge,gen_n1000000_l113_merged.fq,1000000,113,999914,999987,-73,0,25013,974974,-0.007,0.0,2.501,97.497,25013,
ClipAndMerge,gen_n1000000_l114_merged.fq,1000000,114,999932,999945,-13,2,25501,974442,-0.001,0.0,2.55,97.444,25503,
ClipAndMerge,gen_n1000000_l115_merged.fq,1000000,115,999935,999838,97,9,25882,973947,0.01,0.001,2.588,97.395,25891,
ClipAndMerge,gen_n1000000_l116_merged.fq,1000000,116,999926,999552,374,10,26287,973255,0.037,0.001,2.629,97.326,26297,
ClipAndMerge,gen_n1000000_l117_merged.fq,1000000,117,999917,998368,1549,14,27334,971020,0.155,0.001,2.733,97.102,27348,
ClipAndMerge,gen_n1000000_l118_merged.fq,1000000,118,999936,995700,4236,41,28915,966744,0.424,0.004,2.892,96.674,28956,
ClipAndMerge,gen_n1000000_l119_merged.fq,1000000,119,999928,986371,13557,122,33581,952668,1.356,0.012,3.358,95.267,33703,
ClipAndMerge,gen_n1000000_l11_merged.fq,1000000,11,999928,971432,28496,8,14,971410,2.85,0.001,0.001,97.141,22,
ClipAndMerge,gen_n1000000_l120_merged.fq,1000000,120,999913,973384,26529,313,38951,934120,2.653,0.031,3.895,93.412,39264,
ClipAndMerge,gen_n1000000_l121_merged.fq,1000000,121,999915,955698,44217,433,43638,911627,4.422,0.043,4.364,91.163,44071,
ClipAndMerge,gen_n1000000_l122_merged.fq,1000000,122,999926,955203,44723,557,44465,910181,4.472,0.056,4.446,91.018,45022,
ClipAndMerge,gen_n1000000_l123_merged.fq,1000000,123,999926,954207,45719,831,45424,907952,4.572,0.083,4.542,90.795,46255,
ClipAndMerge,gen_n1000000_l124_merged.fq,1000000,124,999907,954647,45260,1501,45819,907327,4.526,0.15,4.582,90.733,47320,
ClipAndMerge,gen_n1000000_l125_merged.fq,1000000,125,999938,954116,45822,383,46095,907638,4.582,0.038,4.609,90.764,46478,
ClipAndMerge,gen_n1000000_l126_merged.fq,1000000,126,999918,951367,48551,517,48547,902303,4.855,0.052,4.855,90.23,49064,
ClipAndMerge,gen_n1000000_l127_merged.fq,1000000,127,999911,948832,51079,602,49951,898279,5.108,0.06,4.995,89.828,50553,
ClipAndMerge,gen_n1000000_l128_merged.fq,1000000,128,999924,945885,54039,657,51545,893683,5.404,0.066,5.154,89.368,52202,
ClipAndMerge,gen_n1000000_l129_merged.fq,1000000,129,999908,942774,57134,707,53601,888466,5.713,0.071,5.36,88.847,54308,
ClipAndMerge,gen_n1000000_l12_merged.fq,1000000,12,999912,969191,30721,22,10,969159,3.072,0.002,0.001,96.916,32,
ClipAndMerge,gen_n1000000_l130_merged.fq,1000000,130,999922,939681,60241,795,56102,882784,6.024,0.08,5.61,88.278,56897,
ClipAndMerge,gen_n1000000_l131_merged.fq,1000000,131,999914,937615,62299,908,57894,878813,6.23,0.091,5.789,87.881,58802,
ClipAndMerge,gen_n1000000_l132_merged.fq,1000000,132,999903,934163,65740,879,60386,872898,6.574,0.088,6.039,87.29,61265,
