program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
SeqPrep,gen_n1000000_l1000_merged.fq.gz,1000000,1000,999921,1986,997935,1986,0,0,99.793,0.199,0.0,0.0,1986,
SeqPrep,gen_n1000000_l100_merged.fq.gz,1000000,100,999928,1000000,-72,0,21984,978016,-0.007,0.0,2.198,97.802,21984,
SeqPrep,gen_n1000000_l101_merged.fq.gz,1000000,101,999921,1000000,-79,0,22171,977829,-0.008,0.0,2.217,97.783,22171,
SeqPrep,gen_n1000000_l102_merged.fq.gz,1000000,102,999926,1000000,-74,0,22605,977395,-0.007,0.0,2.26,97.74,22605,
SeqPrep,gen_n1000000_l103_merged.fq.gz,1000000,103,999915,1000000,-85,0,22765,977235,-0.009,0.0,2.276,97.724,22765,
SeqPrep,gen_n1000000_l104_merged.fq.gz,1000000,104,999911,999999,-88,0,22916,977083,-0.009,0.0,2.292,97.708,22916,
SeqPrep,gen_n1000000_l105_merged.fq.gz,1000000,105,999920,999998,-78,0,23141,976857,-0.008,0.0,2.314,97.686,23141,
SeqPrep,gen_n1000000_l106_merged.fq.gz,1000000,106,999938,1000000,-62,0,23565,976435,-0.006,0.0,2.357,97.644,23565,
SeqPrep,gen_n1000000_l107_merged.fq.gz,1000000,107,999913,999995,-82,0,23898,976097,-0.008,0.0,2.39,97.61,23898,
SeqPrep,gen_n1000000_l108_merged.fq.gz,1000000,108,999922,999975,-53,9,23839,976127,-0.005,0.001,2.384,97.613,23848,
SeqPrep,gen_n1000000_l109_merged.fq.gz,1000000,109,999923,999922,1,28,24083,975811,0.0,0.003,2.408,97.581,24111,
SeqPrep,gen_n1000000_l10_merged.fq.gz,1000000,10,999901,1000000,-99,0,2393,997607,-0.01,0.0,0.239,99.761,2393,
SeqPrep,gen_n1000000_l110_merged.fq.gz,1000000,110,999916,999634,282,78,24578,974978,0.028,0.008,2.458,97.498,24656,
SeqPrep,gen_n1000000_l111_merged.fq.gz,1000000,111,999908,997862,2046,187,24681,972994,0.205,0.019,2.468,97.299,24868,
SeqPrep,gen_n1000000_l112_merged.fq.gz,1000000,112,999924,996168,3756,598,24826,970744,0.376,0.06,2.483,97.074,25424,
SeqPrep,gen_n1000000_l113_merged.fq.gz,1000000,113,999914,994292,5622,941,24840,968511,0.562,0.094,2.484,96.851,25781,
SeqPrep,gen_n1000000_l114_merged.fq.gz,1000000,114,999932,995335,4597,959,25331,969045,0.46,0.096,2.533,96.904,26290,
SeqPrep,gen_n1000000_l115_merged.fq.gz,1000000,115,999935,995310,4625,973,25651,968686,0.462,0.097,2.565,96.869,26624,
SeqPrep,gen_n1000000_l116_merged.fq.gz,1000000,116,999926,988087,11839,1026,24500,962561,1.184,0.103,2.45,96.256,25526,
SeqPrep,gen_n1000000_l117_merged.fq.gz,1000000,117,999917,988191,11726,993,24869,962329,1.173,0.099,2.487,96.233,25862,
SeqPrep,gen_n1000000_l118_merged.fq.gz,1000000,118,999936,987602,12334,1051,24889,961662,1.233,0.105,2.489,96.166,25940,
SeqPrep,gen_n1000000_l119_merged.fq.gz,1000000,119,999928,987063,12865,1014,25182,960867,1.286,0.101,2.518,96.087,26196,
SeqPrep,gen_n1000000_l11_merged.fq.gz,1000000,11,999928,1000000,-72,0,2483,997517,-0.007,0.0,0.248,99.752,2483,
SeqPrep,gen_n1000000_l120_merged.fq.gz,1000000,120,999913,986903,13010,1017,25527,960359,1.301,0.102,2.553,96.036,26544,
SeqPrep,gen_n1000000_l121_merged.fq.gz,1000000,121,999915,986689,13226,684,25469,960536,1.323,0.068,2.547,96.054,26153,
SeqPrep,gen_n1000000_l122_merged.fq.gz,1000000,122,999926,986332,13594,541,25996,959795,1.359,0.054,2.6,95.98,26537,
SeqPrep,gen_n1000000_l123_merged.fq.gz,1000000,123,999926,986002,13924,493,26178,959331,1.392,0.049,2.618,95.933,26671,
SeqPrep,gen_n1000000_l124_merged.fq.gz,1000000,124,999907,985701,14206,470,26591,958640,1.421,0.047,2.659,95.864,27061,
SeqPrep,gen_n1000000_l125_merged.fq.gz,1000000,125,999938,982744,17194,467,26647,955630,1.719,0.047,2.665,95.563,27114,
SeqPrep,gen_n1000000_l126_merged.fq.gz,1000000,126,999918,982873,17045,260,29014,953599,1.705,0.026,2.901,95.36,29274,
SeqPrep,gen_n1000000_l127_merged.fq.gz,1000000,127,999911,983473,16438,204,31332,951937,1.644,0.02,3.133,95.194,31536,
SeqPrep,gen_n1000000_l128_merged.fq.gz,1000000,128,999924,982967,16957,169,33377,949421,1.696,0.017,3.338,94.942,33546,
