program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
AdapterRemoval,gen_n1000000_l1000_merged.fq,1000000,1000,999921,65523,934398,65523,0,0,93.44,6.552,0.0,0.0,65523,
AdapterRemoval,gen_n1000000_l100_merged.fq,1000000,100,999928,1000000,-72,0,22145,977855,-0.007,0.0,2.215,97.785,22145,
AdapterRemoval,gen_n1000000_l101_merged.fq,1000000,101,999921,1000000,-79,0,22049,977951,-0.008,0.0,2.205,97.795,22049,
AdapterRemoval,gen_n1000000_l102_merged.fq,1000000,102,999926,1000000,-74,0,22550,977450,-0.007,0.0,2.255,97.745,22550,
AdapterRemoval,gen_n1000000_l103_merged.fq,1000000,103,999915,1000000,-85,0,22598,977402,-0.009,0.0,2.26,97.74,22598,
AdapterRemoval,gen_n1000000_l104_merged.fq,1000000,104,999911,1000000,-89,0,22901,977099,-0.009,0.0,2.29,97.71,22901,
AdapterRemoval,gen_n1000000_l105_merged.fq,1000000,105,999920,1000000,-80,0,23163,976837,-0.008,0.0,2.316,97.684,23163,
AdapterRemoval,gen_n1000000_l106_merged.fq,1000000,106,999938,1000000,-62,0,23400,976600,-0.006,0.0,2.34,97.66,23400,
AdapterRemoval,gen_n1000000_l107_merged.fq,1000000,107,999913,1000000,-87,0,23910,976090,-0.009,0.0,2.391,97.609,23910,
AdapterRemoval,gen_n1000000_l108_merged.fq,1000000,108,999922,1000000,-78,0,23944,976056,-0.008,0.0,2.394,97.606,23944,
AdapterRemoval,gen_n1000000_l109_merged.fq,1000000,109,999923,1000000,-77,0,24151,975849,-0.008,0.0,2.415,97.585,24151,
AdapterRemoval,gen_n1000000_l10_merged.fq,1000000,10,999901,1000000,-99,0,2379,997621,-0.01,0.0,0.238,99.762,2379,
AdapterRemoval,gen_n1000000_l110_merged.fq,1000000,110,999916,1000000,-84,0,24650,975350,-0.008,0.0,2.465,97.535,24650,
AdapterRemoval,gen_n1000000_l111_merged.fq,1000000,111,999908,1000000,-92,0,24899,975101,-0.009,0.0,2.49,97.51,24899,
AdapterRemoval,gen_n1000000_l112_merged.fq,1000000,112,999924,1000000,-76,0,25013,974987,-0.008,0.0,2.501,97.499,25013,
AdapterRemoval,gen_n1000000_l113_merged.fq,1000000,113,999914,1000000,-86,0,25086,974914,-0.009,0.0,2.509,97.491,25086,
AdapterRemoval,gen_n1000000_l114_merged.fq,1000000,114,999932,1000000,-68,0,25524,974476,-0.007,0.0,2.552,97.448,25524,
AdapterRemoval,gen_n1000000_l115_merged.fq,1000000,115,999935,1000000,-65,0,25924,974076,-0.006,0.0,2.592,97.408,25924,
AdapterRemoval,gen_n1000000_l116_merged.fq,1000000,116,999926,1000000,-74,0,25895,974105,-0.007,0.0,2.59,97.41,25895,
AdapterRemoval,gen_n1000000_l117_merged.fq,1000000,117,999917,1000000,-83,0,26311,973689,-0.008,0.0,2.631,97.369,26311,
AdapterRemoval,gen_n1000000_l118_merged.fq,1000000,118,999936,1000000,-64,0,26604,973396,-0.006,0.0,2.66,97.34,26604,
AdapterRemoval,gen_n1000000_l119_merged.fq,1000000,119,999928,1000000,-72,0,26970,973030,-0.007,0.0,2.697,97.303,26970,
AdapterRemoval,gen_n1000000_l11_merged.fq,1000000,11,999928,1000000,-72,0,2473,997527,-0.007,0.0,0.247,99.753,2473,
AdapterRemoval,gen_n1000000_l120_merged.fq,1000000,120,999913,1000000,-87,0,27277,972723,-0.009,0.0,2.728,97.272,27277,
AdapterRemoval,gen_n1000000_l121_merged.fq,1000000,121,999915,1000000,-85,0,27358,972642,-0.009,0.0,2.736,97.264,27358,
AdapterRemoval,gen_n1000000_l122_merged.fq,1000000,122,999926,1000000,-74,0,27778,972222,-0.007,0.0,2.778,97.222,27778,
AdapterRemoval,gen_n1000000_l123_merged.fq,1000000,123,999926,1000000,-74,0,28035,971965,-0.007,0.0,2.804,97.197,28035,
AdapterRemoval,gen_n1000000_l124_merged.fq,1000000,124,999907,1000000,-93,0,28483,971517,-0.009,0.0,2.848,97.152,28483,
AdapterRemoval,gen_n1000000_l125_merged.fq,1000000,125,999938,1000000,-62,0,28687,971313,-0.006,0.0,2.869,97.131,28687,
AdapterRemoval,gen_n1000000_l126_merged.fq,1000000,126,999918,1000000,-82,0,31006,968994,-0.008,0.0,3.101,96.899,31006,
AdapterRemoval,gen_n1000000_l127_merged.fq,1000000,127,999911,1000000,-89,0,33419,966581,-0.009,0.0,3.342,96.658,33419,
AdapterRemoval,gen_n1000000_l128_merged.fq,1000000,128,999924,1000000,-76,1,35441,964558,-0.008,0.0,3.544,96.456,35442,
AdapterRemoval,gen_n1000000_l129_merged.fq,1000000,129,999908,1000000,-92,12,38485,961503,-0.009,0.001,3.849,96.15,38497,
AdapterRemoval,gen_n1000000_l12_merged.fq,1000000,12,999912,1000000,-88,0,2634,997366,-0.009,0.0,0.263,99.737,2634,
AdapterRemoval,gen_n1000000_l130_merged.fq,1000000,130,999922,1000000,-78,29,41368,958603,-0.008,0.003,4.137,95.86,41397,
AdapterRemoval,gen_n1000000_l131_merged.fq,1000000,131,999914,1000000,-86,23,44349,955628,-0.009,0.002,4.435,95.563,44372,
AdapterRemoval,gen_n1000000_l132_merged.fq,1000000,132,999903,1000000,-97,33,47210,952757,-0.01,0.003,4.721,95.276,47243,
AdapterRemoval,gen_n1000000_l133_merged.fq,1000000,133,999924,1000000,-76,36,49428,950536,-0.008,0.004,4.943,95.054,49464,
AdapterRemoval,gen_n1000000_l134_merged.fq,1000000,134,999910,1000000,-90,26,51589,948385,-0.009,0.003,5.159,94.839,51615,
AdapterRemoval,gen_n1000000_l135_merged.fq,1000000,135,999914,1000000,-86,22,53742,946236,-0.009,0.002,5.374,94.624,53764,
AdapterRemoval,gen_n1000000_l136_merged.fq,1000000,136,999919,1000000,-81,31,56601,943368,-0.008,0.003,5.66,94.337,56632,
AdapterRemoval,gen_n1000000_l137_merged.fq,1000000,137,999921,1000000,-79,47,58314,941639,-0.008,0.005,5.831,94.164,58361,
AdapterRemoval,gen_n1000000_l138_merged.fq,1000000,138,999916,1000000,-84,25,61014,938961,-0.008,0.003,6.101,93.896,61039,
AdapterRemoval,gen_n1000000_l139_merged.fq,1000000,139,999922,1000000,-78,44,63649,936307,-0.008,0.004,6.365,93.631,63693,
AdapterRemoval,gen_n1000000_l13_merged.fq,1000000,13,999925,1000000,-75,0,2866,997134,-0.007,0.0,0.287,99.713,2866,
AdapterRemoval,gen_n1000000_l140_merged.fq,1000000,140,999928,1000000,-72,40,65574,934386,-0.007,0.004,6.557,93.439,65614,
AdapterRemoval,gen_n1000000_l141_merged.fq,1000000,141,999935,1000000,-65,73,67560,932367,-0.006,0.007,6.756,93.237,67633,
AdapterRemoval,gen_n1000000_l142_merged.fq,1000000,142,999939,1000000,-61,78,70218,929704,-0.006,0.008,7.022,92.97,70296,
AdapterRemoval,gen_n1000000_l143_merged.fq,1000000,143,999923,1000000,-77,105,72146,927749,-0.008,0.011,7.215,92.775,72251,
AdapterRemoval,gen_n1000000_l144_merged.fq,1000000,144,999931,1000000,-69,140,74750,925110,-0.007,0.014,7.475,92.511,74890,
AdapterRemoval,gen_n1000000_l145_merged.fq,1000000,145,999928,1000000,-72,187,77340,922473,-0.007,0.019,7.734,92.247,77527,
AdapterRemoval,gen_n1000000_l146_merged.fq,1000000,146,999929,1000000,-71,221,79287,920492,-0.007,0.022,7.929,92.049,79508,
AdapterRemoval,gen_n1000000_l147_merged.fq,1000000,147,999921,1000000,-79,272,82008,917720,-0.008,0.027,8.201,91.772,82280,
