program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
bbmerge,gen_n1000000_l1000_merged.fq,1000000,1000,999921,881,999040,881,0,0,99.904,0.088,0.0,0.0,881,
bbmerge,gen_n1000000_l100_merged.fq,1000000,100,999928,985706,14222,0,29792,955914,1.422,0.0,2.979,95.591,29792,
bbmerge,gen_n1000000_l101_merged.fq,1000000,101,999921,983308,16613,0,29876,953432,1.661,0.0,2.988,95.343,29876,
bbmerge,gen_n1000000_l102_merged.fq,1000000,102,999926,984351,15575,0,30536,953815,1.558,0.0,3.054,95.382,30536,
bbmerge,gen_n1000000_l103_merged.fq,1000000,103,999915,984651,15264,0,30584,954067,1.526,0.0,3.058,95.407,30584,
bbmerge,gen_n1000000_l104_merged.fq,1000000,104,999911,984969,14942,0,30999,953970,1.494,0.0,3.1,95.397,30999,
bbmerge,gen_n1000000_l105_merged.fq,1000000,105,999920,984716,15204,0,31226,953490,1.52,0.0,3.123,95.349,31226,
bbmerge,gen_n1000000_l106_merged.fq,1000000,106,999938,984846,15092,0,31712,953134,1.509,0.0,3.171,95.313,31712,
bbmerge,gen_n1000000_l107_merged.fq,1000000,107,999913,985243,14670,0,32584,952659,1.467,0.0,3.258,95.266,32584,
bbmerge,gen_n1000000_l108_merged.fq,1000000,108,999922,986351,13571,0,32598,953753,1.357,0.0,3.26,95.375,32598,
bbmerge,gen_n1000000_l109_merged.fq,1000000,109,999923,988483,11440,0,33087,955396,1.144,0.0,3.309,95.54,33087,
bbmerge,gen_n1000000_l10_merged.fq,1000000,10,999901,510255,489646,0,4,510251,48.965,0.0,0.0,51.025,4,
bbmerge,gen_n1000000_l110_merged.fq,1000000,110,999916,988207,11709,0,33526,954681,1.171,0.0,3.353,95.468,33526,
bbmerge,gen_n1000000_l111_merged.fq,1000000,111,999908,986097,13811,0,33781,952316,1.381,0.0,3.378,95.232,33781,
bbmerge,gen_n1000000_l112_merged.fq,1000000,112,999924,987247,12677,0,34111,953136,1.268,0.0,3.411,95.314,34111,
bbmerge,gen_n1000000_l113_merged.fq,1000000,113,999914,987743,12171,0,34392,953351,1.217,0.0,3.439,95.335,34392,
bbmerge,gen_n1000000_l114_merged.fq,1000000,114,999932,988300,11632,0,35168,953132,1.163,0.0,3.517,95.313,35168,
bbmerge,gen_n1000000_l115_merged.fq,1000000,115,999935,989041,10894,0,35647,953394,1.089,0.0,3.565,95.339,35647,
bbmerge,gen_n1000000_l116_merged.fq,1000000,116,999926,987663,12263,0,35593,952070,1.226,0.0,3.559,95.207,35593,
bbmerge,gen_n1000000_l117_merged.fq,1000000,117,999917,988187,11730,0,36353,951834,1.173,0.0,3.635,95.183,36353,
bbmerge,gen_n1000000_l118_merged.fq,1000000,118,999936,989144,10792,0,36492,952652,1.079,0.0,3.649,95.265,36492,
bbmerge,gen_n1000000_l119_merged.fq,1000000,119,999928,990664,9264,0,37140,953524,0.926,0.0,3.714,95.352,37140,
bbmerge,gen_n1000000_l11_merged.fq,1000000,11,999928,810080,189848,0,7,810073,18.985,0.0,0.001,81.007,7,
bbmerge,gen_n1000000_l120_merged.fq,1000000,120,999913,989958,9955,0,37685,952273,0.996,0.0,3.769,95.227,37685,
bbmerge,gen_n1000000_l121_merged.fq,1000000,121,999915,988593,11322,0,37677,950916,1.132,0.0,3.768,95.092,37677,
bbmerge,gen_n1000000_l122_merged.fq,1000000,122,999926,988656,11270,0,38245,950411,1.127,0.0,3.825,95.041,38245,
bbmerge,gen_n1000000_l123_merged.fq,1000000,123,999926,989380,10546,0,38819,950561,1.055,0.0,3.882,95.056,38819,
bbmerge,gen_n1000000_l124_merged.fq,1000000,124,999907,989149,10758,0,39296,949853,1.076,0.0,3.93,94.985,39296,
bbmerge,gen_n1000000_l125_merged.fq,1000000,125,999938,988908,11030,0,39476,949432,1.103,0.0,3.948,94.943,39476,
bbmerge,gen_n1000000_l126_merged.fq,1000000,126,999918,986004,13914,0,41947,944057,1.391,0.0,4.195,94.406,41947,
bbmerge,gen_n1000000_l127_merged.fq,1000000,127,999911,985609,14302,0,44236,941373,1.43,0.0,4.424,94.137,44236,
bbmerge,gen_n1000000_l128_merged.fq,1000000,128,999924,985225,14699,0,46256,938969,1.47,0.0,4.626,93.897,46256,
