program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
fastp,gen_n1000000_l1000_merged.fq,1000000,1000,999921,26674,973247,26674,0,0,97.325,2.667,0.0,0.0,26674,
fastp,gen_n1000000_l100_merged.fq,1000000,100,999928,1000000,-72,626,101339,898035,-0.007,0.063,10.134,89.803,101965,
fastp,gen_n1000000_l101_merged.fq,1000000,101,999921,1000000,-79,600,102319,897081,-0.008,0.06,10.232,89.708,102919,
fastp,gen_n1000000_l102_merged.fq,1000000,102,999926,1000000,-74,599,103436,895965,-0.007,0.06,10.344,89.597,104035,
fastp,gen_n1000000_l103_merged.fq,1000000,103,999915,1000000,-85,609,104887,894504,-0.009,0.061,10.489,89.45,105496,
fastp,gen_n1000000_l104_merged.fq,1000000,104,999911,1000000,-89,608,106076,893316,-0.009,0.061,10.608,89.332,106684,
fastp,gen_n1000000_l105_merged.fq,1000000,105,999920,1000000,-80,581,107186,892233,-0.008,0.058,10.719,89.223,107767,
fastp,gen_n1000000_l106_merged.fq,1000000,106,999938,1000000,-62,611,109078,890311,-0.006,0.061,10.908,89.031,109689,
fastp,gen_n1000000_l107_merged.fq,1000000,107,999913,1000000,-87,599,109397,890004,-0.009,0.06,10.94,89.0,109996,
fastp,gen_n1000000_l108_merged.fq,1000000,108,999922,1000000,-78,586,110636,888778,-0.008,0.059,11.064,88.878,111222,
fastp,gen_n1000000_l109_merged.fq,1000000,109,999923,1000000,-77,588,111812,887600,-0.008,0.059,11.181,88.76,112400,
fastp,gen_n1000000_l10_merged.fq,1000000,10,999901,3898,996003,3898,0,0,99.6,0.39,0.0,0.0,3898,
fastp,gen_n1000000_l110_merged.fq,1000000,110,999916,1000000,-84,589,112875,886536,-0.008,0.059,11.287,88.654,113464,
fastp,gen_n1000000_l111_merged.fq,1000000,111,999908,1000000,-92,574,113616,885810,-0.009,0.057,11.362,88.581,114190,
fastp,gen_n1000000_l112_merged.fq,1000000,112,999924,1000000,-76,615,114922,884463,-0.008,0.061,11.492,88.446,115537,
fastp,gen_n1000000_l113_merged.fq,1000000,113,999914,1000000,-86,548,116169,883283,-0.009,0.055,11.617,88.328,116717,
fastp,gen_n1000000_l114_merged.fq,1000000,114,999932,1000000,-68,556,116834,882610,-0.007,0.056,11.683,88.261,117390,
fastp,gen_n1000000_l115_merged.fq,1000000,115,999935,1000000,-65,592,118059,881349,-0.006,0.059,11.806,88.135,118651,
fastp,gen_n1000000_l116_merged.fq,1000000,116,999926,1000000,-74,562,119395,880043,-0.007,0.056,11.94,88.004,119957,
fastp,gen_n1000000_l117_merged.fq,1000000,117,999917,1000000,-83,519,120357,879124,-0.008,0.052,12.036,87.912,120876,
fastp,gen_n1000000_l118_merged.fq,1000000,118,999936,999999,-63,602,121259,878138,-0.006,0.06,12.126,87.814,121861,
fastp,gen_n1000000_l119_merged.fq,1000000,119,999928,1000000,-72,574,122933,876493,-0.007,0.057,12.293,87.649,123507,
fastp,gen_n1000000_l11_merged.fq,1000000,11,999928,999994,-66,3124,11014,985856,-0.007,0.312,1.101,98.586,14138,
fastp,gen_n1000000_l120_merged.fq,1000000,120,999913,1000000,-87,443,124424,875133,-0.009,0.044,12.442,87.513,124867,
fastp,gen_n1000000_l121_merged.fq,1000000,121,999915,1000000,-85,3409,124568,872023,-0.009,0.341,12.457,87.202,127977,
fastp,gen_n1000000_l122_merged.fq,1000000,122,999926,1000000,-74,4771,126367,868862,-0.007,0.477,12.637,86.886,131138,
fastp,gen_n1000000_l123_merged.fq,1000000,123,999926,1000000,-74,7595,126480,865925,-0.007,0.76,12.648,86.593,134075,
fastp,gen_n1000000_l124_merged.fq,1000000,124,999907,1000000,-93,13496,127092,859412,-0.009,1.35,12.709,85.941,140588,
fastp,gen_n1000000_l125_merged.fq,1000000,125,999938,1000000,-62,1162,129170,869668,-0.006,0.116,12.917,86.967,130332,
fastp,gen_n1000000_l126_merged.fq,1000000,126,999918,1000000,-82,6,130820,869174,-0.008,0.001,13.082,86.917,130826,
fastp,gen_n1000000_l127_merged.fq,1000000,127,999911,1000000,-89,225,132175,867600,-0.009,0.022,13.217,86.76,132400,
fastp,gen_n1000000_l128_merged.fq,1000000,128,999924,1000000,-76,260,133730,866010,-0.008,0.026,13.373,86.601,133990,
fastp,gen_n1000000_l129_merged.fq,1000000,129,999908,1000000,-92,531,135106,864363,-0.009,0.053,13.511,86.436,135637,
fastp,gen_n1000000_l12_merged.fq,1000000,12,999912,999992,-80,2507,11579,985906,-0.008,0.251,1.158,98.591,14086,
fastp,gen_n1000000_l130_merged.fq,1000000,130,999922,1000000,-78,1465,137349,861186,-0.008,0.146,13.735,86.119,138814,
fastp,gen_n1000000_l131_merged.fq,1000000,131,999914,1000000,-86,1600,139295,859105,-0.009,0.16,13.93,85.91,140895,
fastp,gen_n1000000_l132_merged.fq,1000000,132,999903,1000000,-97,1595,140745,857660,-0.01,0.16,14.075,85.766,142340,
fastp,gen_n1000000_l133_merged.fq,1000000,133,999924,1000000,-76,1604,141905,856491,-0.008,0.16,14.191,85.649,143509,
fastp,gen_n1000000_l134_merged.fq,1000000,134,999910,1000000,-90,1625,143964,854411,-0.009,0.163,14.396,85.441,145589,
fastp,gen_n1000000_l135_merged.fq,1000000,135,999914,1000000,-86,1701,145001,853298,-0.009,0.17,14.5,85.33,146702,
fastp,gen_n1000000_l136_merged.fq,1000000,136,999919,1000000,-81,1705,147404,850891,-0.008,0.17,14.74,85.089,149109,
fastp,gen_n1000000_l137_merged.fq,1000000,137,999921,1000000,-79,1775,147751,850474,-0.008,0.178,14.775,85.047,149526,
fastp,gen_n1000000_l138_merged.fq,1000000,138,999916,1000000,-84,1718,150196,848086,-0.008,0.172,15.02,84.809,151914,
fastp,gen_n1000000_l139_merged.fq,1000000,139,999922,1000000,-78,1765,151556,846679,-0.008,0.177,15.156,84.668,153321,
fastp,gen_n1000000_l13_merged.fq,1000000,13,999925,999990,-65,2808,12757,984425,-0.006,0.281,1.276,98.442,15565,
fastp,gen_n1000000_l140_merged.fq,1000000,140,999928,1000000,-72,1815,152798,845387,-0.007,0.181,15.28,84.539,154613,
fastp,gen_n1000000_l141_merged.fq,1000000,141,999935,1000000,-65,1885,154469,843646,-0.006,0.189,15.447,84.365,156354,
fastp,gen_n1000000_l142_merged.fq,1000000,142,999939,1000000,-61,1961,156025,842014,-0.006,0.196,15.602,84.201,157986,
fastp,gen_n1000000_l143_merged.fq,1000000,143,999923,1000000,-77,1969,157771,840260,-0.008,0.197,15.777,84.026,159740,
fastp,gen_n1000000_l144_merged.fq,1000000,144,999931,1000000,-69,1887,158403,839710,-0.007,0.189,15.84,83.971,160290,
fastp,gen_n1000000_l145_merged.fq,1000000,145,999928,1000000,-72,2024,160876,837100,-0.007,0.202,16.088,83.71,162900,
fastp,gen_n1000000_l146_merged.fq,1000000,146,999929,1000000,-71,2053,161765,836182,-0.007,0.205,16.177,83.618,163818,
fastp,gen_n1000000_l147_merged.fq,1000000,147,999921,1000000,-79,2031,163901,834068,-0.008,0.203,16.39,83.407,165932,
fastp,gen_n1000000_l148_merged.fq,1000000,148,999912,1000000,-88,2088,165605,832307,-0.009,0.209,16.561,83.231,167693,
fastp,gen_n1000000_l149_merged.fq,1000000,149,999919,1000000,-81,2157,166354,831489,-0.008,0.216,16.635,83.149,168511,
fastp,gen_n1000000_l14_merged.fq,1000000,14,999918,999991,-73,4002,13541,982448,-0.007,0.4,1.354,98.245,17543,
fastp,gen_n1000000_l150_merged.fq,1000000,150,999914,1000000,-86,2171,168368,829461,-0.009,0.217,16.837,82.946,170539,
fastp,gen_n1000000_l151_merged.fq,1000000,151,999923,999999,-76,2217,169200,828582,-0.008,0.222,16.92,82.858,171417,
fastp,gen_n1000000_l152_merged.fq,1000000,152,999920,1000000,-80,2380,170584,827036,-0.008,0.238,17.058,82.704,172964,
fastp,gen_n1000000_l153_merged.fq,1000000,153,999914,1000000,-86,2435,172930,824635,-0.009,0.244,17.293,82.463,175365,
fastp,gen_n1000000_l154_merged.fq,1000000,154,999923,1000000,-77,2480,173919,823601,-0.008,0.248,17.392,82.36,176399,
fastp,gen_n1000000_l155_merged.fq,1000000,155,999916,1000000,-84,2528,176300,821172,-0.008,0.253,17.63,82.117,178828,
fastp,gen_n1000000_l156_merged.fq,1000000,156,999920,1000000,-80,2620,177106,820274,-0.008,0.262,17.711,82.027,179726,
fastp,gen_n1000000_l157_merged.fq,1000000,157,999892,1000000,-108,2751,178311,818938,-0.011,0.275,17.831,81.894,181062,
fastp,gen_n1000000_l158_merged.fq,1000000,158,999933,1000000,-67,2668,179924,817408,-0.007,0.267,17.992,81.741,182592,
fastp,gen_n1000000_l159_merged.fq,1000000,159,999910,1000000,-90,2869,181024,816107,-0.009,0.287,18.102,81.611,183893,
fastp,gen_n1000000_l15_merged.fq,1000000,15,999906,1000000,-94,2986,14350,982664,-0.009,0.299,1.435,98.266,17336,
fastp,gen_n1000000_l160_merged.fq,1000000,160,999911,1000000,-89,2908,182390,814702,-0.009,0.291,18.239,81.47,185298,
fastp,gen_n1000000_l161_merged.fq,1000000,161,999908,1000000,-92,3002,184208,812790,-0.009,0.3,18.421,81.279,187210,
fastp,gen_n1000000_l162_merged.fq,1000000,162,999910,1000000,-90,2934,185493,811573,-0.009,0.293,18.549,81.157,188427,
