program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
leeHom,gen_n1000000_l1000_merged.fq.gz,1000000,1000,999921,14580,985341,14580,0,0,98.534,1.458,0.0,0.0,14580,
leeHom,gen_n1000000_l100_merged.fq.gz,1000000,100,999928,1000000,-72,0,22212,977788,-0.007,0.0,2.221,97.779,22212,
leeHom,gen_n1000000_l101_merged.fq.gz,1000000,101,999921,1000000,-79,0,22140,977860,-0.008,0.0,2.214,97.786,22140,
leeHom,gen_n1000000_l102_merged.fq.gz,1000000,102,999926,1000000,-74,0,22588,977412,-0.007,0.0,2.259,97.741,22588,
leeHom,gen_n1000000_l103_merged.fq.gz,1000000,103,999915,1000000,-85,0,22578,977422,-0.009,0.0,2.258,97.742,22578,
leeHom,gen_n1000000_l104_merged.fq.gz,1000000,104,999911,1000000,-89,0,22906,977094,-0.009,0.0,2.291,97.709,22906,
leeHom,gen_n1000000_l105_merged.fq.gz,1000000,105,999920,1000000,-80,0,23210,976790,-0.008,0.0,2.321,97.679,23210,
leeHom,gen_n1000000_l106_merged.fq.gz,1000000,106,999938,1000000,-62,0,23231,976769,-0.006,0.0,2.323,97.677,23231,
leeHom,gen_n1000000_l107_merged.fq.gz,1000000,107,999913,1000000,-87,0,24112,975888,-0.009,0.0,2.411,97.589,24112,
leeHom,gen_n1000000_l108_merged.fq.gz,1000000,108,999922,999999,-77,0,23971,976028,-0.008,0.0,2.397,97.603,23971,
leeHom,gen_n1000000_l109_merged.fq.gz,1000000,109,999923,1000000,-77,0,24220,975780,-0.008,0.0,2.422,97.578,24220,
leeHom,gen_n1000000_l10_merged.fq.gz,1000000,10,999901,1000000,-99,0,2404,997596,-0.01,0.0,0.24,99.76,2404,
leeHom,gen_n1000000_l110_merged.fq.gz,1000000,110,999916,1000000,-84,0,24520,975480,-0.008,0.0,2.452,97.548,24520,
leeHom,gen_n1000000_l111_merged.fq.gz,1000000,111,999908,1000000,-92,0,24707,975293,-0.009,0.0,2.471,97.529,24707,
leeHom,gen_n1000000_l112_merged.fq.gz,1000000,112,999924,1000000,-76,0,24868,975132,-0.008,0.0,2.487,97.513,24868,
leeHom,gen_n1000000_l113_merged.fq.gz,1000000,113,999914,1000000,-86,0,25027,974973,-0.009,0.0,2.503,97.497,25027,
