program,filename,nfrags,fraglen,total_sequences,total_reads,dropped_reads,incorrect_length,correct_len_incorrect_seq,perfectly_reconstructed,dropped_reads_percentage,incorrect_length_percentage,correct_len_incorrect_seq_percentage,perfectly_reconstructed_percentage,divergent_reads,
seqtk_adna_trim,gen_n1000000_l1000_merged.fq,1000000,1000,999921,8344,991577,8344,0,0,99.158,0.834,0.0,0.0,8344,
seqtk_adna_trim,gen_n1000000_l100_merged.fq,1000000,100,999928,991078,8850,4,21972,969102,0.885,0.0,2.197,96.91,21976,
seqtk_adna_trim,gen_n1000000_l101_merged.fq,1000000,101,999921,991394,8527,3,21810,969581,0.853,0.0,2.181,96.958,21813,
seqtk_adna_trim,gen_n1000000_l102_merged.fq,1000000,102,999926,992211,7715,0,22345,969866,0.771,0.0,2.235,96.987,22345,
seqtk_adna_trim,gen_n1000000_l103_merged.fq,1000000,103,999915,992694,7221,1,22121,970572,0.722,0.0,2.212,97.057,22122,
seqtk_adna_trim,gen_n1000000_l104_merged.fq,1000000,104,999911,992868,7043,3,22532,970333,0.704,0.0,2.253,97.033,22535,
seqtk_adna_trim,gen_n1000000_l105_merged.fq,1000000,105,999920,991083,8837,2,22823,968258,0.884,0.0,2.282,96.826,22825,
seqtk_adna_trim,gen_n1000000_l106_merged.fq,1000000,106,999938,991635,8303,0,22955,968680,0.83,0.0,2.296,96.868,22955,
seqtk_adna_trim,gen_n1000000_l107_merged.fq,1000000,107,999913,991809,8104,0,23797,968012,0.81,0.0,2.38,96.801,23797,
seqtk_adna_trim,gen_n1000000_l108_merged.fq,1000000,108,999922,991629,8293,1,23715,967913,0.829,0.0,2.372,96.791,23716,
seqtk_adna_trim,gen_n1000000_l109_merged.fq,1000000,109,999923,992467,7456,1,24069,968397,0.746,0.0,2.407,96.84,24070,
seqtk_adna_trim,gen_n1000000_l10_merged.fq,1000000,10,999901,997408,2493,1,2337,995070,0.249,0.0,0.234,99.507,2338,
seqtk_adna_trim,gen_n1000000_l110_merged.fq,1000000,110,999916,990991,8925,0,24155,966836,0.893,0.0,2.415,96.684,24155,
seqtk_adna_trim,gen_n1000000_l111_merged.fq,1000000,111,999908,991387,8521,0,24478,966909,0.852,0.0,2.448,96.691,24478,
seqtk_adna_trim,gen_n1000000_l112_merged.fq,1000000,112,999924,992005,7919,1,24681,967323,0.792,0.0,2.468,96.732,24682,
seqtk_adna_trim,gen_n1000000_l113_merged.fq,1000000,113,999914,992691,7223,1,24853,967837,0.722,0.0,2.485,96.784,24854,
seqtk_adna_trim,gen_n1000000_l114_merged.fq,1000000,114,999932,992636,7296,1,25462,967173,0.73,0.0,2.546,96.717,25463,
seqtk_adna_trim,gen_n1000000_l115_merged.fq,1000000,115,999935,991287,8648,1,25717,965569,0.865,0.0,2.572,96.557,25718,
seqtk_adna_trim,gen_n1000000_l116_merged.fq,1000000,116,999926,991944,7982,1,25464,966479,0.798,0.0,2.546,96.648,25465,
seqtk_adna_trim,gen_n1000000_l117_merged.fq,1000000,117,999917,992407,7510,2,25969,966436,0.751,0.0,2.597,96.644,25971,
seqtk_adna_trim,gen_n1000000_l118_merged.fq,1000000,118,999936,992858,7078,0,26180,966678,0.708,0.0,2.618,96.668,26180,
seqtk_adna_trim,gen_n1000000_l119_merged.fq,1000000,119,999928,993092,6836,1,26674,966417,0.684,0.0,2.667,96.642,26675,
seqtk_adna_trim,gen_n1000000_l11_merged.fq,1000000,11,999928,996942,2986,0,2385,994557,0.299,0.0,0.238,99.456,2385,
seqtk_adna_trim,gen_n1000000_l120_merged.fq,1000000,120,999913,991805,8108,4,26911,964890,0.811,0.0,2.691,96.489,26915,
seqtk_adna_trim,gen_n1000000_l121_merged.fq,1000000,121,999915,992041,7874,0,26972,965069,0.787,0.0,2.697,96.507,26972,
seqtk_adna_trim,gen_n1000000_l122_merged.fq,1000000,122,999926,992704,7222,0,27316,965388,0.722,0.0,2.732,96.539,27316,
seqtk_adna_trim,gen_n1000000_l123_merged.fq,1000000,123,999926,993105,6821,2,27749,965354,0.682,0.0,2.775,96.535,27751,
seqtk_adna_trim,gen_n1000000_l124_merged.fq,1000000,124,999907,992334,7573,1,28077,964256,0.757,0.0,2.808,96.426,28078,
seqtk_adna_trim,gen_n1000000_l125_merged.fq,1000000,125,999938,918,999020,0,307,611,99.902,0.0,0.031,0.061,307,
seqtk_adna_trim,gen_n1000000_l126_merged.fq,1000000,126,999918,990957,8961,0,30745,960212,0.896,0.0,3.075,96.021,30745,
seqtk_adna_trim,gen_n1000000_l127_merged.fq,1000000,127,999911,990899,9012,2,32968,957929,0.901,0.0,3.297,95.793,32970,
seqtk_adna_trim,gen_n1000000_l128_merged.fq,1000000,128,999924,990660,9264,0,35035,955625,0.926,0.0,3.503,95.562,35035,
seqtk_adna_trim,gen_n1000000_l129_merged.fq,1000000,129,999908,989839,10069,3,38129,951707,1.007,0.0,3.813,95.171,38132,
seqtk_adna_trim,gen_n1000000_l12_merged.fq,1000000,12,999912,995165,4747,0,2580,992585,0.475,0.0,0.258,99.258,2580,
seqtk_adna_trim,gen_n1000000_l130_merged.fq,1000000,130,999922,988214,11708,0,40890,947324,1.171,0.0,4.089,94.732,40890,
seqtk_adna_trim,gen_n1000000_l131_merged.fq,1000000,131,999914,988643,11271,2,43791,944850,1.127,0.0,4.379,94.485,43793,
seqtk_adna_trim,gen_n1000000_l132_merged.fq,1000000,132,999903,988994,10909,0,46758,942236,1.091,0.0,4.676,94.224,46758,
seqtk_adna_trim,gen_n1000000_l133_merged.fq,1000000,133,999924,988837,11087,1,48884,939952,1.109,0.0,4.888,93.995,48885,
seqtk_adna_trim,gen_n1000000_l134_merged.fq,1000000,134,999910,987768,12142,2,51067,936699,1.214,0.0,5.107,93.67,51069,
seqtk_adna_trim,gen_n1000000_l135_merged.fq,1000000,135,999914,986111,13803,2,53006,933103,1.38,0.0,5.301,93.31,53008,
seqtk_adna_trim,gen_n1000000_l136_merged.fq,1000000,136,999919,986154,13765,3,55931,930220,1.377,0.0,5.593,93.022,55934,
seqtk_adna_trim,gen_n1000000_l137_merged.fq,1000000,137,999921,986661,13260,4,57583,929074,1.326,0.0,5.758,92.907,57587,
seqtk_adna_trim,gen_n1000000_l138_merged.fq,1000000,138,999916,986885,13031,1,60225,926659,1.303,0.0,6.022,92.666,60226,
seqtk_adna_trim,gen_n1000000_l139_merged.fq,1000000,139,999922,986097,13825,1,62586,923510,1.383,0.0,6.259,92.351,62587,
seqtk_adna_trim,gen_n1000000_l13_merged.fq,1000000,13,999925,995051,4874,2,2775,992274,0.487,0.0,0.278,99.227,2777,
seqtk_adna_trim,gen_n1000000_l140_merged.fq,1000000,140,999928,985119,14809,6,64597,920516,1.481,0.001,6.46,92.052,64603,
seqtk_adna_trim,gen_n1000000_l141_merged.fq,1000000,141,999935,986347,13588,1,66518,919828,1.359,0.0,6.652,91.983,66519,
seqtk_adna_trim,gen_n1000000_l142_merged.fq,1000000,142,999939,986494,13445,6,69292,917196,1.345,0.001,6.929,91.72,69298,
seqtk_adna_trim,gen_n1000000_l143_merged.fq,1000000,143,999923,987024,12899,4,71307,915713,1.29,0.0,7.131,91.571,71311,
seqtk_adna_trim,gen_n1000000_l144_merged.fq,1000000,144,999931,986183,13748,4,73652,912527,1.375,0.0,7.365,91.253,73656,
seqtk_adna_trim,gen_n1000000_l145_merged.fq,1000000,145,999928,984056,15872,4,76098,907954,1.587,0.0,7.61,90.795,76102,
seqtk_adna_trim,gen_n1000000_l146_merged.fq,1000000,146,999929,985918,14011,3,78115,907800,1.401,0.0,7.812,90.78,78118,
seqtk_adna_trim,gen_n1000000_l147_merged.fq,1000000,147,999921,986025,13896,2,80976,905047,1.39,0.0,8.098,90.505,80978,
seqtk_adna_trim,gen_n1000000_l148_merged.fq,1000000,148,999912,986545,13367,5,83147,903393,1.337,0.001,8.315,90.339,83152,
seqtk_adna_trim,gen_n1000000_l149_merged.fq,1000000,149,999919,986266,13653,6,84879,901381,1.365,0.001,8.488,90.138,84885,
seqtk_adna_trim,gen_n1000000_l14_merged.fq,1000000,14,999918,993697,6221,0,3005,990692,0.622,0.0,0.3,99.069,3005,
seqtk_adna_trim,gen_n1000000_l150_merged.fq,1000000,150,999914,984874,15040,6,87316,897552,1.504,0.001,8.732,89.755,87322,
seqtk_adna_trim,gen_n1000000_l151_merged.fq,1000000,151,999923,986649,13274,4,89572,897073,1.327,0.0,8.957,89.707,89576,
seqtk_adna_trim,gen_n1000000_l152_merged.fq,1000000,152,999920,986640,13280,3,91624,895013,1.328,0.0,9.162,89.501,91627,
seqtk_adna_trim,gen_n1000000_l153_merged.fq,1000000,153,999914,986623,13291,3,94569,892051,1.329,0.0,9.457,89.205,94572,
seqtk_adna_trim,gen_n1000000_l154_merged.fq,1000000,154,999923,985373,14550,6,96396,888971,1.455,0.001,9.64,88.897,96402,
seqtk_adna_trim,gen_n1000000_l155_merged.fq,1000000,155,999916,983956,15960,2,98755,885199,1.596,0.0,9.875,88.52,98757,
seqtk_adna_trim,gen_n1000000_l156_merged.fq,1000000,156,999920,985487,14433,1,100746,884740,1.443,0.0,10.075,88.474,100747,
seqtk_adna_trim,gen_n1000000_l157_merged.fq,1000000,157,999892,986687,13205,3,102969,883715,1.321,0.0,10.297,88.371,102972,
seqtk_adna_trim,gen_n1000000_l158_merged.fq,1000000,158,999933,986884,13049,3,105427,881454,1.305,0.0,10.543,88.145,105430,
seqtk_adna_trim,gen_n1000000_l159_merged.fq,1000000,159,999910,986329,13581,2,107175,879152,1.358,0.0,10.718,87.915,107177,
seqtk_adna_trim,gen_n1000000_l15_merged.fq,1000000,15,999906,988816,11090,2,3102,985712,1.109,0.0,0.31,98.571,3104,
seqtk_adna_trim,gen_n1000000_l160_merged.fq,1000000,160,999911,984843,15068,1,109329,875513,1.507,0.0,10.933,87.551,109330,
seqtk_adna_trim,gen_n1000000_l161_merged.fq,1000000,161,999908,986642,13266,4,111789,874849,1.327,0.0,11.179,87.485,111793,
seqtk_adna_trim,gen_n1000000_l162_merged.fq,1000000,162,999910,986794,13116,0,114060,872734,1.312,0.0,11.406,87.273,114060,
seqtk_adna_trim,gen_n1000000_l163_merged.fq,1000000,163,999933,987004,12929,5,116219,870780,1.293,0.001,11.622,87.078,116224,
seqtk_adna_trim,gen_n1000000_l164_merged.fq,1000000,164,999915,986592,13323,4,118225,868363,1.332,0.0,11.822,86.836,118229,
seqtk_adna_trim,gen_n1000000_l165_merged.fq,1000000,165,999917,985128,14789,1,120434,864693,1.479,0.0,12.043,86.469,120435,
seqtk_adna_trim,gen_n1000000_l166_merged.fq,1000000,166,999915,987502,12413,3,123043,864456,1.241,0.0,12.304,86.446,123046,
seqtk_adna_trim,gen_n1000000_l167_merged.fq,1000000,167,999913,987355,12558,2,125785,861568,1.256,0.0,12.579,86.157,125787,
seqtk_adna_trim,gen_n1000000_l168_merged.fq,1000000,168,999917,987235,12682,0,127632,859603,1.268,0.0,12.763,85.96,127632,
seqtk_adna_trim,gen_n1000000_l169_merged.fq,1000000,169,999922,987467,12455,4,129640,857823,1.246,0.0,12.964,85.782,129644,
seqtk_adna_trim,gen_n1000000_l16_merged.fq,1000000,16,999917,989352,10565,0,3402,985950,1.056,0.0,0.34,98.595,3402,
seqtk_adna_trim,gen_n1000000_l170_merged.fq,1000000,170,999923,985776,14147,4,132026,853746,1.415,0.0,13.203,85.375,132030,
seqtk_adna_trim,gen_n1000000_l171_merged.fq,1000000,171,999914,987312,12602,3,134432,852877,1.26,0.0,13.443,85.288,134435,
seqtk_adna_trim,gen_n1000000_l172_merged.fq,1000000,172,999922,987849,12073,1,137388,850460,1.207,0.0,13.739,85.046,137389,
seqtk_adna_trim,gen_n1000000_l173_merged.fq,1000000,173,999927,987823,12104,4,139358,848461,1.21,0.0,13.936,84.846,139362,
seqtk_adna_trim,gen_n1000000_l174_merged.fq,1000000,174,999914,987553,12361,6,140972,846575,1.236,0.001,14.097,84.657,140978,
seqtk_adna_trim,gen_n1000000_l175_merged.fq,1000000,175,999925,986090,13835,3,142923,843164,1.383,0.0,14.292,84.316,142926,
seqtk_adna_trim,gen_n1000000_l176_merged.fq,1000000,176,999930,987125,12805,4,145907,841214,1.28,0.0,14.591,84.121,145911,
seqtk_adna_trim,gen_n1000000_l177_merged.fq,1000000,177,999920,986619,13301,7,148024,838588,1.33,0.001,14.802,83.859,148031,
seqtk_adna_trim,gen_n1000000_l178_merged.fq,1000000,178,999916,985189,14727,0,150094,835095,1.473,0.0,15.009,83.51,150094,
seqtk_adna_trim,gen_n1000000_l179_merged.fq,1000000,179,999920,984249,15671,3,152345,831901,1.567,0.0,15.235,83.19,152348,
seqtk_adna_trim,gen_n1000000_l17_merged.fq,1000000,17,999905,990207,9698,0,3564,986643,0.97,0.0,0.356,98.664,3564,
seqtk_adna_trim,gen_n1000000_l180_merged.fq,1000000,180,999915,981875,18040,4,153975,827896,1.804,0.0,15.398,82.79,153979,
seqtk_adna_trim,gen_n1000000_l181_merged.fq,1000000,181,999924,980772,19152,6,156493,824273,1.915,0.001,15.649,82.427,156499,
seqtk_adna_trim,gen_n1000000_l182_merged.fq,1000000,182,999910,981362,18548,3,158713,822646,1.855,0.0,15.871,82.265,158716,
seqtk_adna_trim,gen_n1000000_l183_merged.fq,1000000,183,999924,981965,17959,5,160686,821274,1.796,0.001,16.069,82.127,160691,
seqtk_adna_trim,gen_n1000000_l184_merged.fq,1000000,184,999926,982134,17792,3,163253,818878,1.779,0.0,16.325,81.888,163256,
seqtk_adna_trim,gen_n1000000_l185_merged.fq,1000000,185,999927,981302,18625,1,165730,815571,1.862,0.0,16.573,81.557,165731,
seqtk_adna_trim,gen_n1000000_l186_merged.fq,1000000,186,999915,982925,16990,7,168560,814358,1.699,0.001,16.856,81.436,168567,
seqtk_adna_trim,gen_n1000000_l187_merged.fq,1000000,187,999925,983427,16498,3,170648,812776,1.65,0.0,17.065,81.278,170651,
seqtk_adna_trim,gen_n1000000_l188_merged.fq,1000000,188,999917,983402,16515,2,172924,810476,1.651,0.0,17.292,81.048,172926,
seqtk_adna_trim,gen_n1000000_l189_merged.fq,1000000,189,999930,983146,16784,3,174602,808541,1.678,0.0,17.46,80.854,174605,
seqtk_adna_trim,gen_n1000000_l18_merged.fq,1000000,18,999914,990906,9008,0,3743,987163,0.901,0.0,0.374,98.716,3743,
seqtk_adna_trim,gen_n1000000_l190_merged.fq,1000000,190,999924,981800,18124,5,177467,804328,1.812,0.001,17.747,80.433,177472,
seqtk_adna_trim,gen_n1000000_l191_merged.fq,1000000,191,999921,983631,16290,4,180263,803364,1.629,0.0,18.026,80.336,180267,
seqtk_adna_trim,gen_n1000000_l192_merged.fq,1000000,192,999907,984740,15167,2,183705,801033,1.517,0.0,18.37,80.103,183707,
seqtk_adna_trim,gen_n1000000_l193_merged.fq,1000000,193,999920,985059,14861,2,185066,799991,1.486,0.0,18.507,79.999,185068,
seqtk_adna_trim,gen_n1000000_l194_merged.fq,1000000,194,999925,984411,15514,2,186595,797814,1.551,0.0,18.66,79.781,186597,
seqtk_adna_trim,gen_n1000000_l195_merged.fq,1000000,195,999921,983134,16787,5,189797,793332,1.679,0.001,18.98,79.333,189802,
seqtk_adna_trim,gen_n1000000_l196_merged.fq,1000000,196,999940,984876,15064,1,193164,791711,1.506,0.0,19.316,79.171,193165,
seqtk_adna_trim,gen_n1000000_l197_merged.fq,1000000,197,999919,985159,14760,4,195884,789271,1.476,0.0,19.588,78.927,195888,
seqtk_adna_trim,gen_n1000000_l198_merged.fq,1000000,198,999913,984803,15110,4,198033,786766,1.511,0.0,19.803,78.677,198037,
seqtk_adna_trim,gen_n1000000_l199_merged.fq,1000000,199,999921,986344,13577,4,201313,785027,1.358,0.0,20.131,78.503,201317,
seqtk_adna_trim,gen_n1000000_l19_merged.fq,1000000,19,999898,991516,8382,0,3971,987545,0.838,0.0,0.397,98.755,3971,
seqtk_adna_trim,gen_n1000000_l1_merged.fq,1000000,1,999924,57,999867,57,0,0,99.987,0.006,0.0,0.0,57,
seqtk_adna_trim,gen_n1000000_l200_merged.fq,1000000,200,999912,984818,15094,4,203092,781722,1.509,0.0,20.309,78.172,203096,
seqtk_adna_trim,gen_n1000000_l201_merged.fq,1000000,201,999934,986664,13270,1,205982,780681,1.327,0.0,20.598,78.068,205983,
seqtk_adna_trim,gen_n1000000_l202_merged.fq,1000000,202,999919,986694,13225,2,209155,777537,1.323,0.0,20.916,77.754,209157,
seqtk_adna_trim,gen_n1000000_l203_merged.fq,1000000,203,999910,986342,13568,3,211716,774623,1.357,0.0,21.172,77.462,211719,
seqtk_adna_trim,gen_n1000000_l204_merged.fq,1000000,204,999907,985793,14114,5,214254,771534,1.411,0.001,21.425,77.153,214259,
seqtk_adna_trim,gen_n1000000_l205_merged.fq,1000000,205,999929,984939,14990,6,217040,767893,1.499,0.001,21.704,76.789,217046,
