program,type,qs1,qs2,new_nt,new_qs
AdapterRemoval,match,0,0,s1,1
AdapterRemoval,match,0,1,s1,1
AdapterRemoval,match,0,2,s1,1
AdapterRemoval,match,0,3,s1,3
AdapterRemoval,match,0,4,s1,4
AdapterRemoval,match,0,5,s1,5
AdapterRemoval,match,0,6,s1,6
AdapterRemoval,match,0,7,s1,7
AdapterRemoval,match,0,8,s1,8
AdapterRemoval,match,0,9,s1,9
AdapterRemoval,match,0,10,s1,9
AdapterRemoval,match,0,11,s1,10
AdapterRemoval,match,0,12,s1,12
AdapterRemoval,match,0,13,s1,12
AdapterRemoval,match,0,14,s1,14
AdapterRemoval,match,0,15,s1,14
AdapterRemoval,match,0,16,s1,16
AdapterRemoval,match,0,17,s1,17
AdapterRemoval,match,0,18,s1,18
AdapterRemoval,match,0,19,s1,18
AdapterRemoval,match,0,20,s1,19
AdapterRemoval,match,0,21,s1,21
AdapterRemoval,match,0,22,s1,21
AdapterRemoval,match,0,23,s1,22
AdapterRemoval,match,0,24,s1,24
AdapterRemoval,match,0,25,s1,24
AdapterRemoval,match,0,26,s1,26
AdapterRemoval,match,0,27,s1,27
AdapterRemoval,match,0,28,s1,27
AdapterRemoval,match,0,29,s1,28
AdapterRemoval,match,0,30,s1,29
AdapterRemoval,match,0,31,s1,30
AdapterRemoval,match,0,32,s1,32
AdapterRemoval,match,0,33,s1,33
AdapterRemoval,match,0,34,s1,34
AdapterRemoval,match,0,35,s1,34
AdapterRemoval,match,0,36,s1,35
AdapterRemoval,match,0,37,s1,37
AdapterRemoval,match,0,38,s1,37
AdapterRemoval,match,0,39,s1,39
AdapterRemoval,match,0,40,s1,40
AdapterRemoval,match,0,41,s1,41
AdapterRemoval,match,1,0,s1,1
AdapterRemoval,match,1,1,s1,1
AdapterRemoval,match,1,2,s1,1
AdapterRemoval,match,1,3,s1,3
AdapterRemoval,match,1,4,s1,4
AdapterRemoval,match,1,5,s1,5
AdapterRemoval,match,1,6,s1,6
AdapterRemoval,match,1,7,s1,7
AdapterRemoval,match,1,8,s1,8
AdapterRemoval,match,1,9,s1,9
AdapterRemoval,match,1,10,s1,9
AdapterRemoval,match,1,11,s1,10
AdapterRemoval,match,1,12,s1,12
AdapterRemoval,match,1,13,s1,12
AdapterRemoval,match,1,14,s1,14
AdapterRemoval,match,1,15,s1,14
AdapterRemoval,match,1,16,s1,16
AdapterRemoval,match,1,17,s1,17
AdapterRemoval,match,1,18,s1,18
AdapterRemoval,match,1,19,s1,18
AdapterRemoval,match,1,20,s1,19
AdapterRemoval,match,1,21,s1,21
AdapterRemoval,match,1,22,s1,21
AdapterRemoval,match,1,23,s1,22
AdapterRemoval,match,1,24,s1,24
AdapterRemoval,match,1,25,s1,24
AdapterRemoval,match,1,26,s1,26
AdapterRemoval,match,1,27,s1,27
AdapterRemoval,match,1,28,s1,27
AdapterRemoval,match,1,29,s1,28
AdapterRemoval,match,1,30,s1,29
AdapterRemoval,match,1,31,s1,30
AdapterRemoval,match,1,32,s1,32
AdapterRemoval,match,1,33,s1,33
AdapterRemoval,match,1,34,s1,34
AdapterRemoval,match,1,35,s1,34
AdapterRemoval,match,1,36,s1,35
AdapterRemoval,match,1,37,s1,37
AdapterRemoval,match,1,38,s1,37
AdapterRemoval,match,1,39,s1,39
AdapterRemoval,match,1,40,s1,40
AdapterRemoval,match,1,41,s1,41
AdapterRemoval,match,2,0,s1,1
AdapterRemoval,match,2,1,s1,1
AdapterRemoval,match,2,2,s1,3
AdapterRemoval,match,2,3,s1,4
AdapterRemoval,match,2,4,s1,5
AdapterRemoval,match,2,5,s1,6
AdapterRemoval,match,2,6,s1,7
AdapterRemoval,match,2,7,s1,9
