predicted_phred,program,nfrags,fraglen,qual_shift,n_matches,n_mismatches,n_total,observed_phred_mean,observed_phred_lower,observed_phred_higher,alpha
1,AdapterRemoval,100000000,120,-20,153005,24142034,24295039,0.027437433397822803,0.027256757825212533,0.02761811648722686,0.01
2,AdapterRemoval,100000000,120,-20,109017418,110271477,219288895,2.985534474977612,2.9847834197589913,2.9862856601038263,0.01
3,AdapterRemoval,100000000,120,-20,20126266,16368133,36494399,3.4822707070029106,3.480217807614228,3.484324577251052,0.01
4,AdapterRemoval,100000000,120,-20,31010135,17958912,48969047,4.356416297960239,4.354316162194902,4.3585174497882635,0.01
5,AdapterRemoval,100000000,120,-20,36849898,15008057,51857955,5.38490916051485,5.382475679694344,5.387344005651354,0.01
6,AdapterRemoval,100000000,120,-20,30648393,9395983,40044376,6.295993082214314,6.292801516578294,6.29918699500951,0.01
7,AdapterRemoval,100000000,120,-20,24635522,5269296,29904818,7.539885681226478,7.535464744185103,7.544311123183936,0.01
8,AdapterRemoval,100000000,120,-20,12140533,2061600,14202133,8.381491698657541,8.374294203972308,8.388701141442551,0.01
9,AdapterRemoval,100000000,120,-20,34251002,4423972,38674974,9.416176608199393,9.411174343210881,9.421184641511822,0.01
10,AdapterRemoval,100000000,120,-20,32874662,3010570,35885232,10.762670286951415,10.756503748673268,10.768845593535959,0.01
11,AdapterRemoval,100000000,120,-20,27963638,2078773,30042411,11.599277158747157,11.591797990737547,11.606769229169675,0.01
12,AdapterRemoval,100000000,120,-20,49568841,2778423,52347264,12.750956221833205,12.744430429248062,12.75749183495844,0.01
13,AdapterRemoval,100000000,120,-20,90590155,3191485,93781640,14.681250155804486,14.675100100264707,14.687408932805981,0.01
14,AdapterRemoval,100000000,120,-20,35214894,1909264,37124158,12.887906285324476,12.88002840585261,12.895798480838723,0.01
15,AdapterRemoval,100000000,120,-20,20900686,562869,21463555,15.812943250502538,15.798254241037617,15.82768211081169,0.01
16,AdapterRemoval,100000000,120,-20,73564202,1369264,74933466,17.38188631023992,17.372424375098152,17.391368905034582,0.01
17,AdapterRemoval,100000000,120,-20,4916445,379393,5295838,11.448453778753496,11.430989868426833,11.465988198830319,0.01
18,AdapterRemoval,100000000,120,-20,808119607,13006708,821126315,18.002425799184866,17.999349725604446,18.005504053068336,0.01
19,AdapterRemoval,100000000,120,-20,2714183,32020,2746203,19.333113096587795,19.271403199368738,19.395712498217932,0.01
20,AdapterRemoval,100000000,120,-20,6429710,57161,6486871,20.549354435700135,20.503019269437928,20.596189290929495,0.01
21,AdapterRemoval,100000000,120,-20,6445158,43502,6488660,21.736457940532127,21.683329517564612,21.79024435562451,0.01
22,AdapterRemoval,100000000,120,-20,23369355,127236,23496591,22.66394849826087,22.63278414118167,22.69533810367745,0.01
23,AdapterRemoval,100000000,120,-20,10333280,46849,10380129,23.45502425548292,23.403761342061227,23.506899497030318,0.01
24,AdapterRemoval,100000000,120,-20,35020211,123728,35143939,24.533824436107935,24.502192991740333,24.56568795656792,0.01
25,AdapterRemoval,100000000,120,-20,16465507,45480,16510987,25.59952579442216,25.547455970786093,25.652227493796392,0.01
26,AdapterRemoval,100000000,120,-20,83466184,204843,83671027,26.111539720530537,26.08692317274004,26.13629659486131,0.01
27,AdapterRemoval,100000000,120,-20,51170547,92070,51262617,27.456826303636884,27.420147367990392,27.49381765669796,0.01
28,AdapterRemoval,100000000,120,-20,101419645,137071,101556716,28.69763067639478,28.667540140425043,28.727931153152774,0.01
29,AdapterRemoval,100000000,120,-20,103728724,108850,103837574,29.795260995968924,29.761503481967768,29.829282962521976,0.01
30,AdapterRemoval,100000000,120,-20,21047358,20093,21067451,30.20567208241719,30.127498992386094,30.28527812208731,0.01
31,AdapterRemoval,100000000,120,-20,175264999,134413,175399412,31.155868587888005,31.125474180665826,31.186477212621,0.01
32,AdapterRemoval,100000000,120,-20,66311804,38706,66350510,32.34065973119212,32.28418441027036,32.3978791395295,0.01
33,AdapterRemoval,100000000,120,-20,200691882,93352,200785234,33.32608144247758,33.28962999760313,33.36284142509977,0.01
34,AdapterRemoval,100000000,120,-20,116841078,41877,116882955,34.45775620795977,34.40344152714162,34.51275878302146,0.01
35,AdapterRemoval,100000000,120,-20,431359620,122570,431482190,35.46578688242396,35.43395553190277,35.49785326259275,0.01
36,AdapterRemoval,100000000,120,-20,728638387,162555,728800942,36.51608592882261,36.488431205624714,36.54391787911662,0.01
37,AdapterRemoval,100000000,120,-20,315633078,55053,315688131,37.58477263991502,37.53735933786865,37.63270928675024,0.01
38,AdapterRemoval,100000000,120,-20,498287872,69138,498357010,38.57823759253745,38.5359030946587,38.62098882758815,0.01
39,AdapterRemoval,100000000,120,-20,709540338,77106,709617444,39.639361089225474,39.599262670727306,39.67983318938753,0.01
40,AdapterRemoval,100000000,120,-20,6617177678,572174,6617749852,40.631822277333605,40.61705908807754,40.64663582306429,0.01
