,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,AdapterRemoval,100000000,120,-30,0.01,1,0.7943282347242815,6959,193237,200196,0.9652390657155987,0.9641709409944027,0.9662850100327558,0.15365109389254594,0.14894757613241685,0.1584596179302142
1,AdapterRemoval,100000000,120,-30,0.01,2,0.6309573444801932,1431107,1615693,3046800,0.5302917815412892,0.5295550809638768,0.5310283875077342,2.7548510352244366,2.748822619535008,2.7608886064704876
2,AdapterRemoval,100000000,120,-30,0.01,3,0.5011872336272722,441835,372902,814737,0.45769616452916706,0.4562740673327097,0.4591187559782042,3.394227269233615,3.380749650177919,3.407742139675383
3,AdapterRemoval,100000000,120,-30,0.01,4,0.3981071705534972,265308,174305,439613,0.39649646393532495,0.39459607139584585,0.39839909814158014,4.017606814869168,3.9968165336224075,4.03847242904403
4,AdapterRemoval,100000000,120,-30,0.01,5,0.31622776601683794,461868,197147,659015,0.2991540404998369,0.2977018616290116,0.30060912077840407,5.241051270190501,5.21997846624563,5.262184495565699
5,AdapterRemoval,100000000,120,-30,0.01,6,0.251188643150958,353100,118172,471272,0.25075115856660274,0.24912626448625907,0.25238108858691577,6.007570516956995,5.979431907514076,6.035804839441963
6,AdapterRemoval,100000000,120,-30,0.01,7,0.19952623149688797,190281,52693,242974,0.2168668252570234,0.21471679737946747,0.21902795334280678,6.638068781828733,6.595004549871925,6.681339792066949
7,AdapterRemoval,100000000,120,-30,0.01,8,0.15848931924611134,2174145,511299,2685444,0.19039644840853132,0.18977968398827594,0.1910143100613595,7.2034115705954225,7.189340958523536,7.217502808656785
8,AdapterRemoval,100000000,120,-30,0.01,9,0.12589254117941673,22845,2691,25536,0.10538063909774437,0.10048576871196635,0.11042331476688694,9.772391719068809,9.569392200344938,9.978954408057218
9,AdapterRemoval,100000000,120,-30,0.01,10,0.1,94433,10063,104496,0.09630033685499924,0.09396330415917498,0.09867422515200519,10.163721937268518,10.057962752545112,10.270417199396991
10,AdapterRemoval,100000000,120,-30,0.01,11,0.07943282347242814,71173,5500,76673,0.07173320464831166,0.06935288053795263,0.07416686489597213,11.442797668225918,11.297900786416541,11.589354960073148
11,AdapterRemoval,100000000,120,-30,0.01,12,0.06309573444801933,549540,34758,584298,0.05948676873787006,0.058692439747774716,0.06028828060030944,12.255796208787899,12.19767101877654,12.314178372069373
12,AdapterRemoval,100000000,120,-30,0.01,13,0.05011872336272722,1103125,46724,1149849,0.04063490075653412,0.040162083512701674,0.04111152337163104,13.911007965963291,13.860364303070845,13.961837651210558
13,AdapterRemoval,100000000,120,-30,0.01,14,0.039810717055349734,38112,1507,39619,0.03803730533329968,0.03560488456573718,0.04058142736810755,14.197902572532993,13.91672681620297,14.484904179139725
14,AdapterRemoval,100000000,120,-30,0.01,15,0.03162277660168379,522194,15452,537646,0.028740100363436164,0.02815642011773023,0.029332137507413036,15.415117195973949,15.326562877235181,15.504225633774842
15,AdapterRemoval,100000000,120,-30,0.01,16,0.025118864315095794,892486,19119,911605,0.02097289944658048,0.02058827079993497,0.021362536913706043,16.78341525347483,16.703471738250983,16.863801280581608
16,AdapterRemoval,100000000,120,-30,0.01,18,0.015848931924611134,1348061,21315,1369376,0.015565483840815087,0.01529432463387248,0.015840014735585606,18.078373750694695,18.002444187326024,18.154696958128945
17,AdapterRemoval,100000000,120,-30,0.01,19,0.012589254117941675,13162846,158325,13321171,0.011885216397267178,0.011808872249295055,0.01196190936670638,19.249929065497287,19.22199492484722,19.277915756544147
