predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
1,AdapterRemoval,10000000,120,-30,0,6292,162213,168505,0.16527135793307376
2,AdapterRemoval,10000000,120,-30,3,1278093,1441820,2719913,2.75643967292159
3,AdapterRemoval,10000000,120,-30,3,394253,329712,723965,3.415828170386492
4,AdapterRemoval,10000000,120,-30,4,235746,150392,386138,4.095178079555337
5,AdapterRemoval,10000000,120,-30,5,409557,171926,581483,5.291954633174754
6,AdapterRemoval,10000000,120,-30,6,312182,103800,415982,6.028771851195839
7,AdapterRemoval,10000000,120,-30,7,168281,44942,213223,6.761816540833079
8,AdapterRemoval,10000000,120,-30,7,1931885,430799,2362684,7.391309537678136
9,AdapterRemoval,10000000,120,-30,10,17980,2081,20061,9.840804977079356
10,AdapterRemoval,10000000,120,-30,10,74278,7979,82257,10.13224401208701
11,AdapterRemoval,10000000,120,-30,11,56400,4475,60875,11.336459345707599
12,AdapterRemoval,10000000,120,-30,12,434471,27335,461806,12.277404929476996
13,AdapterRemoval,10000000,120,-30,14,868710,36796,905506,13.91090722165234
14,AdapterRemoval,10000000,120,-30,14,30276,1124,31400,14.461633368401724
15,AdapterRemoval,10000000,120,-30,15,415849,12261,428110,15.430294799816481
16,AdapterRemoval,10000000,120,-30,17,712295,15181,727476,16.80518289914154
18,AdapterRemoval,10000000,120,-30,18,1077009,16937,1093946,18.101593971012548
19,AdapterRemoval,10000000,120,-30,19,10502299,126091,10628390,19.257833930754266
