predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
1,AdapterRemoval,10000000,120,0,0,0,1,1,0.0
2,AdapterRemoval,10000000,120,0,3,16448,16621,33069,2.9876391263603734
3,AdapterRemoval,10000000,120,0,3,164014,153358,317372,3.158621725688163
4,AdapterRemoval,10000000,120,0,4,59493,34734,94227,4.334205643165464
5,AdapterRemoval,10000000,120,0,5,34447,13768,48215,5.443113137779489
6,AdapterRemoval,10000000,120,0,6,36411,11047,47458,6.330650779919721
7,AdapterRemoval,10000000,120,0,8,21079,4123,25202,7.8622167242851155
8,AdapterRemoval,10000000,120,0,9,10933,1751,12684,8.599700872716049
9,AdapterRemoval,10000000,120,0,10,36105,4366,40471,9.670602041554949
10,AdapterRemoval,10000000,120,0,10,32699,3233,35932,10.458756863974415
11,AdapterRemoval,10000000,120,0,11,43632,3375,47007,11.43888758109275
12,AdapterRemoval,10000000,120,0,12,33251,2077,35328,12.30682555177987
13,AdapterRemoval,10000000,120,0,13,64865,3293,68158,13.159251074770847
14,AdapterRemoval,10000000,120,0,14,35049,1413,36462,14.116983248824015
15,AdapterRemoval,10000000,120,0,15,44741,1387,46128,15.218881639708478
16,AdapterRemoval,10000000,120,0,16,20054,482,20536,16.294688174245373
17,AdapterRemoval,10000000,120,0,17,39138,808,39946,16.940619368954234
18,AdapterRemoval,10000000,120,0,18,68982,1084,70066,18.104780425480424
19,AdapterRemoval,10000000,120,0,19,115346,1436,116782,19.10221468768244
20,AdapterRemoval,10000000,120,0,20,150407,1534,151941,19.958496207747245
21,AdapterRemoval,10000000,120,0,21,144503,1171,145674,20.948251504234953
22,AdapterRemoval,10000000,120,0,22,889807,5472,895279,22.138123089260734
23,AdapterRemoval,10000000,120,0,23,838525,4139,842664,23.08759014138124
24,AdapterRemoval,10000000,120,0,24,632599,2530,635129,23.99741421908773
25,AdapterRemoval,10000000,120,0,25,272906,884,273790,24.90965316753745
26,AdapterRemoval,10000000,120,0,100,725,0,725,100.0
27,AdapterRemoval,10000000,120,0,30,954,1,955,29.800033715837465
28,AdapterRemoval,10000000,120,0,30,1037,1,1038,30.16197353512439
29,AdapterRemoval,10000000,120,0,100,491,0,491,100.0
30,AdapterRemoval,10000000,120,0,31,1405,1,1406,31.47985320683805
31,AdapterRemoval,10000000,120,0,33,48389,27,48416,32.53625142184105
32,AdapterRemoval,10000000,120,0,33,130439,63,130502,33.16276618023845
33,AdapterRemoval,10000000,120,0,34,410554,181,410735,33.55883137137659
34,AdapterRemoval,10000000,120,0,34,502630,188,502818,34.27252967007101
35,AdapterRemoval,10000000,120,0,35,712475,224,712699,35.02658131097298
36,AdapterRemoval,10000000,120,0,37,361782,77,361859,36.720486535077875
37,AdapterRemoval,10000000,120,0,39,136975,19,136994,38.57947945590777
38,AdapterRemoval,10000000,120,0,100,1777,0,1777,100.0
39,AdapterRemoval,10000000,120,0,41,12379,1,12380,40.92720644684099
40,AdapterRemoval,10000000,120,0,40,64691,7,64698,39.6579281557888
41,AdapterRemoval,10000000,120,0,65,1193532649,337,1193532986,65.49204525353561
