,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,AdapterRemoval,100000000,120,-10,0.01,1,0.7943282347242815,0,39,39,1.0,0.8729698223892244,1.0,0.0,0.0,0.5900076911958925
1,AdapterRemoval,100000000,120,-10,0.01,2,0.6309573444801932,2092048,2449101,4541149,0.5393130681243887,0.5387104162920484,0.5399156375793143,2.681590561710446,2.6767409387334515,2.686446270261193
2,AdapterRemoval,100000000,120,-10,0.01,3,0.5011872336272722,15893198,15090179,30983377,0.4870411317655916,0.48680981701278325,0.4872724504977315,3.124343600492108,3.122281421484332,3.1264067236577784
3,AdapterRemoval,100000000,120,-10,0.01,4,0.3981071705534972,3967549,2255120,6222669,0.36240397810007247,0.36190764168968115,0.36290052491422986,4.40807043728592,4.402124036176065,4.414022466552076
4,AdapterRemoval,100000000,120,-10,0.01,5,0.31622776601683794,3429504,1368967,4798471,0.28529233582947566,0.2847614686811203,0.28582362876219536,5.447098951907177,5.439018713573098,5.455187758191022
5,AdapterRemoval,100000000,120,-10,0.01,6,0.251188643150958,3543649,1064276,4607925,0.23096643283039545,0.23046088073505955,0.23147254051928123,6.364511330767729,6.355005217444404,6.374027827373665
6,AdapterRemoval,100000000,120,-10,0.01,7,0.19952623149688797,2278046,457636,2735682,0.167284062986853,0.1667032131911077,0.1678660702917173,7.7654543193989625,7.750370761917589,7.780560290998981
7,AdapterRemoval,100000000,120,-10,0.01,8,0.15848931924611134,1618151,250004,1868155,0.13382401353206774,0.13318305486379856,0.13446683795839953,8.734659492832833,8.713848076128192,8.75551027772991
8,AdapterRemoval,100000000,120,-10,0.01,9,0.12589254117941673,4206716,512994,4719710,0.10869184759233089,0.10832309756325942,0.10906138666970411,9.638030288524407,9.623289847422456,9.652789295729214
9,AdapterRemoval,100000000,120,-10,0.01,10,0.1,4311293,424624,4735917,0.08966035511179778,0.08932250592220126,0.08999902892282263,10.473995453855869,10.457621765132846,10.490391013986535
10,AdapterRemoval,100000000,120,-10,0.01,11,0.07943282347242814,6738540,509572,7248112,0.07030410126112842,0.07005970930041228,0.07054905742217965,11.530193392316246,11.515087843062421,11.545316690378634
11,AdapterRemoval,100000000,120,-10,0.01,12,0.06309573444801933,3422273,205666,3627939,0.056689486785748054,0.056377203183953006,0.05700293355145447,12.464974746923348,12.441027935831961,12.488964728401559
12,AdapterRemoval,100000000,120,-10,0.01,13,0.05011872336272722,10166220,500396,10666616,0.04691234783365221,0.04674573464804799,0.047079365271152196,13.287128312676405,13.271694009920338,13.30258010531063
13,AdapterRemoval,100000000,120,-10,0.01,14,0.039810717055349734,5328216,199200,5527416,0.036038539527330674,0.035834641988428007,0.03624323607966917,14.432328172510541,14.407730320548717,14.456969300594293
14,AdapterRemoval,100000000,120,-10,0.01,15,0.03162277660168379,4578618,136167,4714785,0.02888085034630423,0.028682551954995028,0.02908010003884931,15.393900238700276,15.364041037880513,15.423822110702453
15,AdapterRemoval,100000000,120,-10,0.01,16,0.025118864315095794,1967740,44957,2012697,0.02233669548869005,0.02206926930123676,0.02260638230430423,16.50981076394061,16.457689321697323,16.562120458004735
16,AdapterRemoval,100000000,120,-10,0.01,17,0.0199526231496888,3885470,70944,3956414,0.017931389384427412,0.017759994851880623,0.018103944237703784,17.46386058535271,17.422267967297994,17.505571644470667
17,AdapterRemoval,100000000,120,-10,0.01,18,0.015848931924611134,6893097,98471,6991568,0.01408425120087511,0.013969717013681437,0.01419944713133825,18.512662376361465,18.47728564946758,18.548123913547798
18,AdapterRemoval,100000000,120,-10,0.01,19,0.012589254117941675,11936675,134259,12070934,0.011122503030834233,0.011044900915902711,0.011200490719856182,19.537974672365234,19.507629494497245,19.56838175842317
19,AdapterRemoval,100000000,120,-10,0.01,20,0.01,15943727,141831,16085558,0.008817288153758793,0.00875736195455401,0.008877505053984103,20.546649659966008,20.517090717814263,20.57626699896421
20,AdapterRemoval,100000000,120,-10,0.01,21,0.007943282347242814,15898097,111094,16009191,0.0069393887548721235,0.006886062257093095,0.006993008484298513,21.58678782005824,21.553359448497375,21.62029055144304
21,AdapterRemoval,100000000,120,-10,0.01,22,0.00630957344480193,90478558,522707,91001265,0.0057439531197725656,0.0057235679285044805,0.005764389999547426,22.4078911331784,22.392466439368825,22.423331585161765
