,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,AdapterRemoval,100000000,120,0,0.01,1,0.7943282347242815,4,15,19,0.7894736842105263,0.47289039057718385,0.9622305986258284,1.0266234189714771,0.1672083678799754,3.252395110251854
1,AdapterRemoval,100000000,120,0,0.01,2,0.6309573444801932,161795,164844,326639,0.5046672320206711,0.5024122679512653,0.5069220600315425,2.9699489303647986,2.9505880891172307,2.989397644967966
2,AdapterRemoval,100000000,120,0,0.01,3,0.5011872336272722,1641386,1532854,3174240,0.4829042542466858,0.4821816638021401,0.4836268959427137,3.1613896857413715,3.154895547204901,3.1678930880916734
3,AdapterRemoval,100000000,120,0,0.01,4,0.3981071705534972,595633,346005,941638,0.3674501241453722,0.3661705257991813,0.36873106239003384,4.348016015551436,4.332902753139992,4.363166163367131
4,AdapterRemoval,100000000,120,0,0.01,5,0.31622776601683794,343862,136747,480609,0.28452858768770456,0.28285327766728174,0.2862081664278342,5.458740918303013,5.433179785987917,5.484387843459992
5,AdapterRemoval,100000000,120,0,0.01,6,0.251188643150958,364755,109196,473951,0.23039512523446518,0.22882127454031376,0.23197439249109297,6.375267140776845,6.345599539609202,6.405035996957309
6,AdapterRemoval,100000000,120,0,0.01,7,0.19952623149688797,210410,41583,251993,0.16501648855325346,0.16311615008067737,0.1669294915017041,7.824726586350611,7.774669295580839,7.87503037465626
7,AdapterRemoval,100000000,120,0,0.01,8,0.15848931924611134,110697,17411,128108,0.13590876447997002,0.133452201851467,0.13839242330277324,8.667525355960361,8.588876859476821,8.746742563159389
8,AdapterRemoval,100000000,120,0,0.01,9,0.12589254117941673,357703,45118,402821,0.11200508414407392,0.11072850524537692,0.1132908384257526,9.507622633512243,9.458052091305657,9.557405627060675
9,AdapterRemoval,100000000,120,0,0.01,10,0.1,328580,32853,361433,0.09089651470673679,0.08966888450801769,0.09213492960064462,10.414527688423988,10.355756916606328,10.473582328843694
10,AdapterRemoval,100000000,120,0,0.01,11,0.07943282347242814,434577,34863,469440,0.074265081799591,0.07328259493573386,0.07525620911696562,11.292153362570625,11.234576621927255,11.349991607059682
11,AdapterRemoval,100000000,120,0,0.01,12,0.06309573444801933,331075,20706,351781,0.05886048422171749,0.05784287283477041,0.05989004833588207,12.301761694542993,12.22645336406551,12.377501454281777
12,AdapterRemoval,100000000,120,0,0.01,13,0.05011872336272722,650865,32367,683232,0.0473733665870451,0.04671378309380281,0.04803926205025566,13.244657510494635,13.184036725839409,13.305549601531627
13,AdapterRemoval,100000000,120,0,0.01,14,0.039810717055349734,353404,14164,367568,0.03853436643015714,0.03772119845631994,0.03935950537391508,14.14151777151533,14.049503679319828,14.23414517559889
14,AdapterRemoval,100000000,120,0,0.01,15,0.03162277660168379,451051,14241,465292,0.030606586831495062,0.029959867706758958,0.03126292502030448,15.14185099115397,15.049703909761725,15.234601086745547
15,AdapterRemoval,100000000,120,0,0.01,16,0.025118864315095794,202573,5075,207648,0.02444039913700108,0.023576057092799196,0.025326611729213466,16.118917058934095,15.964229075538164,16.275288254505632
16,AdapterRemoval,100000000,120,0,0.01,17,0.0199526231496888,391356,7608,398964,0.019069389719373178,0.018516126610308103,0.019634156246864154,17.196632055250312,17.06987757250933,17.32449858242966
17,AdapterRemoval,100000000,120,0,0.01,18,0.015848931924611134,687269,10674,697943,0.015293512507468375,0.014917733325911287,0.015675915774516103,18.154927573987372,18.047670786183517,18.2629716069933
18,AdapterRemoval,100000000,120,0,0.01,19,0.012589254117941675,1152820,14173,1166993,0.012144888615441567,0.011885277498225433,0.012408485741533304,19.156064638906265,19.062812140066306,19.249906738818567
