,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,ClipAndMerge,100000000,120,-10,0.01,0,1.0,0,107446,107446,1.0,0.9999506897722139,1.0,0.0,0.0,0.00021415687839454567
1,ClipAndMerge,100000000,120,-10,0.01,3,0.5011872336272722,344499,346058,690557,0.5011287989260843,0.4995782337158997,0.5026793485754548,3.000506384562995,2.9870895639506405,3.0139649180111103
2,ClipAndMerge,100000000,120,-10,0.01,4,0.3981071705534972,7058490,4664762,11723252,0.3979068265358452,0.39753859842040584,0.3982751375111715,4.002186099830002,3.9981680375567623,4.006206977819188
3,ClipAndMerge,100000000,120,-10,0.01,5,0.31622776601683794,9463314,4374959,13838273,0.31614920445636535,0.31582727087512774,0.3164712644483493,5.001079066884834,4.996657177416543,5.005503724935317
4,ClipAndMerge,100000000,120,-10,0.01,6,0.251188643150958,27191915,9114821,36306736,0.2510504111413375,0.25086506393076446,0.25123582359114227,6.002390630517615,5.9991843468524175,6.00559815363435
5,ClipAndMerge,100000000,120,-10,0.01,8,0.15848931924611134,2568547,483392,3051939,0.15838848679478848,0.15785052801429544,0.15892751086328039,8.002763903173369,7.988009185134972,8.017539610425187
6,ClipAndMerge,100000000,120,-10,0.01,11,0.07943282347242814,214344,29655,243999,0.12153738334993176,0.11983884621673824,0.12325070081105216,9.15290118070311,9.092106026186228,9.214023809206104
7,ClipAndMerge,100000000,120,-10,0.01,12,0.06309573444801933,69066,4968,74034,0.06710430342815463,0.06475683366297136,0.0695076178665236,11.732496274439574,11.579675951783425,11.887143945745889
8,ClipAndMerge,100000000,120,-10,0.01,13,0.05011872336272722,875854,60739,936593,0.06485100785506619,0.06419723445553016,0.06550920617023392,11.880832701197226,11.836976632451448,11.924836804447372
9,ClipAndMerge,100000000,120,-10,0.01,14,0.039810717055349734,2815481,119072,2934553,0.04057585601623143,0.040279752624013954,0.04087344995469855,13.917323092292914,13.885587037845113,13.949132053069896
10,ClipAndMerge,100000000,120,-10,0.01,15,0.03162277660168379,10500787,342468,10843255,0.031583505137525586,0.03144686063390356,0.03172056079383723,15.005396736496932,14.986591433116816,15.024227040319154
11,ClipAndMerge,100000000,120,-10,0.01,16,0.025118864315095794,4665306,122345,4787651,0.025554285389640975,0.02536888630007572,0.02574062795411003,15.925362593252572,15.893808624946343,15.956985979871046
12,ClipAndMerge,100000000,120,-10,0.01,17,0.0199526231496888,10312468,212878,10525346,0.020225273354434144,0.020113676828998006,0.020337303775130877,16.941055999742762,16.917066243335846,16.96508532059451
13,ClipAndMerge,100000000,120,-10,0.01,18,0.015848931924611134,10312610,169639,10482249,0.016183454523928976,0.01608323823163904,0.016284110196307267,17.909287682278606,17.88235967365701,17.936265050562135
14,ClipAndMerge,100000000,120,-10,0.01,19,0.012589254117941675,16205166,209269,16414435,0.012749083352549144,0.012677866542582739,0.012820582723449436,18.94521039484202,18.92092234737084,18.96953824272905
15,ClipAndMerge,100000000,120,-10,0.01,20,0.01,3387554,34029,3421583,0.009945396619050305,0.009807752209166631,0.010084405557478804,20.023778926772735,19.963496969272242,20.08430515047419
16,ClipAndMerge,100000000,120,-10,0.01,21,0.007943282347242814,17362331,145001,17507332,0.008282301380930002,0.008226613823191453,0.008338256320878923,20.818489702000488,20.789247586421627,20.847788890306703
17,ClipAndMerge,100000000,120,-10,0.01,22,0.00630957344480193,11733625,74863,11808488,0.00633976170361523,0.00628042393341155,0.006399497572247226,21.97927065895858,21.938541213545374,22.020110400641823
18,ClipAndMerge,100000000,120,-10,0.01,23,0.005011872336272725,64374606,334549,64709155,0.005170041240686886,0.0051471054598046795,0.005193049802471372,22.865059925866554,22.8457751240691,22.884369333348268
19,ClipAndMerge,100000000,120,-10,0.01,24,0.003981071705534973,122666083,543506,123209589,0.004411231336872652,0.0043958678855032796,0.004426633067405206,23.554401660500233,23.539264760798083,23.56955368445795
20,ClipAndMerge,100000000,120,-10,0.01,25,0.0031622776601683794,34648894,174381,34823275,0.005007599084233175,0.004976841261459031,0.005038492219482715,23.003704486624482,22.976994077463644,23.03046211048587
21,ClipAndMerge,100000000,120,-10,0.01,26,0.0025118864315095794,59737478,204938,59942416,0.003418914579619213,0.0033995255925676204,0.003438382424254538,24.66111749763057,24.63645821800508,24.6858168498875
22,ClipAndMerge,100000000,120,-10,0.01,27,0.001995262314968879,94853749,228938,95082687,0.002407777979602112,0.0023948511520669458,0.002420754619742227,26.18383561716151,26.160492306709656,26.20721474251439
23,ClipAndMerge,100000000,120,-10,0.01,28,0.001584893192461114,3050503953,5444444,3055948397,0.0017815889840760292,0.001779624605155683,0.0017835549166209663,27.491924812960793,27.4871351395766,27.496715983108963
