predicted_phred,program,nfrags,fraglen,qual_shift,n_matches,n_mismatches,n_total,observed_phred_mean,observed_phred_lower,observed_phred_higher,alpha
0,ClipAndMerge,100000000,120,-20,0,53502977,53502977,0.0,0.0,0.0,0.01
1,ClipAndMerge,100000000,120,-20,54637,211457,266094,0.9981301554976578,0.9871207048138496,1.0091675863010414,0.01
2,ClipAndMerge,100000000,120,-20,26915,46418,73333,1.9861302783985995,1.9547874948724633,2.0177009063308606,0.01
3,ClipAndMerge,100000000,120,-20,490678,492309,982987,3.00309999056714,2.9918502035983026,3.014378994222989,0.01
4,ClipAndMerge,100000000,120,-20,1516064,1003573,2519637,3.997890085928915,3.9892367423704473,4.006560705755035,0.01
5,ClipAndMerge,100000000,120,-20,6375666,2945558,9321224,5.003053660043831,4.997666318456254,5.008447692828758,0.01
6,ClipAndMerge,100000000,120,-20,3189495,1068772,4258267,6.003478213919811,5.994123391443735,6.012853230446917,0.01
7,ClipAndMerge,100000000,120,-20,7402189,1843678,9245867,7.002625684817493,6.995260277047129,7.010003605158731,0.01
8,ClipAndMerge,100000000,120,-20,7860204,1478420,9338624,8.004850607706036,7.996418109699936,8.013299510566888,0.01
9,ClipAndMerge,100000000,120,-20,12929435,1861774,14791209,9.000767126856696,8.993108641847694,9.008439140939297,0.01
10,ClipAndMerge,100000000,120,-20,2747881,306832,3054713,9.980697622426206,9.961585502451104,9.999894221554435,0.01
11,ClipAndMerge,100000000,120,-20,14891179,1322641,16213820,10.884433662356162,10.875121799044425,10.893765534476351,0.01
12,ClipAndMerge,100000000,120,-20,9981484,676913,10658397,11.971590379155778,11.958452371558085,11.984768251667449,0.01
13,ClipAndMerge,100000000,120,-20,56375306,3013558,59388864,12.946254636307682,12.939980704032749,12.95253764518402,0.01
14,ClipAndMerge,100000000,120,-20,112024679,4879082,116903761,13.794903662875438,13.789948850877725,13.799864134214129,0.01
15,ClipAndMerge,100000000,120,-20,36354087,1511385,37865472,13.988682670811576,13.979775836920684,13.997607809045473,0.01
16,ClipAndMerge,100000000,120,-20,61970065,1851932,63821997,15.373453531750698,15.365360896628761,15.381561274830062,0.01
17,ClipAndMerge,100000000,120,-20,99132954,2144142,101277096,16.742576960000907,16.735025161767563,16.750141912675083,0.01
18,ClipAndMerge,100000000,120,-20,3797900056,57961285,3855861341,18.22983402829404,18.22837598457642,18.231292561680664,0.01
