,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,ClipAndMerge,100000000,120,0,0.01,2,0.6309573444801932,39393,67630,107023,0.6319202414434281,0.6281124119291247,0.6357163248171069,1.9933773324751054,1.967366360023632,2.0196262455633294
1,ClipAndMerge,100000000,120,0,0.01,13,0.05011872336272722,666654,35333,701987,0.05033284092155553,0.04966303143888473,0.05100875318231601,12.981485561569032,12.923552918904534,13.03966774572066
2,ClipAndMerge,100000000,120,0,0.01,14,0.039810717055349734,11295180,467731,11762911,0.0397632014728327,0.039616591251052324,0.039910184058403964,14.005186563166895,13.989162693253512,14.021228953937806
3,ClipAndMerge,100000000,120,0,0.01,15,0.03162277660168379,13467045,441946,13908991,0.031774123658574516,0.03165310595208115,0.031895461745336195,14.979264186022379,14.962711062584651,14.995836685323251
4,ClipAndMerge,100000000,120,0,0.01,16,0.025118864315095794,35352182,908313,36260495,0.02504965803693524,0.024982857948770643,0.025116582768206497,16.011981984867848,16.000394487670533,16.023578813988713
5,ClipAndMerge,100000000,120,0,0.01,18,0.015848931924611134,3027841,48783,3076624,0.015856016204775104,0.015673157227091727,0.016040374044804073,17.998059190116248,17.947855086391154,18.048435097094725
6,ClipAndMerge,100000000,120,0,0.01,21,0.007943282347242814,227069,2921,229990,0.012700552197921648,0.012107015974457958,0.013314345681151973,18.961773962647666,18.756801716244034,19.16962884562978
7,ClipAndMerge,100000000,120,0,0.01,22,0.00630957344480193,73264,482,73746,0.006535947712418301,0.0057967051849381335,0.00733962100645269,21.84691430817599,21.343263650234068,22.368187868830503
8,ClipAndMerge,100000000,120,0,0.01,23,0.005011872336272725,909961,6017,915978,0.006568935061759125,0.006353536730019149,0.006789475948827617,21.825050313974383,21.68163745795438,21.969844550630505
9,ClipAndMerge,100000000,120,0,0.01,24,0.003981071705534973,2917256,11966,2929222,0.004085043741990194,0.003989683090533602,0.004182018952049504,23.888032887513305,23.786140033806447,23.990615999269323
10,ClipAndMerge,100000000,120,0,0.01,25,0.0031622776601683794,10793367,34146,10827513,0.003153632787141424,0.0031099142094330734,0.0031977885401387462,25.011888778437488,24.951502581905437,25.07251591321625
11,ClipAndMerge,100000000,120,0,0.01,26,0.0025118864315095794,4751708,12304,4764012,0.0025826971048771496,0.0025231917638313117,0.0026431981528802773,25.87926524292767,25.77870277853274,25.98049741631077
12,ClipAndMerge,100000000,120,0,0.01,27,0.001995262314968879,10471652,21269,10492921,0.002026985622020789,0.001991399114172232,0.002063024444372785,26.931493318689938,26.85495626126063,27.008416903935498
13,ClipAndMerge,100000000,120,0,0.01,28,0.001584893192461114,10412892,17247,10430139,0.0016535733608152299,0.0016213467925713099,0.0016862554001978447,27.815765328394875,27.730766464987674,27.901240832441356
14,ClipAndMerge,100000000,120,0,0.01,29,0.0012589254117941675,16308009,20756,16328765,0.0012711310377729117,0.0012485335024706723,0.0012940196794001269,28.95809676788012,28.880591188837844,29.03599799533756
15,ClipAndMerge,100000000,120,0,0.01,30,0.001,3402646,3439,3406085,0.0010096635873737738,0.0009658877971971958,0.0010548394600992106,29.95823305905081,29.768136322130772,30.15073320673864
16,ClipAndMerge,100000000,120,0,0.01,31,0.0007943282347242813,17354593,14349,17368942,0.0008261297665683954,0.0008084804718966332,0.0008440530817108716,30.829517293404514,30.736302401406807,30.923304656152894
17,ClipAndMerge,100000000,120,0,0.01,32,0.000630957344480193,11755552,7366,11762918,0.0006262051643988336,0.000607576562168477,0.0006452389022603144,32.032833550189004,31.9027945633629,32.16398987800078
18,ClipAndMerge,100000000,120,0,0.01,33,0.0005011872336272725,64321601,33065,64354666,0.0005137933588218763,0.0005065462247755281,0.0005211144389023481,32.89211513626802,32.83066893348803,32.95380917038284
19,ClipAndMerge,100000000,120,0,0.01,34,0.00039810717055349735,122218127,54441,122272568,0.00044524295915662786,0.0004403440867610797,0.00045018074378333495,33.51402939520197,33.46613085629359,33.562078312823324
20,ClipAndMerge,100000000,120,0,0.01,35,0.00031622776601683794,34174729,17703,34192432,0.0005177461492063506,0.0005077803163398009,0.0005278512328609208,32.85883122535238,32.77488459760222,32.943241381820556
21,ClipAndMerge,100000000,120,0,0.01,36,0.00025118864315095795,58916932,20608,58937540,0.00034965829927750635,0.00034341726237618886,0.000355980137032752,34.563561591507565,34.48574234099408,34.64177878172489
22,ClipAndMerge,100000000,120,0,0.01,37,0.00019952623149688788,93470787,22885,93493672,0.0002447759245139072,0.0002406286809207847,0.00024897411019575433,36.11231300435573,36.03845811071732,36.186526096508715
23,ClipAndMerge,100000000,120,0,0.01,38,0.00015848931924611142,2964361314,538106,2964899420,0.00018149216002747237,0.0001808555549621671,0.000182130369745237,37.411421305746806,37.39617630739607,37.42668147381398
