predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,ClipAndMerge,10000000,120,-20,0,0,6469926,6469926,0.0
1,ClipAndMerge,10000000,120,-20,1,12720,49507,62227,0.9931225392587866
2,ClipAndMerge,10000000,120,-20,2,5168,8787,13955,2.0088921442338874
3,ClipAndMerge,10000000,120,-20,3,105185,105195,210380,3.010093528195776
4,ClipAndMerge,10000000,120,-20,4,214630,142655,357285,3.987277853680711
5,ClipAndMerge,10000000,120,-20,5,882521,408096,1290617,5.00035043326609
6,ClipAndMerge,10000000,120,-20,6,459933,154624,614557,5.992852658565102
7,ClipAndMerge,10000000,120,-20,7,1073157,267319,1340476,7.002292149173312
8,ClipAndMerge,10000000,120,-20,8,1161702,218908,1380610,7.998093815707109
9,ClipAndMerge,10000000,120,-20,9,1968979,283393,2252372,9.002510011659687
10,ClipAndMerge,10000000,120,-20,10,398121,44228,442349,10.000677488965703
11,ClipAndMerge,10000000,120,-20,11,2364250,203286,2567536,11.014090711902561
12,ClipAndMerge,10000000,120,-20,12,1460203,97547,1557750,12.032838424595141
13,ClipAndMerge,10000000,120,-20,13,8586449,446518,9032967,13.059914528100316
14,ClipAndMerge,10000000,120,-20,14,18138070,728478,18866548,14.132760042232286
15,ClipAndMerge,10000000,120,-20,15,7410678,227854,7638532,15.253532452818714
16,ClipAndMerge,10000000,120,-20,16,12298080,296883,12594963,16.27611566112121
17,ClipAndMerge,10000000,120,-20,17,19602861,373757,19976618,17.279326297581505
18,ClipAndMerge,10000000,120,-20,18,893533861,12931351,906465212,18.457072414824825
