,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,ClipAndMerge,100000000,120,-10,0.01,0,1.0,0,80112,80112,1.0,0.9999338658108067,1.0,0.0,0.0,0.000287226632172967
1,ClipAndMerge,100000000,120,-10,0.01,3,0.5011872336272722,252340,253668,506008,0.5013122322176724,0.4995007037019983,0.5031237360440857,2.9989169829972524,2.9832519332858993,3.014638955988007
2,ClipAndMerge,100000000,120,-10,0.01,4,0.3981071705534972,5856867,3871737,9728604,0.3979745706578251,0.39757034076422104,0.3983789003354773,4.001446771117657,3.997036715297998,4.005860219681037
3,ClipAndMerge,100000000,120,-10,0.01,5,0.31622776601683794,9408932,4352148,13761080,0.3162650024562026,0.31594213544584937,0.3165879965046007,4.99948863984012,4.995055555211713,5.0039245079209715
4,ClipAndMerge,100000000,120,-10,0.01,6,0.251188643150958,29273750,9822488,39096238,0.2512386997439498,0.25106004191485165,0.2514174181096107,5.99913462901657,5.996046378400091,6.002224030050778
5,ClipAndMerge,100000000,120,-10,0.01,8,0.15848931924611134,2778321,523193,3301514,0.15847062892963654,0.1579532801884509,0.1589889621763334,8.000512184669777,7.986330255682725,8.014713507467913
6,ClipAndMerge,100000000,120,-10,0.01,11,0.07943282347242814,669954,57301,727255,0.07879079552564094,0.07797911642484179,0.07960799091648174,11.035245145651205,10.990433363232539,11.080216900763425
7,ClipAndMerge,100000000,120,-10,0.01,12,0.06309573444801933,154715,10427,165142,0.0631396010705938,0.06160756187711014,0.06469687450573147,11.996981663998849,11.8911669951215,12.10365978096207
8,ClipAndMerge,100000000,120,-10,0.01,13,0.05011872336272722,2330867,122824,2453691,0.0500568327470737,0.049698920279298786,0.05041649106770696,13.00536633033519,12.974273840257418,13.036530463136732
9,ClipAndMerge,100000000,120,-10,0.01,14,0.039810717055349734,3682066,152308,3834374,0.03972173815073855,0.039465268017194965,0.039979351055488,14.009717558272513,13.981642596253048,14.037849434605773
10,ClipAndMerge,100000000,120,-10,0.01,15,0.03162277660168379,13338159,434440,13772599,0.03154379213393202,0.031422604997449644,0.031665302983765464,15.010860978224741,14.994163521480179,15.027578139134409
11,ClipAndMerge,100000000,120,-10,0.01,16,0.025118864315095794,6403396,164513,6567909,0.025048002339861895,0.02489120442892334,0.02520548865285832,16.012269048214726,15.985048785796177,16.039540883580685
12,ClipAndMerge,100000000,120,-10,0.01,17,0.0199526231496888,14163107,287219,14450326,0.01987629898453502,0.019781845241447327,0.01997106897235401,17.01664479105156,16.99598688440778,17.037332000593096
13,ClipAndMerge,100000000,120,-10,0.01,18,0.015848931924611134,14674127,235596,14909723,0.015801500805883516,0.015718431436720137,0.01588487929297666,18.013016623645978,17.990160809686145,18.03590794961094
14,ClipAndMerge,100000000,120,-10,0.01,19,0.012589254117941675,24168935,307565,24476500,0.012565726308908546,0.012507805644653036,0.01262383651554555,19.008124037817232,18.98808638410335,19.028188757590133
15,ClipAndMerge,100000000,120,-10,0.01,20,0.01,4740848,47108,4787956,0.009838853991139434,0.009723047009445818,0.009955636093362474,20.070554843236444,20.019309864641098,20.12197614495627
16,ClipAndMerge,100000000,120,-10,0.01,21,0.007943282347242814,28047503,224344,28271847,0.007935243848765877,0.007892326608119338,0.007978326759265575,21.00439722904565,20.980881807562003,21.027949506412142
17,ClipAndMerge,100000000,120,-10,0.01,22,0.00630957344480193,16921771,107160,17028931,0.006292820142380047,0.006243568684131007,0.006342347638254475,22.011546808201494,21.97749957004951,22.045671063418162
18,ClipAndMerge,100000000,120,-10,0.01,23,0.005011872336272725,98878304,496524,99374828,0.004996476572517942,0.004978276294644757,0.005014724255538727,23.0133614456857,22.997529425219977,23.02921003687707
19,ClipAndMerge,100000000,120,-10,0.01,24,0.003981071705534973,209251303,833446,210084749,0.003967189450767795,0.003956027146069796,0.003978374223821635,24.015170595564875,24.00294367592515,24.0274073695659
20,ClipAndMerge,100000000,120,-10,0.01,25,0.0031622776601683794,87678030,276366,87954396,0.003142151075655161,0.003126800684119191,0.003157555235311804,25.027729377727947,25.00649043565567,25.048998016947213
21,ClipAndMerge,100000000,120,-10,0.01,26,0.0025118864315095794,143989175,360765,144349940,0.0024992390021083485,0.0024885473608213804,0.002509963445327945,26.02192210326693,26.00332603462374,26.0405408956024
22,ClipAndMerge,100000000,120,-10,0.01,27,0.001995262314968879,228453432,454183,228907615,0.0019841323321637856,0.0019765644786390313,0.001991720891101667,27.024293658451754,27.007715213075187,27.040890137215264
23,ClipAndMerge,100000000,120,-10,0.01,28,0.001584893192461114,10650741135,16825248,10667566383,0.001577233962828952,0.00157624446980964,0.0015782239003651055,28.021038797662015,28.018313840193876,28.023764241209207
