,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,SeqPrep,100000000,120,0,0.01,0,1.0,1184172,1188165,2372337,0.5008415752062207,0.5000051863134278,0.501677960723412,3.002996272153399,2.995749775978184,3.0102549091273794
1,SeqPrep,100000000,120,0,0.01,1,0.7943282347242815,496107,396463,892570,0.4441814087410511,0.44282645054565983,0.44553696220417827,3.5243962284774644,3.5111626061604015,3.537664460974232
2,SeqPrep,100000000,120,0,0.01,2,0.6309573444801932,323399,205721,529120,0.38879838221953433,0.38707223043012673,0.39052653485109334,4.102755508306162,4.083494520609592,4.122079849806173
3,SeqPrep,100000000,120,0,0.01,3,0.5011872336272722,232838,117164,350002,0.3347523728435838,0.33269856472603543,0.33681067678168275,4.752763358716741,4.726141499696714,4.779490726896607
4,SeqPrep,100000000,120,0,0.01,4,0.3981071705534972,320614,128225,448839,0.2856815027214658,0.2839458326376437,0.28742171934909877,5.441178783644064,5.4148041700533245,5.467645009046519
5,SeqPrep,100000000,120,0,0.01,5,0.31622776601683794,254125,80304,334429,0.24012271663043575,0.23822230448882875,0.2420305293081323,6.195667518939847,6.161298494170573,6.230175784412866
6,SeqPrep,100000000,120,0,0.01,6,0.251188643150958,85032,21211,106243,0.19964609433092062,0.19649598566528337,0.20282315245180604,6.9973918147325325,6.928824713892575,7.0664631766119745
7,SeqPrep,100000000,120,0,0.01,7,0.19952623149688797,195950,39124,235074,0.1664326977887814,0.1644585284522967,0.16842038632110412,7.787613470704344,7.736053408001613,7.839436000546435
8,SeqPrep,100000000,120,0,0.01,8,0.15848931924611134,102880,16361,119241,0.1372095168608113,0.1346533004574414,0.13979474240448886,8.62615764891692,8.545091618353705,8.707829972254533
9,SeqPrep,100000000,120,0,0.01,9,0.12589254117941673,334620,41985,376605,0.1114828533875015,0.1101654163725937,0.11281011818349385,9.527919241120543,9.476519457942853,9.579547197836124
10,SeqPrep,100000000,120,0,0.01,10,0.1,306178,30599,336777,0.09085834246400437,0.08958695891240676,0.09214130200325765,10.416351903180319,10.355456552390248,10.477552055676453
11,SeqPrep,100000000,120,0,0.01,11,0.07943282347242814,410918,32274,443192,0.07282171158324158,0.0718197869056385,0.07383282000093494,11.377391177335562,11.317505436396216,11.437558877903218
12,SeqPrep,100000000,120,0,0.01,12,0.06309573444801933,313975,19731,333706,0.05912689613012652,0.058079986773950765,0.060186398608558345,12.28214918716766,12.205016429058803,12.359734912060489
13,SeqPrep,100000000,120,0,0.01,13,0.05011872336272722,610039,30388,640427,0.047449592225187257,0.04676788180263347,0.04813803569439312,13.237675154835166,13.17511635384026,13.30052299586043
14,SeqPrep,100000000,120,0,0.01,14,0.039810717055349734,337924,13311,351235,0.03789770381653309,0.03707262628479635,0.038735327169287626,14.213871026973308,14.11892771510444,14.30946646757226
15,SeqPrep,100000000,120,0,0.01,15,0.03162277660168379,404343,12511,416854,0.03001290619737366,0.029336364033431206,0.030700200360901042,15.22691949114536,15.128587901465998,15.325937138761459
16,SeqPrep,100000000,120,0,0.01,16,0.025118864315095794,188902,4603,193505,0.02378749903103279,0.022904319919588412,0.024694183813532833,16.23651216395606,16.07405323466259,16.400825988695537
17,SeqPrep,100000000,120,0,0.01,17,0.0199526231496888,365346,7377,372723,0.01979217810545633,0.01920930432432788,0.020387347282256885,17.03506409576876,16.906392791568933,17.16488363070446
18,SeqPrep,100000000,120,0,0.01,18,0.015848931924611134,641701,9991,651692,0.015330861818159498,0.01494159935562056,0.015727218558193035,18.14433430771796,18.033480778623897,18.256029129527086
19,SeqPrep,100000000,120,0,0.01,19,0.012589254117941675,1079371,13471,1092842,0.012326576028373726,0.012056368743914692,0.012601038442254464,19.091575412865996,18.995936635207297,19.187834775980058
20,SeqPrep,100000000,120,0,0.01,20,0.01,1400991,13848,1414839,0.009787686090078093,0.00957579080776172,0.010002885093008618,20.093199677563994,19.99874720074001,20.188253500731474
21,SeqPrep,100000000,120,0,0.01,21,0.007943282347242814,1357232,10473,1367705,0.007657353011065983,0.007466704716857064,0.007851434901008592,21.1592133106669,21.050509658480618,21.2687102322314
22,SeqPrep,100000000,120,0,0.01,22,0.00630957344480193,8300995,51977,8352972,0.006222575629368805,0.006152711800491928,0.0062930024900622605,22.060298162592744,22.01142096407594,22.109334272469937
23,SeqPrep,100000000,120,0,0.01,23,0.005011872336272725,7822825,39074,7861899,0.004970046041039194,0.004905679137969909,0.005035012770149727,23.036395880721713,22.97999423621083,23.093008607701048
24,SeqPrep,100000000,120,0,0.01,24,0.003981071705534973,5885695,23076,5908771,0.0039053806620699973,0.0038396032136674974,0.003971958252243057,24.083366285269456,24.00995324858367,24.157136535018225
25,SeqPrep,100000000,120,0,0.01,25,0.0031622776601683794,2551800,8074,2559874,0.00315406148896391,0.0030645167679266283,0.0032454581776503177,25.011298442799696,24.8872398299957,25.13637998003147
26,SeqPrep,100000000,120,0,0.01,26,0.0025118864315095794,7556,18,7574,0.0023765513599155004,0.0011814265201826046,0.004233015174701982,26.240527956815015,23.733501746449306,29.27593284502707
27,SeqPrep,100000000,120,0,0.01,27,0.001995262314968879,483351,380,483731,0.0007855605698208302,0.0006856768933570789,0.0008953960533301109,31.04820323514122,30.479848242040056,31.638804855887308
28,SeqPrep,100000000,120,0,0.01,28,0.001584893192461114,1267744,720,1268464,0.0005676156359187175,0.0005146218425775562,0.000624392409135921,32.45945649684457,32.045423853828765,32.8851178456643
29,SeqPrep,100000000,120,0,0.01,29,0.0012589254117941675,4025214,1807,4027021,0.0004487187923777899,0.00042200073666354143,0.0004766244201483971,33.48025741799502,33.2182371007181,33.746867909136064
30,SeqPrep,100000000,120,0,0.01,30,0.001,4954809,1733,4956542,0.0003496389216514255,0.00032838739805951533,0.00037185562522157323,34.56380227875269,34.29625644365524,34.836135173815414
31,SeqPrep,100000000,120,0,0.01,31,0.0007943282347242813,7010352,1915,7012267,0.0002730928528534353,0.0002572880916114073,0.0002895797335874528,35.636896656857196,35.38231835772965,35.8958031432264
32,SeqPrep,100000000,120,0,0.01,32,0.000630957344480193,3545517,766,3546283,0.00021600080986204428,0.00019642967780275633,0.00023692561869836926,36.65544620525191,36.25387976601908,37.06792895712738
33,SeqPrep,100000000,120,0,0.01,33,0.0005011872336272725,534687,100,534787,0.00018699033446961127,0.00014234101474475125,0.00024076336501666074,37.28180841565104,36.1840959541057,38.46669942425947
34,SeqPrep,100000000,120,0,0.01,34,0.00039810717055349735,31852,7,31859,0.0002197181330236354,6.3952546979551e-05,0.0005377089212770247,36.58134099897255,32.69452757963569,41.94142154592089
35,SeqPrep,100000000,120,0,0.01,35,0.00031622776601683794,151463,20,151483,0.00013202801634506844,6.83480202996467e-05,0.00022884627509434097,38.793339017258184,36.40456152142685,41.65274060253303
36,SeqPrep,100000000,120,0,0.01,36,0.00025118864315095795,1005375,174,1005549,0.00017303980213793658,0.000141120670019923,0.00020978228430879042,37.61853990161958,36.78231189887887,38.50409370241843
37,SeqPrep,100000000,120,0,0.01,37,0.00019952623149688788,791989,42,792031,5.302822743049199e-05,3.432197691288774e-05,7.797684894961243e-05,42.754928897590965,41.08034318666441,44.64427705158073
38,SeqPrep,100000000,120,0,0.01,38,0.00015848931924611142,1250196,64,1250260,5.118935261465615e-05,3.620997745057419e-05,7.009609213115553e-05,42.90820362883049,41.543061933483614,44.41171745635743
39,SeqPrep,100000000,120,0,0.01,39,0.00012589254117941674,3574801,151,3574952,4.2238329353792724e-05,3.39101620390192e-05,5.1925445051170804e-05,43.74293267718034,42.846197724541184,44.696701349496124
40,SeqPrep,100000000,120,0,0.01,40,0.0001,4343694,165,4343859,3.7984658341810816e-05,3.080035545000026e-05,4.628638189063672e-05,44.20391775563068,43.345467657789385,45.11444271516343
41,SeqPrep,100000000,120,0,0.01,41,7.943282347242822e-05,5370890,143,5371033,2.6624301135368186e-05,2.1239279519469356e-05,3.291437331953695e-05,45.747217832541125,44.826144093386645,46.72860219512689
