predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,SeqPrep,10000000,120,-10,3,1079979,1112796,2192775,2.9457851524026686
1,SeqPrep,10000000,120,-10,3,410530,370144,780674,3.2409900171927597
2,SeqPrep,10000000,120,-10,4,278366,189036,467402,3.931460473397018
3,SeqPrep,10000000,120,-10,5,206666,107916,314582,4.646480297342629
4,SeqPrep,10000000,120,-10,5,300488,119439,419927,5.4602764070743435
5,SeqPrep,10000000,120,-10,6,238156,76115,314271,6.158340557387253
6,SeqPrep,10000000,120,-10,7,82217,20663,102880,6.971375798844333
7,SeqPrep,10000000,120,-10,8,201573,40106,241679,7.800295658028529
8,SeqPrep,10000000,120,-10,9,146166,22453,168619,8.756321330173273
9,SeqPrep,10000000,120,-10,10,487701,57329,545030,9.780460413725443
10,SeqPrep,10000000,120,-10,11,530924,45829,576753,10.99849481260011
11,SeqPrep,10000000,120,-10,12,759494,49226,808720,12.156036361751713
12,SeqPrep,10000000,120,-10,13,500272,25781,526053,13.09729742790247
13,SeqPrep,10000000,120,-10,13,614010,28864,642874,13.477693459163447
14,SeqPrep,10000000,120,-10,14,313604,11613,325217,14.472288132611002
15,SeqPrep,10000000,120,-10,15,402860,11951,414811,15.404460181365494
16,SeqPrep,10000000,120,-10,17,199896,4367,204263,16.700065141575365
17,SeqPrep,10000000,120,-10,18,422004,7241,429245,17.72906697563672
18,SeqPrep,10000000,120,-10,19,727977,10024,738001,18.67015892311457
19,SeqPrep,10000000,120,-10,20,1347479,14132,1361611,19.838494225117852
20,SeqPrep,10000000,120,-10,21,1708425,14526,1722951,20.741268866463237
21,SeqPrep,10000000,120,-10,22,1767724,11252,1778976,21.989403656037613
22,SeqPrep,10000000,120,-10,22,8916891,50855,8967746,22.46349640273968
23,SeqPrep,10000000,120,-10,24,8563134,37320,8600454,23.62579742272664
24,SeqPrep,10000000,120,-10,25,6545197,22062,6567259,24.73739264107685
25,SeqPrep,10000000,120,-10,26,3168609,7915,3176524,26.03501221766213
26,SeqPrep,10000000,120,-10,28,637945,962,638907,28.222625743424402
27,SeqPrep,10000000,120,-10,29,1393874,1594,1395468,29.422315649091185
28,SeqPrep,10000000,120,-10,31,1652059,1412,1653471,30.68561885569666
29,SeqPrep,10000000,120,-10,32,2053009,1212,2054221,32.29144544804623
30,SeqPrep,10000000,120,-10,33,1547108,738,1547846,33.21671387368006
31,SeqPrep,10000000,120,-10,33,4382841,2086,4384927,33.22648063563411
32,SeqPrep,10000000,120,-10,35,11054788,3724,11058512,34.7268702123582
33,SeqPrep,10000000,120,-10,36,18269356,4432,18273788,36.15228830496823
34,SeqPrep,10000000,120,-10,38,24242700,4259,24246959,37.55349638025977
35,SeqPrep,10000000,120,-10,40,660379,69,660448,39.80989538628767
36,SeqPrep,10000000,120,-10,40,2017582,205,2017787,39.931214586216846
37,SeqPrep,10000000,120,-10,42,1125784,68,1125852,42.18972390945999
38,SeqPrep,10000000,120,-10,42,872479,51,872530,42.332101920381184
39,SeqPrep,10000000,120,-10,43,1918133,93,1918226,43.14416824651289
40,SeqPrep,10000000,120,-10,45,1793340,61,1793401,44.683475725747314
41,SeqPrep,10000000,120,-10,46,5367712,138,5367850,45.89921284939565
42,SeqPrep,10000000,120,-10,46,5765938,132,5766070,46.40305979206589
43,SeqPrep,10000000,120,-10,48,12266446,213,12266659,47.60346689080982
44,SeqPrep,10000000,120,-10,49,6624647,91,6624738,48.62127314830506
45,SeqPrep,10000000,120,-10,50,13028743,139,13028882,49.718923505266275
46,SeqPrep,10000000,120,-10,51,12049454,98,12049552,50.89744824534179
47,SeqPrep,10000000,120,-10,51,19327840,143,19327983,51.30850497490802
48,SeqPrep,10000000,120,-10,53,7032513,34,7032547,53.15633726286621
49,SeqPrep,10000000,120,-10,55,21189663,74,21189737,54.5689384669395
50,SeqPrep,10000000,120,-10,54,12132858,48,12132906,54.0272359552824
51,SeqPrep,10000000,120,-10,57,44464925,94,44465019,56.74890628627007
52,SeqPrep,10000000,120,-10,57,74419950,157,74420107,56.757906376981595
53,SeqPrep,10000000,120,-10,57,31978756,57,31978813,57.48987483752819
54,SeqPrep,10000000,120,-10,58,50194234,71,50194305,58.493960965658104
55,SeqPrep,10000000,120,-10,61,71142157,59,71142216,60.81275377202879
56,SeqPrep,10000000,120,-10,61,660857901,555,660858456,60.75815468252902
