predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,SeqPrep,10000000,120,0,3,118473,118727,237200,3.005651905262052
1,SeqPrep,10000000,120,0,4,49337,39622,88959,3.512534986614082
2,SeqPrep,10000000,120,0,4,32235,20512,52747,4.10189756216392
3,SeqPrep,10000000,120,0,5,23141,11783,34924,4.71868101866569
4,SeqPrep,10000000,120,0,5,32049,12844,44893,5.434783314501993
5,SeqPrep,10000000,120,0,6,25500,8152,33652,6.1574670924520305
6,SeqPrep,10000000,120,0,7,8433,2148,10581,6.92492437359634
7,SeqPrep,10000000,120,0,8,19561,3847,23408,7.8424212247442
8,SeqPrep,10000000,120,0,9,10151,1625,11776,8.601444316785305
9,SeqPrep,10000000,120,0,10,33571,4008,37579,9.720175062193071
10,SeqPrep,10000000,120,0,10,30463,2998,33461,10.477072874324735
11,SeqPrep,10000000,120,0,11,41094,3176,44270,11.442290282237892
12,SeqPrep,10000000,120,0,12,31404,1952,33356,12.3269415183397
13,SeqPrep,10000000,120,0,13,60724,3089,63813,13.150912540112623
14,SeqPrep,10000000,120,0,14,33293,1322,34615,14.180328807978338
15,SeqPrep,10000000,120,0,15,40017,1245,41262,15.20380923293911
16,SeqPrep,10000000,120,0,16,18741,451,19192,16.289436930818137
17,SeqPrep,10000000,120,0,17,36385,744,37129,16.981403169302048
18,SeqPrep,10000000,120,0,18,64417,1014,65431,18.09745602793987
19,SeqPrep,10000000,120,0,19,107693,1341,109034,19.101331669689095
20,SeqPrep,10000000,120,0,20,139802,1433,141235,19.936961438771313
21,SeqPrep,10000000,120,0,21,134927,1083,136010,20.98942383988719
22,SeqPrep,10000000,120,0,22,828309,5087,833396,22.14389674038145
23,SeqPrep,10000000,120,0,23,781079,3863,784942,23.079128594150205
24,SeqPrep,10000000,120,0,24,588547,2349,590896,24.006280333073114
25,SeqPrep,10000000,120,0,25,254716,824,255540,24.915316787602766
26,SeqPrep,10000000,120,0,29,734,1,735,28.66287339084195
27,SeqPrep,10000000,120,0,33,48026,27,48053,32.503567421593054
28,SeqPrep,10000000,120,0,33,126729,62,126791,33.10696737635333
29,SeqPrep,10000000,120,0,33,401274,180,401454,33.48363284385186
30,SeqPrep,10000000,120,0,34,493314,184,493498,34.284675739338624
31,SeqPrep,10000000,120,0,35,699620,223,699843,34.966957599929856
32,SeqPrep,10000000,120,0,37,353561,76,353637,36.67744105392768
33,SeqPrep,10000000,120,0,39,53333,6,53339,39.48893618890106
34,SeqPrep,10000000,120,0,100,3208,0,3208,100.0
35,SeqPrep,10000000,120,0,37,14978,3,14981,36.984195492971054
36,SeqPrep,10000000,120,0,38,100671,15,100686,38.26877828723003
37,SeqPrep,10000000,120,0,42,79241,5,79246,42.00007345774344
38,SeqPrep,10000000,120,0,46,124437,3,124440,46.178387477170034
39,SeqPrep,10000000,120,0,43,357711,16,357727,43.494317377795504
40,SeqPrep,10000000,120,0,43,433702,23,433725,42.754866196777016
41,SeqPrep,10000000,120,0,46,534625,12,534637,46.48877765125207
42,SeqPrep,10000000,120,0,46,465842,13,465855,45.54307408805559
43,SeqPrep,10000000,120,0,48,647196,11,647207,47.69650520672401
44,SeqPrep,10000000,120,0,50,628361,7,628368,49.53116020221785
45,SeqPrep,10000000,120,0,49,780787,10,780797,48.92538136003476
46,SeqPrep,10000000,120,0,53,1066364,5,1066369,53.289375070466896
47,SeqPrep,10000000,120,0,51,2315280,19,2315299,50.8585348324131
48,SeqPrep,10000000,120,0,53,2319133,13,2319146,52.51384737857001
49,SeqPrep,10000000,120,0,54,2960775,13,2960788,53.5746395959907
50,SeqPrep,10000000,120,0,57,2241660,5,2241665,56.516007067231186
51,SeqPrep,10000000,120,0,55,7582295,22,7582317,55.3737925654503
52,SeqPrep,10000000,120,0,57,17355410,35,17355445,56.95367709270337
53,SeqPrep,10000000,120,0,58,26054032,45,26054077,57.62663178545816
54,SeqPrep,10000000,120,0,58,31939332,46,31939378,58.41568622581815
55,SeqPrep,10000000,120,0,54,718779,3,718782,53.794759380932405
56,SeqPrep,10000000,120,0,61,2303193,2,2303195,60.61300713398313
57,SeqPrep,10000000,120,0,58,1193920,2,1193922,57.75945959206332
58,SeqPrep,10000000,120,0,100,916623,0,916623,100.0
59,SeqPrep,10000000,120,0,63,2051046,1,2051047,63.119756123950744
60,SeqPrep,10000000,120,0,76,1069733272,27,1069733299,75.97911750713027
