,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,SeqPrep,100000000,120,-20,0.01,0,1.0,3487220,5183256,8670476,0.5978052416038059,0.597376193203812,0.5982341826723416,2.2344028135155685,2.2312877532034694,2.2375208900713823
1,SeqPrep,100000000,120,-20,0.01,1,0.7943282347242815,618251,535574,1153825,0.4641726431651247,0.462976447307067,0.46536913456555895,3.3332045903850993,3.322024245137924,3.344411019944701
2,SeqPrep,100000000,120,-20,0.01,2,0.6309573444801932,581143,377982,959125,0.3940904470220253,0.3928052223470039,0.39537672276515223,4.044040925535912,4.029889027315626,4.058227468998295
3,SeqPrep,100000000,120,-20,0.01,3,0.5011872336272722,574227,338155,912382,0.3706287497999741,0.36932645725653246,0.37193239205543016,4.310608953376688,4.295359967463604,4.325895798958715
4,SeqPrep,100000000,120,-20,0.01,4,0.3981071705534972,1183587,502887,1686474,0.2981884096641869,0.29728131673457603,0.2990966415056371,5.255092412207575,5.2418846354426964,5.268323840814534
5,SeqPrep,100000000,120,-20,0.01,5,0.31622776601683794,1100619,406557,1507176,0.2697475278268762,0.2688167083024092,0.2706798014094641,5.690425268343597,5.675441508187058,5.705437412059161
6,SeqPrep,100000000,120,-20,0.01,6,0.251188643150958,624290,176015,800305,0.21993489981944384,0.21874332377882233,0.22112980740504362,6.577058502372956,6.553527123330395,6.600651931182831
7,SeqPrep,100000000,120,-20,0.01,7,0.19952623149688797,1324048,289837,1613885,0.17958962379599538,0.17881197746264954,0.1803691598636814,7.4571875930747575,7.4383771760344235,7.476033939756924
8,SeqPrep,100000000,120,-20,0.01,8,0.15848931924611134,738893,134798,873691,0.15428566850293754,0.15329154632989417,0.15528355799749405,8.116744133999662,8.088745265572552,8.14481794809754
9,SeqPrep,100000000,120,-20,0.01,9,0.12589254117941673,2054758,274564,2329322,0.11787292611326386,0.11732927180888009,0.11841814192136224,9.285859352767908,9.265817576403567,9.305936247204043
10,SeqPrep,100000000,120,-20,0.01,10,0.1,1421580,138282,1559862,0.0886501498209457,0.08806487041415456,0.08923793985253636,10.523205260940278,10.49450464396749,10.551972996225684
11,SeqPrep,100000000,120,-20,0.01,11,0.07943282347242814,2308826,185845,2494671,0.07449679737328088,0.07406918743863489,0.07492603098191353,11.278623972249743,11.253672724507133,11.303624196639547
12,SeqPrep,100000000,120,-20,0.01,12,0.06309573444801933,1354603,83655,1438258,0.05816411241932949,0.05766252114524384,0.05866862897867242,12.353448948264237,12.315940606494316,12.391063731248686
13,SeqPrep,100000000,120,-20,0.01,13,0.05011872336272722,4125595,212065,4337660,0.04888926287445305,0.0486229494442344,0.04915656625962739,13.107865107412957,13.084184615581487,13.131587006036522
14,SeqPrep,100000000,120,-20,0.01,14,0.039810717055349734,4270698,190446,4461144,0.042689946793916536,0.042443784905283666,0.042937084493815836,13.69674386473234,13.671674482843768,13.721858950302137
15,SeqPrep,100000000,120,-20,0.01,15,0.03162277660168379,2472119,78820,2550939,0.030898426030571486,0.030620030708506274,0.031178572479680255,15.100636430233099,15.061437729954799,15.13994378088178
16,SeqPrep,100000000,120,-20,0.01,16,0.025118864315095794,2262551,60964,2323515,0.026237833627069333,0.025968482281124472,0.02650912685420226,15.810720261046729,15.766045766292901,15.855534318182853
17,SeqPrep,100000000,120,-20,0.01,17,0.0199526231496888,3615068,75430,3690498,0.020438975986438686,0.020249735778029687,0.02062945361436075,16.895408665891566,16.855122744704023,16.935806391600455
18,SeqPrep,100000000,120,-20,0.01,18,0.015848931924611134,48221027,899926,49120953,0.018320613608616265,0.0182713623781382,0.01836995815221787,17.370599846870903,17.35891833039949,17.382290688900184
19,SeqPrep,100000000,120,-20,0.01,19,0.012589254117941675,812382,7937,820319,0.009675504285527946,0.009399350546549057,0.00995736158092242,20.14326390369552,20.018557220825222,20.269021531869093
20,SeqPrep,100000000,120,-20,0.01,20,0.01,1091326,5753,1097079,0.005243925004489194,0.00506799796801205,0.005424157545061203,22.80343527960102,22.656677048421223,22.9516356791672
21,SeqPrep,100000000,120,-20,0.01,21,0.007943282347242814,2937031,13678,2950709,0.004635496079077943,0.004534267803274039,0.004738325123388898,23.33903781934248,23.24375143180712,23.43492833117869
22,SeqPrep,100000000,120,-20,0.01,22,0.00630957344480193,3619247,11647,3630894,0.0032077499370678406,0.0031318245304905457,0.0032849802345963353,24.937994948718192,24.834672392036126,25.042025785344244
23,SeqPrep,100000000,120,-20,0.01,23,0.005011872336272725,8062827,19857,8082684,0.0024567334316175173,0.002412112163002411,0.0025019414249849437,26.096419641784927,26.017228621500323,26.17602501407319
24,SeqPrep,100000000,120,-20,0.01,24,0.003981071705534973,4793248,8383,4801631,0.0017458651029202369,0.0016971809555028639,0.0017955393239900141,27.579893157969106,27.45805078978535,27.70271850206401
25,SeqPrep,100000000,120,-20,0.01,25,0.0031622776601683794,9823634,12786,9836420,0.0012998631615974104,0.0012704621558876639,0.001329747632527467,28.86102364070925,28.762307742212737,28.960382670433205
26,SeqPrep,100000000,120,-20,0.01,26,0.0025118864315095794,9443142,9447,9452589,0.0009994087334168449,0.000973134398851716,0.0010261866630477678,30.002568597581792,29.88773634001818,30.118271755087687
27,SeqPrep,100000000,120,-20,0.01,27,0.001995262314968879,15636572,12128,15648700,0.0007750164550409938,0.0007570159792441578,0.0007933211651893757,31.106890765160927,31.005509589215162,31.20894953228699
28,SeqPrep,100000000,120,-20,0.01,28,0.001584893192461114,5960218,3426,5963644,0.0005744809717011948,0.0005495215300919121,0.0006002407623739714,32.40724351696375,32.216745149542014,32.60015287377093
29,SeqPrep,100000000,120,-20,0.01,29,0.0012589254117941675,17927460,8400,17935860,0.0004683355021727422,0.000455280817119319,0.00048165591945625863,33.29442919276842,33.172630979514864,33.41720647945125
30,SeqPrep,100000000,120,-20,0.01,30,0.001,10514500,3794,10518294,0.00036070488236970746,0.0003458019171435067,0.00037606171931647836,34.4284797919017,34.24740872734879,34.611726033046125
31,SeqPrep,100000000,120,-20,0.01,31,0.0007943282347242813,38732983,11135,38744118,0.00028739846394232023,0.00028043245860553956,0.0002944874821957377,35.41515557367962,35.30933161076737,35.5217172045773
32,SeqPrep,100000000,120,-20,0.01,32,0.000630957344480193,65440634,14814,65455448,0.0002263218792727536,0.00022156141345530678,0.00023115514262539438,36.45273459354537,36.36096440149382,36.545058729265
33,SeqPrep,100000000,120,-20,0.01,33,0.0005011872336272725,28088588,4994,28093582,0.0001777630207497214,0.00017135104582799432,0.00018434489372898266,37.50158578318889,37.34368887653955,37.66113240542892
34,SeqPrep,100000000,120,-20,0.01,34,0.00039810717055349735,44325060,6216,44331276,0.00014021703322954205,0.00013567869424291334,0.00014486300571747712,38.53199226110662,38.39042508000607,38.674883446703966
35,SeqPrep,100000000,120,-20,0.01,35,0.00031622776601683794,63109479,7080,63116559,0.00011217341553743448,0.00010876944174098568,0.00011565297610649505,39.501100562117266,39.36843187017892,39.634931004773975
36,SeqPrep,100000000,120,-20,0.01,36,0.00025118864315095795,588651384,51609,588702993,8.766559812615052e-05,8.667483822166755e-05,8.866444602151358e-05,40.571707997364975,40.52250495073707,40.62106960280191
