,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,SeqPrep,100000000,120,0,0.01,0,1.0,1181795,1186436,2368231,0.5009798452938079,0.5001427316169561,0.5018169550332354,3.0017974569712935,2.9945466914142167,3.0090603824850755
1,SeqPrep,100000000,120,0,0.01,1,0.7943282347242815,496761,397691,894452,0.44461972246694065,0.4432660548560563,0.44597397942802797,3.520112767504162,3.5069047967459865,3.533355255316227
2,SeqPrep,100000000,120,0,0.01,2,0.6309573444801932,323056,205839,528895,0.3891868896472835,0.3874600539300843,0.39091572006431774,4.0984179802789145,4.0791686474320645,4.117730654208747
3,SeqPrep,100000000,120,0,0.01,3,0.5011872336272722,232150,116914,349064,0.334935713794605,0.3328788669530074,0.33699706354168335,4.75038541689835,4.723738833814787,4.777137754561992
4,SeqPrep,100000000,120,0,0.01,4,0.3981071705534972,320691,127535,448226,0.2845328026486638,0.2827980627429154,0.28627211972564814,5.458676583090076,5.432209462113805,5.485235699209076
5,SeqPrep,100000000,120,0,0.01,5,0.31622776601683794,255299,80355,335654,0.23939830897293046,0.2375033372574017,0.2413006747631108,6.2087892162517555,6.17441463646598,6.243302835452558
6,SeqPrep,100000000,120,0,0.01,6,0.251188643150958,84709,21385,106094,0.2015665353365883,0.1984027813341115,0.20475710392762037,6.9558156907691036,6.887610217138434,7.024522439278571
7,SeqPrep,100000000,120,0,0.01,7,0.19952623149688797,196143,38684,234827,0.1647340382494347,0.16276699115726778,0.16671468776926235,7.832166552530473,7.780261366078493,7.8843366462965925
8,SeqPrep,100000000,120,0,0.01,8,0.15848931924611134,103269,16273,119542,0.13612788810627227,0.13358344522606858,0.13870135349118307,8.66052893092466,8.579193009246671,8.74247359917731
9,SeqPrep,100000000,120,0,0.01,9,0.12589254117941673,333456,41957,375413,0.1117622458465743,0.11044127250126912,0.11309307109437305,9.517048797198006,9.465640023040747,9.56868598075009
10,SeqPrep,100000000,120,0,0.01,10,0.1,306274,30614,336888,0.09087293106314265,0.08960166390536206,0.09215576997745156,10.415654637597452,10.354774679227303,10.47683925402523
11,SeqPrep,100000000,120,0,0.01,11,0.07943282347242814,409908,32901,442809,0.07430065784570775,0.07328893389760394,0.075321541529212,11.290073410510526,11.230808003019519,11.34961595754783
12,SeqPrep,100000000,120,0,0.01,12,0.06309573444801933,312739,19461,332200,0.05858217940999398,0.05753748139124948,0.05963954343589417,12.322344754654866,12.244656899009808,12.400491525573042
13,SeqPrep,100000000,120,0,0.01,13,0.05011872336272722,609420,30235,639655,0.04726766772713416,0.04658679756645956,0.047955281796576044,13.25435826049625,13.191635526480574,13.317371424604891
14,SeqPrep,100000000,120,0,0.01,14,0.039810717055349734,337699,13351,351050,0.03803161942743199,0.037204916473605576,0.038870871133576346,14.198551814665787,14.103757263029806,14.293996661322847
15,SeqPrep,100000000,120,0,0.01,15,0.03162277660168379,402905,12698,415603,0.030553196199257466,0.0298697194105636,0.03124744476747343,15.149433510812225,15.051854909201737,15.24768857041545
16,SeqPrep,100000000,120,0,0.01,16,0.025118864315095794,189568,4767,194335,0.024529806776957316,0.023635035808313276,0.025447944960843905,16.103058727488413,15.943472831975978,16.264437353817534
17,SeqPrep,100000000,120,0,0.01,17,0.0199526231496888,364722,7110,371832,0.019121538759439748,0.018547837580544013,0.019707582718767824,17.184771618588705,17.053666418941397,17.317067157836913
18,SeqPrep,100000000,120,0,0.01,18,0.015848931924611134,641285,9963,651248,0.01529831953418667,0.014909335551699265,0.015694403134072,18.153562722616293,18.04255196084229,18.265417108501936
