,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,bbmerge,100000000,120,-10,0.01,0,1.0,0,366001,366001,1.0,0.9999855238673737,1.0,0.0,0.0,6.28695002436589e-05
1,bbmerge,100000000,120,-10,0.01,1,0.7943282347242815,69098,62855,131953,0.4763438497040613,0.47279943655756695,0.4798899708617135,3.2207943778727706,3.188583262187126,3.2532304968197314
2,bbmerge,100000000,120,-10,0.01,2,0.6309573444801932,50706,35359,86065,0.41084064369952944,0.4065201326026636,0.4151710282277161,3.863265990053968,3.817729603615173,3.909179414309647
3,bbmerge,100000000,120,-10,0.01,3,0.5011872336272722,42914,21859,64773,0.3374708597718185,0.3326895879287778,0.34227605500474867,4.717637220527382,4.656234822324179,4.779607908830155
4,bbmerge,100000000,120,-10,0.01,4,0.3981071705534972,59817,51827,111644,0.46421661710436746,0.46036910313203294,0.46806718506821643,3.332793175906448,3.2969180502369575,3.3689383097954018
5,bbmerge,100000000,120,-10,0.01,5,0.31622776601683794,63589,32371,95960,0.33733847436431846,0.3334099831808084,0.34128312072434064,4.719341235270242,4.668851906476818,4.770214003825606
6,bbmerge,100000000,120,-10,0.01,6,0.251188643150958,82567,15026,97593,0.15396596067340895,0.1510019038712791,0.15696382830246236,8.12575283876097,8.042004175179047,8.210175769745243
7,bbmerge,100000000,120,-10,0.01,7,0.19952623149688797,228287,17590,245877,0.07153983495812948,0.07020730968940825,0.07288897261584004,11.454520661000537,11.373381711929513,11.536176686037006
8,bbmerge,100000000,120,-10,0.01,8,0.15848931924611134,25163,4743,29906,0.15859693706948438,0.1531938356991127,0.1641090951592994,7.997052043240033,7.84867349062464,8.147587097407595
9,bbmerge,100000000,120,-10,0.01,9,0.12589254117941673,68320,8159,76479,0.10668288026778593,0.10382550890316211,0.10958932942141864,9.719052675648411,9.60231730514069,9.836959315082987
