,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,bbmerge,100000000,120,0,0.01,0,1.0,0,26404,26404,1.0,0.9997993566954704,1.0,0.0,0.0,0.0008714702301377932
1,bbmerge,100000000,120,0,0.01,1,0.7943282347242815,7083,5787,12870,0.44965034965034967,0.4383369165310469,0.46100117132926943,3.4712506454083973,3.3629797113705044,3.5819195172665967
2,bbmerge,100000000,120,0,0.01,2,0.6309573444801932,6585,3747,10332,0.3626596980255517,0.3504938802934212,0.37495264153256314,4.405007044074816,4.260235824587263,4.553195605161539
3,bbmerge,100000000,120,0,0.01,3,0.5011872336272722,6710,2726,9436,0.28889359898261974,0.2769310930649175,0.3010701889172891,5.392620807149031,5.213322449179154,5.5762828012145285
4,bbmerge,100000000,120,0,0.01,4,0.3981071705534972,6208,13339,19547,0.6824065073924387,0.6737601610853942,0.6909637218344613,1.6595684041152876,1.6054475410294853,1.7149467209085858
5,bbmerge,100000000,120,0,0.01,5,0.31622776601683794,7894,7008,14902,0.4702724466514562,0.4597181443847672,0.4808458076506825,3.276504659015424,3.179941660837457,3.375083549604281
6,bbmerge,100000000,120,0,0.01,6,0.251188643150958,2886,1788,4674,0.38254172015404364,0.3642513897974131,0.4010729367789808,4.173211935963092,3.9677664194277327,4.385987825087039
7,bbmerge,100000000,120,0,0.01,7,0.19952623149688797,3812,897,4709,0.19048630282437884,0.17595996620752152,0.20564384278693892,7.201362473986304,6.868842892361964,7.545861300998595
8,bbmerge,100000000,120,0,0.01,8,0.15848931924611134,2874,618,3492,0.17697594501718214,0.1606479223087235,0.19419384058022104,7.5208575994471625,7.117645491161911,7.941248868923665
9,bbmerge,100000000,120,0,0.01,9,0.12589254117941673,5402,532,5934,0.08965284799460735,0.08034857630005776,0.09962270806284512,10.474359096857748,10.016416569344413,10.950218141154053
10,bbmerge,100000000,120,0,0.01,10,0.1,9344,596,9940,0.05995975855130785,0.05398776411487227,0.0663575583689251,12.22140124657077,11.781096022500117,12.677046583165026
11,bbmerge,100000000,120,0,0.01,11,0.07943282347242814,12272,710,12982,0.05469111076875674,0.0496763904999048,0.06003546640848456,12.620832560760299,12.215921110343295,13.038499676407156
12,bbmerge,100000000,120,0,0.01,12,0.06309573444801933,9572,282,9854,0.028617820174548406,0.024469339463884965,0.03322857700491899,15.433634496195292,14.784882567394654,16.113777540262955
13,bbmerge,100000000,120,0,0.01,13,0.05011872336272722,13371,596,13967,0.04267201260113124,0.03838752556762637,0.04727142934986328,13.698568734061451,13.254012657027287,14.158098812912947
14,bbmerge,100000000,120,0,0.01,14,0.039810717055349734,6302,192,6494,0.02956575300277179,0.024421116039064716,0.035412645513883234,15.292110555864332,14.508416279110634,16.12234492785398
15,bbmerge,100000000,120,0,0.01,15,0.03162277660168379,6762,172,6934,0.024805307182001732,0.020249788660159584,0.030025850788358066,16.05455390412829,15.22504677931574,16.935795050026684
16,bbmerge,100000000,120,0,0.01,16,0.025118864315095794,5741,104,5845,0.017792985457656115,0.013647672064904137,0.022743159070704122,17.497511761990786,16.431492110781065,18.649414215600242
17,bbmerge,100000000,120,0,0.01,17,0.0199526231496888,29994,131,30125,0.004348547717842323,0.0034337917674314156,0.005423417259869168,23.616557599271605,22.657269810914617,24.642260449344203
18,bbmerge,100000000,120,0,0.01,18,0.015848931924611134,104462,270,104732,0.0025780086315548255,0.00219223531174384,0.0030096943680096855,25.887156328979163,25.214776044148568,26.59112831069529
19,bbmerge,100000000,120,0,0.01,19,0.012589254117941675,261993,271,262264,0.0010333099472287467,0.0008788586701372614,0.0012061522143697045,29.857693898251696,29.18597881508115,30.560809585035123
20,bbmerge,100000000,120,0,0.01,20,0.01,156233,627,156860,0.003997194950911641,0.003598695087941417,0.004426097559324549,23.982446698433556,23.539790176547264,24.438549489109377
21,bbmerge,100000000,120,0,0.01,21,0.007943282347242814,125502,208,125710,0.001654601861427094,0.0013742226171029603,0.001973385577922482,27.81306491427077,27.047880500728784,28.61942908071211
