predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,bbmerge,10000000,120,-20,0,0,389616,389616,0.0
1,bbmerge,10000000,120,-20,4,32283,25777,58060,3.5264465995458543
2,bbmerge,10000000,120,-20,2,29758,46473,76231,2.149309082311601
3,bbmerge,10000000,120,-20,5,30720,15658,46378,4.715757275074695
4,bbmerge,10000000,120,-20,5,57827,23434,81261,5.400357368763757
5,bbmerge,10000000,120,-20,6,48189,16025,64214,6.028316855150898
6,bbmerge,10000000,120,-20,7,24019,5582,29601,7.245165507693674
7,bbmerge,10000000,120,-20,8,44423,8588,53011,7.904739610746586
8,bbmerge,10000000,120,-20,8,18326,3259,21585,8.210676925271423
9,bbmerge,10000000,120,-20,10,65034,7694,72728,9.755494627860262
10,bbmerge,10000000,120,-20,11,54019,4186,58205,11.431610695671273
11,bbmerge,10000000,120,-20,12,104472,6383,110855,12.397304418654267
12,bbmerge,10000000,120,-20,15,128731,4618,133349,14.605358346310117
13,bbmerge,10000000,120,-20,13,117183,5517,122700,13.471415787692642
14,bbmerge,10000000,120,-20,14,121745,4785,126530,14.223115659268812
15,bbmerge,10000000,120,-20,18,193459,2801,196260,18.45518685685057
16,bbmerge,10000000,120,-20,20,1504336,16096,1520432,19.75249038095336
17,bbmerge,10000000,120,-20,22,211880,1230,213110,22.38698717640937
18,bbmerge,10000000,120,-20,13,313595,15225,328820,13.34400923698986
19,bbmerge,10000000,120,-20,28,1021672,1675,1023347,27.86008109369956
20,bbmerge,10000000,120,-20,32,1648915,1013,1649928,32.118555474081994
21,bbmerge,10000000,120,-20,36,5028291,1208,5029499,36.19457791849945
22,bbmerge,10000000,120,-20,40,26106967,2433,26109400,40.30654782820001
