predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,bbmerge,10000000,120,0,0,0,239825,239825,0.0
1,bbmerge,10000000,120,0,4,50781,40705,91486,3.5170688047471765
2,bbmerge,10000000,120,0,4,32994,21027,54021,4.097853045866222
3,bbmerge,10000000,120,0,5,23621,12066,35687,4.709467198806512
4,bbmerge,10000000,120,0,5,32319,12979,45298,5.428377950076387
5,bbmerge,10000000,120,0,6,25706,8216,33922,6.158210192265225
6,bbmerge,10000000,120,0,7,8536,2158,10694,6.9508873941743
7,bbmerge,10000000,120,0,8,19823,3889,23712,7.851302431517744
8,bbmerge,10000000,120,0,9,10304,1654,11958,8.591230438676034
9,bbmerge,10000000,120,0,10,33987,4095,38082,9.684658426011627
10,bbmerge,10000000,120,0,10,30898,3045,33943,10.47162927160887
11,bbmerge,10000000,120,0,11,41720,3227,44947,11.439017445268465
12,bbmerge,10000000,120,0,12,31904,1984,33888,12.325042706092312
13,bbmerge,10000000,120,0,13,62069,3134,65203,13.181685860145684
14,bbmerge,10000000,120,0,14,34434,1357,35791,14.211939850810566
15,bbmerge,10000000,120,0,15,41162,1266,42428,15.252188544982996
16,bbmerge,10000000,120,0,16,19797,466,20263,16.383178277396407
17,bbmerge,10000000,120,0,23,159848,828,160676,22.879206747266405
18,bbmerge,10000000,120,0,26,495697,1181,496878,26.239998705344775
19,bbmerge,10000000,120,0,29,1290942,1814,1292756,28.52879279392701
20,bbmerge,10000000,120,0,25,465586,1542,467128,24.8135152628755
21,bbmerge,10000000,120,0,24,259889,1140,261029,23.597839082636103
22,bbmerge,10000000,120,0,22,847264,5211,852475,22.13760578402467
23,bbmerge,10000000,120,0,23,801770,3958,805728,23.087126662822964
24,bbmerge,10000000,120,0,24,629090,2424,631514,24.15850367354902
25,bbmerge,10000000,120,0,26,315384,858,316242,25.665322600907405
26,bbmerge,10000000,120,0,43,84898,4,84902,43.26857929525333
27,bbmerge,10000000,120,0,43,252732,12,252744,43.2349960843175
28,bbmerge,10000000,120,0,43,459942,24,459966,42.825144887566815
29,bbmerge,10000000,120,0,45,443484,15,443499,44.70801385867483
30,bbmerge,10000000,120,0,49,507928,7,507935,48.6071009953841
31,bbmerge,10000000,120,0,47,738966,14,738980,47.225046489856325
32,bbmerge,10000000,120,0,49,860010,12,860022,48.55328314912682
33,bbmerge,10000000,120,0,49,783168,9,783177,49.39617415372412
34,bbmerge,10000000,120,0,54,919878,4,919882,53.61672129457134
35,bbmerge,10000000,120,0,50,1291925,12,1291937,50.320600901970025
36,bbmerge,10000000,120,0,50,2745287,30,2745317,49.61471244668287
37,bbmerge,10000000,120,0,53,5213890,25,5213915,53.19223938119639
38,bbmerge,10000000,120,0,55,3118121,10,3118131,54.93894356966362
39,bbmerge,10000000,120,0,56,4658010,11,4658021,56.26808756997406
40,bbmerge,10000000,120,0,57,6886764,13,6886777,57.2407266806233
41,bbmerge,10000000,120,0,69,1150058382,159,1150058541,68.5932282332549
