,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,bbmerge,100000000,120,-10,0.01,0,1.0,0,5944727,5944727,1.0,0.9999991087370361,1.0,0.0,0.0,3.87070759626922e-06
1,bbmerge,100000000,120,-10,0.01,1,0.7943282347242815,1078267,969184,2047451,0.47336126725377065,0.4724622857631343,0.4742603725643284,3.248072810629208,3.2398316186641862,3.256328532683091
2,bbmerge,100000000,120,-10,0.01,2,0.6309573444801932,738857,501937,1240794,0.40452887425309925,0.40339390060364544,0.4056645802428642,3.9305047409807443,3.9183291015765294,3.9427067269292575
3,bbmerge,100000000,120,-10,0.01,3,0.5011872336272722,551507,287972,839479,0.34303657387498676,0.3417022653792263,0.344372662223259,4.646595738776166,4.6297133200591,4.663521419550092
4,bbmerge,100000000,120,-10,0.01,4,0.3981071705534972,892324,343483,1235807,0.2779422676841934,0.2769047013467192,0.2789815443394962,5.56045403470349,5.544245259616288,5.576696706480522
5,bbmerge,100000000,120,-10,0.01,5,0.31622776601683794,836609,233643,1070252,0.21830652967712277,0.21727876604871543,0.21933679878672652,6.609332740923618,6.588884993333829,6.629827138012655
6,bbmerge,100000000,120,-10,0.01,6,0.251188643150958,1122579,142910,1265489,0.11292867816314484,0.11220502092693807,0.11365524737778687,9.471957552722776,9.444105084246349,9.499877089258923
7,bbmerge,100000000,120,-10,0.01,7,0.19952623149688797,3196756,243384,3440140,0.07074828350009012,0.0703926469451489,0.07110510776145273,11.502840925596052,11.480992010573189,11.524727038966422
8,bbmerge,100000000,120,-10,0.01,8,0.15848931924611134,332783,45455,378238,0.12017565659716897,0.11881723388164456,0.12154364526658534,9.201834963618008,9.152677426849106,9.251205624114565
9,bbmerge,100000000,120,-10,0.01,9,0.12589254117941673,1038062,112440,1150502,0.09773125122772494,0.09701936871753825,0.09844646280995473,10.099665410351077,10.067998834843735,10.131415555539217
10,bbmerge,100000000,120,-10,0.01,10,0.1,791096,77124,868220,0.08883002004100343,0.08804522969169226,0.08961932021643104,10.514402399095433,10.475983546360146,10.55294169221941
