predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,bbmerge,10000000,120,0,0,0,239825,239825,0.0
1,bbmerge,10000000,120,0,4,50781,40705,91486,3.5170688047471765
2,bbmerge,10000000,120,0,4,32994,21027,54021,4.097853045866222
3,bbmerge,10000000,120,0,5,23621,12066,35687,4.709467198806512
4,bbmerge,10000000,120,0,5,32319,12979,45298,5.428377950076387
5,bbmerge,10000000,120,0,6,25706,8216,33922,6.158210192265225
6,bbmerge,10000000,120,0,7,8536,2158,10694,6.9508873941743
7,bbmerge,10000000,120,0,8,19823,3889,23712,7.851302431517744
8,bbmerge,10000000,120,0,9,10304,1654,11958,8.591230438676034
9,bbmerge,10000000,120,0,10,33987,4095,38082,9.684658426011627
10,bbmerge,10000000,120,0,10,30898,3045,33943,10.47162927160887
11,bbmerge,10000000,120,0,11,41720,3227,44947,11.439017445268465
12,bbmerge,10000000,120,0,12,31904,1984,33888,12.325042706092312
13,bbmerge,10000000,120,0,13,62069,3134,65203,13.181685860145684
14,bbmerge,10000000,120,0,14,34434,1357,35791,14.211939850810566
15,bbmerge,10000000,120,0,15,41162,1266,42428,15.252188544982996
16,bbmerge,10000000,120,0,16,19797,466,20263,16.383178277396407
17,bbmerge,10000000,120,0,23,159848,828,160676,22.879206747266405
18,bbmerge,10000000,120,0,26,495697,1181,496878,26.239998705344775
19,bbmerge,10000000,120,0,29,1290942,1814,1292756,28.52879279392701
20,bbmerge,10000000,120,0,25,465586,1542,467128,24.8135152628755
21,bbmerge,10000000,120,0,24,259889,1140,261029,23.597839082636103
22,bbmerge,10000000,120,0,22,847264,5211,852475,22.13760578402467
23,bbmerge,10000000,120,0,23,801770,3958,805728,23.087126662822964
24,bbmerge,10000000,120,0,24,629090,2424,631514,24.15850367354902
25,bbmerge,10000000,120,0,26,315384,858,316242,25.665322600907405
26,bbmerge,10000000,120,0,43,84898,4,84902,43.26857929525333
27,bbmerge,10000000,120,0,43,252732,12,252744,43.2349960843175
28,bbmerge,10000000,120,0,43,459942,24,459966,42.825144887566815
29,bbmerge,10000000,120,0,45,443484,15,443499,44.70801385867483
30,bbmerge,10000000,120,0,49,507928,7,507935,48.6071009953841
31,bbmerge,10000000,120,0,47,738966,14,738980,47.225046489856325
32,bbmerge,10000000,120,0,49,860010,12,860022,48.55328314912682
33,bbmerge,10000000,120,0,49,783168,9,783177,49.39617415372412
34,bbmerge,10000000,120,0,54,919878,4,919882,53.61672129457134
35,bbmerge,10000000,120,0,50,1291925,12,1291937,50.320600901970025
36,bbmerge,10000000,120,0,50,2745287,30,2745317,49.61471244668287
37,bbmerge,10000000,120,0,53,5213890,25,5213915,53.19223938119639
38,bbmerge,10000000,120,0,55,3118121,10,3118131,54.93894356966362
39,bbmerge,10000000,120,0,56,4658010,11,4658021,56.26808756997406
40,bbmerge,10000000,120,0,57,6886764,13,6886777,57.2407266806233
41,bbmerge,10000000,120,0,69,1150058382,159,1150058541,68.5932282332549
0,bbmerge,10000000,120,-10,0,0,2104149,2104149,0.0
1,bbmerge,10000000,120,-10,3,384287,345680,729967,3.246289738832429
2,bbmerge,10000000,120,-10,4,264143,178639,442782,3.942136786595907
3,bbmerge,10000000,120,-10,5,197587,102547,300134,4.663922366198216
4,bbmerge,10000000,120,-10,6,308328,119339,427667,5.543233457974386
5,bbmerge,10000000,120,-10,6,274997,80275,355272,6.4598066661225
6,bbmerge,10000000,120,-10,9,303993,41454,345447,9.208149823816614
7,bbmerge,10000000,120,-10,11,851245,71343,922588,11.116564338560035
8,bbmerge,10000000,120,-10,9,111194,15626,126820,9.093399288773853
9,bbmerge,10000000,120,-10,10,351851,39782,391633,9.931926663836144
10,bbmerge,10000000,120,-10,11,283343,27653,310996,10.510125495665498
11,bbmerge,10000000,120,-10,11,375804,28925,404729,11.458909563347351
12,bbmerge,10000000,120,-10,13,320272,17457,337729,12.865987421757819
13,bbmerge,10000000,120,-10,14,578471,26909,605380,13.521305103398902
14,bbmerge,10000000,120,-10,16,431718,11992,443710,15.682075967868112
15,bbmerge,10000000,120,-10,17,539030,12319,551349,16.50851135994521
16,bbmerge,10000000,120,-10,20,566984,5814,572798,19.935264654713954
17,bbmerge,10000000,120,-10,19,538905,6879,545784,18.994954904559833
18,bbmerge,10000000,120,-10,21,1095208,9769,1104977,20.5350312871022
19,bbmerge,10000000,120,-10,21,1470307,12516,1482823,20.736237592575378
20,bbmerge,10000000,120,-10,22,2084322,13237,2097559,21.999246166195405
21,bbmerge,10000000,120,-10,22,1627613,9243,1636856,22.48197521637296
22,bbmerge,10000000,120,-10,23,8855822,46227,8902049,22.84594270578588
23,bbmerge,10000000,120,-10,24,8378462,33958,8412420,23.939788432261658
24,bbmerge,10000000,120,-10,26,7843919,21252,7865171,25.683083620037543
25,bbmerge,10000000,120,-10,29,5787669,8122,5795791,28.5344973098548
26,bbmerge,10000000,120,-10,36,2674169,740,2674909,35.580772922449285
27,bbmerge,10000000,120,-10,37,4572424,859,4573283,37.26234913021895
28,bbmerge,10000000,120,-10,36,9061098,2163,9063261,36.22227967364802
29,bbmerge,10000000,120,-10,37,52306345,11016,52317361,36.766219018738575
30,bbmerge,10000000,120,-10,45,8436904,252,8437156,45.247955383497036
31,bbmerge,10000000,120,-10,48,24602715,379,24603094,48.12350515941546
32,bbmerge,10000000,120,-10,51,46952945,382,46953327,50.89603007844821
33,bbmerge,10000000,120,-10,56,71484541,181,71484722,55.965346576998755
34,bbmerge,10000000,120,-10,58,210115699,317,210116016,58.21399895353928
35,bbmerge,10000000,120,-10,61,628834482,529,628835011,60.750810414364
0,bbmerge,10000000,120,-20,0,0,389616,389616,0.0
1,bbmerge,10000000,120,-20,4,32283,25777,58060,3.5264465995458543
2,bbmerge,10000000,120,-20,2,29758,46473,76231,2.149309082311601
3,bbmerge,10000000,120,-20,5,30720,15658,46378,4.715757275074695
4,bbmerge,10000000,120,-20,5,57827,23434,81261,5.400357368763757
5,bbmerge,10000000,120,-20,6,48189,16025,64214,6.028316855150898
6,bbmerge,10000000,120,-20,7,24019,5582,29601,7.245165507693674
7,bbmerge,10000000,120,-20,8,44423,8588,53011,7.904739610746586
8,bbmerge,10000000,120,-20,8,18326,3259,21585,8.210676925271423
9,bbmerge,10000000,120,-20,10,65034,7694,72728,9.755494627860262
10,bbmerge,10000000,120,-20,11,54019,4186,58205,11.431610695671273
11,bbmerge,10000000,120,-20,12,104472,6383,110855,12.397304418654267
12,bbmerge,10000000,120,-20,15,128731,4618,133349,14.605358346310117
13,bbmerge,10000000,120,-20,13,117183,5517,122700,13.471415787692642
14,bbmerge,10000000,120,-20,14,121745,4785,126530,14.223115659268812
15,bbmerge,10000000,120,-20,18,193459,2801,196260,18.45518685685057
16,bbmerge,10000000,120,-20,20,1504336,16096,1520432,19.75249038095336
17,bbmerge,10000000,120,-20,22,211880,1230,213110,22.38698717640937
18,bbmerge,10000000,120,-20,13,313595,15225,328820,13.34400923698986
19,bbmerge,10000000,120,-20,28,1021672,1675,1023347,27.86008109369956
20,bbmerge,10000000,120,-20,32,1648915,1013,1649928,32.118555474081994
21,bbmerge,10000000,120,-20,36,5028291,1208,5029499,36.19457791849945
22,bbmerge,10000000,120,-20,40,26106967,2433,26109400,40.30654782820001
