predicted_phred,program,nfrags,fraglen,qual_shift,n_matches,n_mismatches,n_total,observed_phred_mean,observed_phred_lower,observed_phred_higher,alpha
0,fastp,100000000,120,-10,0,512623,512623,0.0,0.0,0.0,0.01
3,fastp,100000000,120,-10,22150102,22279528,44429630,2.997667106381081,2.9959940281123583,2.999340829435732,0.01
4,fastp,100000000,120,-10,51625377,33967240,85592617,4.013760453537342,4.012270028275192,4.015251390463853,0.01
5,fastp,100000000,120,-10,100542844,46440812,146983656,5.003692410004085,5.002334957402362,5.00505028703066,0.01
6,fastp,100000000,120,-10,136842846,45510003,182352849,6.028056887921864,6.0266206350282605,6.02949361595501,0.01
8,fastp,100000000,120,-10,7339540,1358208,8697748,8.064405365079384,8.055596727274438,8.073231905442867,0.01
11,fastp,100000000,120,-10,9807499,847052,10654551,10.996250803448731,10.98460483829341,11.00792808221013,0.01
12,fastp,100000000,120,-10,1063560,71157,1134717,12.02669931570042,11.986287567460788,12.067490636014224,0.01
13,fastp,100000000,120,-10,31058202,1635997,32694199,13.006881987678792,12.998365959835613,13.015414747312255,0.01
14,fastp,100000000,120,-10,19140394,791890,19932284,14.008922077535825,13.996620787584536,14.021258309600269,0.01
15,fastp,100000000,120,-10,61281396,1985628,63267024,15.032795179533,15.024989014980267,15.04061540043464,0.01
16,fastp,100000000,120,-10,29601635,756788,30358423,16.033049708657742,16.0203703176676,16.045766226025798,0.01
17,fastp,100000000,120,-10,61030701,1234789,62265490,17.026546581837827,17.01659120680511,17.03652483011705,0.01
18,fastp,100000000,120,-10,62392172,998749,63390921,18.025707041526985,18.014616057842794,18.036826421826333,0.01
19,fastp,100000000,120,-10,104040767,1319024,105359791,19.02422202729425,19.014553599608085,19.03391202723297,0.01
20,fastp,100000000,120,-10,14154799,140745,14295544,20.067677111893097,20.03810672172859,20.097450223016224,0.01
21,fastp,100000000,120,-10,109635028,874150,110509178,21.018123866066123,21.006222722108205,21.03005771283825,0.01
22,fastp,100000000,120,-10,45673657,285533,45959190,22.067160575911814,22.04634068085214,22.088080761656297,0.01
23,fastp,100000000,120,-10,244703041,1218093,245921134,23.05115405346904,23.04105506499051,23.061276580660568,0.01
24,fastp,100000000,120,-10,538328482,2126626,540455108,24.050685066110052,24.043035845610238,24.05834778294203,0.01
25,fastp,100000000,120,-10,208089842,657476,208747318,25.017410000476815,25.003657280214192,25.031206409600856,0.01
26,fastp,100000000,120,-10,333592409,835016,334427425,26.026070876943802,26.01386130304235,26.038314873128105,0.01
27,fastp,100000000,120,-10,490442187,975739,491417926,27.02117330718209,27.009874361989986,27.032501725290153,0.01
28,fastp,100000000,120,-10,8943875558,14095016,8957970574,28.03144058300294,28.028464275229563,28.034418931899037,0.01
