,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,fastp,100000000,120,0,0.01,2,0.6309573444801932,190808,29638,220446,0.13444562387160575,0.13257977793194065,0.1363272715206768,8.714533292483699,8.654172572525354,8.775227127510842
1,fastp,100000000,120,0,0.01,13,0.05011872336272722,42337923,177838,42515761,0.004182872323513155,0.0041574202044585284,0.0042084354558137305,23.785253914652586,23.75879329150763,23.811760776696968
2,fastp,100000000,120,0,0.01,14,0.039810717055349734,82675364,294896,82970260,0.003554237385781363,0.0035374309144522442,0.003571100807152172,24.492535692454027,24.47197890111896,24.513120330973774
3,fastp,100000000,120,0,0.01,15,0.03162277660168379,142984686,4674700,147659386,0.03165867153206231,0.03162156843449104,0.03169580480816714,14.995073130491377,14.989982163069461,15.000165927987645
4,fastp,100000000,120,0,0.01,16,0.025118864315095794,178863762,4616432,183480194,0.025160383250957322,0.02513061125853122,0.02519017986881733,15.992827478647545,15.987687314397219,15.997969478189402
5,fastp,100000000,120,0,0.01,18,0.015848931924611134,8621198,138934,8760132,0.015859806678712146,0.015751285073366206,0.01596885442788376,17.99702110768746,17.967262381191027,18.02684008382014
6,fastp,100000000,120,0,0.01,21,0.007943282347242814,10618435,84807,10703242,0.00792348710792487,0.007853853514508402,0.007993558473815554,21.01083644366092,20.972598437768358,21.04917203197248
7,fastp,100000000,120,0,0.01,22,0.00630957344480193,1132609,7167,1139776,0.006288077657364254,0.006098979884961109,0.006481309384381628,22.014821034259455,21.88337247066714,22.14742798986093
8,fastp,100000000,120,0,0.01,23,0.005011872336272725,32667643,164578,32832221,0.005012697739820891,0.004981006584424241,0.005044532414118064,22.999284820786524,22.97179083020627,23.026828841706028
9,fastp,100000000,120,0,0.01,24,0.003981071705534973,19939915,79725,20019640,0.003982339342765404,0.003946175250551631,0.004018739365173274,23.998617356669037,23.959101590076408,24.038236315375883
10,fastp,100000000,120,0,0.01,25,0.0031622776601683794,63331731,200760,63532491,0.003159957949704821,0.0031418499837801983,0.003178140355762582,25.00318696600795,24.978269270193934,25.02814555378745
11,fastp,100000000,120,0,0.01,26,0.0025118864315095794,30412655,76381,30489036,0.002505195638195973,0.0024819372425947117,0.0025286094139875814,26.01158353121564,25.971182495208673,26.052092041182703
12,fastp,100000000,120,0,0.01,27,0.001995262314968879,62372996,124971,62497967,0.0019996010430227275,0.0019850756462657104,0.0020142023014951826,26.99056645384692,26.958969121286028,27.02222938709532
13,fastp,100000000,120,0,0.01,28,0.001584893192461114,63560165,101453,63661618,0.001593628990076878,0.0015807810562188385,0.0016065514661585123,27.976127784962415,27.941053571895708,28.011282772281838
14,fastp,100000000,120,0,0.01,29,0.0012589254117941675,105614027,132967,105746994,0.0012574069008524252,0.0012485479842742064,0.0012663107181636324,29.00524160500938,28.9745971720425,29.03594762159208
15,fastp,100000000,120,0,0.01,30,0.001,14355830,14735,14370565,0.001025359824057022,0.0010037433978710153,0.0010473073024698243,29.891237032133162,29.799258682877074,29.983772982787585
16,fastp,100000000,120,0,0.01,31,0.0007943282347242813,110885530,88855,110974385,0.0008006802650900025,0.0007937810562879122,0.0008076223064884536,30.96540875711809,30.92791694370474,31.00299269812575
17,fastp,100000000,120,0,0.01,32,0.000630957344480193,46169958,30085,46200043,0.0006511898701046663,0.0006415630944608397,0.0006609196284941277,31.862923639417417,31.7985134992999,31.927606265396612
18,fastp,100000000,120,0,0.01,33,0.0005011872336272725,247060760,126439,247187199,0.0005115111159134094,0.0005078142824355147,0.0005152271869758307,32.91144923970591,32.88001228641133,32.94295088622392
19,fastp,100000000,120,0,0.01,34,0.00039810717055349735,542806985,219571,543026556,0.00040434670749325195,0.0004021278993566746,0.00040657427369672483,33.93246088903888,33.90860105149599,33.95635794799789
20,fastp,100000000,120,0,0.01,35,0.00031622776601683794,209599978,66924,209666902,0.00031919201057303744,0.0003160232922509998,0.0003223834247444435,34.959479876454544,34.916272954248775,35.00280906864867
21,fastp,100000000,120,0,0.01,36,0.00025118864315095795,335793080,84933,335878013,0.00025286859131204876,0.000250639482426096,0.000255111867861757,35.9710511081761,35.93269337442797,36.00950514949375
22,fastp,100000000,120,0,0.01,37,0.00019952623149688788,493460336,99328,493559664,0.00020124821221209033,0.00019960738085522678,0.0002028986854093473,36.96267968996728,36.927207667730414,36.99823403903197
23,fastp,100000000,120,0,0.01,38,0.00015848931924611142,8995943857,1441812,8997385669,0.00016024788233405226,0.00015990435863377783,0.0001605919341105544,37.95207700946196,37.94276271381413,37.96139698199984
