predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,fastp,10000000,120,-20,0,0,13397753,13397753,0.0
1,fastp,10000000,120,-20,1,71526,276508,348034,0.9991397200276596
2,fastp,10000000,120,-20,2,13716,23238,36954,2.014627071041716
3,fastp,10000000,120,-20,3,533825,535131,1068956,3.0049971902660055
4,fastp,10000000,120,-20,4,393981,233816,627797,4.289450094825219
5,fastp,10000000,120,-20,6,1428814,555998,1984812,5.526461476097156
6,fastp,10000000,120,-20,7,751571,211423,962994,6.584713502480528
7,fastp,10000000,120,-20,8,1644606,348291,1992897,7.575426011645298
8,fastp,10000000,120,-20,9,1759016,280232,2039248,8.619523186979144
9,fastp,10000000,120,-20,10,3032766,373060,3405826,9.604437706609975
10,fastp,10000000,120,-20,11,427465,35292,462757,11.17676726375121
11,fastp,10000000,120,-20,12,3352159,247260,3599419,11.630785398986635
12,fastp,10000000,120,-20,13,1438618,67954,1506572,13.457748658565496
13,fastp,10000000,120,-20,14,7772486,307443,8079929,14.196429352744591
14,fastp,10000000,120,-20,15,17301656,521593,17823249,15.336551201108652
15,fastp,10000000,120,-20,15,6646390,193255,6839645,15.48902821955384
16,fastp,10000000,120,-20,17,10727786,240287,10968073,16.59400057064243
17,fastp,10000000,120,-20,18,15860786,274118,16134904,17.698288312787366
18,fastp,10000000,120,-20,19,290557570,3908491,294466061,18.770261306801316
