predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
2,fastp,10000000,120,0,9,19266,2863,22129,8.881404407680836
13,fastp,10000000,120,0,24,4282141,17848,4299989,23.818777873165004
14,fastp,10000000,120,0,24,8358781,29827,8388608,24.490803260568576
15,fastp,10000000,120,0,15,14463687,472904,14936591,14.994785016671365
16,fastp,10000000,120,0,16,18082193,466177,18548370,15.997549078326303
18,fastp,10000000,120,0,18,872060,14008,886068,18.01090919389025
21,fastp,10000000,120,0,21,1071780,8527,1080307,21.027509271884806
22,fastp,10000000,120,0,22,114711,745,115456,21.902602344415172
23,fastp,10000000,120,0,23,3307108,16632,3323740,23.006825673742092
24,fastp,10000000,120,0,24,2016286,8040,2024326,24.010244043799712
25,fastp,10000000,120,0,25,6407900,20318,6428218,25.00209640570954
26,fastp,10000000,120,0,26,3073468,7746,3081214,25.99644369831628
27,fastp,10000000,120,0,27,6304350,12637,6316987,26.98865997651629
28,fastp,10000000,120,0,28,6422613,10188,6432801,28.003111803289574
29,fastp,10000000,120,0,29,10680128,13676,10693804,28.931731278026113
30,fastp,10000000,120,0,30,1453587,1479,1455066,29.929145188341238
31,fastp,10000000,120,0,31,11213954,9003,11222957,30.957200488066327
32,fastp,10000000,120,0,32,4668661,2940,4671601,32.01118412318446
33,fastp,10000000,120,0,33,24982685,12916,24995601,32.867355471457934
34,fastp,10000000,120,0,34,54881080,22327,54903407,33.90768922807307
35,fastp,10000000,120,0,35,21179478,6682,21186160,35.01145776492392
36,fastp,10000000,120,0,36,33960231,8640,33968871,35.94567370284035
37,fastp,10000000,120,0,37,49890801,10108,49900909,36.93443223599729
38,fastp,10000000,120,0,38,909609544,145636,909755180,37.956557948604875
