,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,fastp,100000000,120,-10,0.01,0,1.0,0,518348,518348,1.0,0.9999897785073191,1.0,0.0,0.0,4.439160555603952e-05
1,fastp,100000000,120,-10,0.01,3,0.5011872336272722,22364211,22463495,44827706,0.5011073955022369,0.5009150251281135,0.5012997656413334,3.0006918775420717,2.999024984204581,3.002359412943871
2,fastp,100000000,120,-10,0.01,4,0.3981071705534972,52125176,34278340,86403516,0.39672390183751316,0.39658833485521583,0.39685948019138695,4.015116333462867,4.013632407945797,4.016600641663092
3,fastp,100000000,120,-10,0.01,5,0.31622776601683794,101513370,46861495,148374865,0.3158317616666408,0.3157334658434945,0.31593006929842393,5.005441972443132,5.004090372512133,5.006793830717521
4,fastp,100000000,120,-10,0.01,6,0.251188643150958,138114496,45926765,184041261,0.24954602435591874,0.24946386122525777,0.24962820043328238,6.028493447080575,6.027063540827665,6.029923598891811
5,fastp,100000000,120,-10,0.01,8,0.15848931924611134,7406279,1373517,8779796,0.1564406507850524,0.1561249834164128,0.15675669050498908,8.056503860734654,8.047739140545712,8.065275947485418
6,fastp,100000000,120,-10,0.01,11,0.07943282347242814,9903051,852130,10755181,0.07922972193587444,0.07901771896478049,0.07944209720123796,11.01111868267876,10.999492993703946,11.022755114213068
7,fastp,100000000,120,-10,0.01,12,0.06309573444801933,1071990,71766,1143756,0.06274590034937522,0.06216320370318784,0.06333223764390428,12.02414644568963,11.983751672824518,12.064666114085172
8,fastp,100000000,120,-10,0.01,13,0.05011872336272722,31363535,1652468,33016003,0.050050516411692836,0.04995281776400018,0.0501483447353438,13.005914371938218,12.997433973229287,13.014400088425779
9,fastp,100000000,120,-10,0.01,14,0.039810717055349734,19322336,798129,20120465,0.03966752259453248,0.03955552702340093,0.039779735883609724,14.015649222160757,14.003381046874923,14.027928247312138
10,fastp,100000000,120,-10,0.01,15,0.03162277660168379,61870784,2006528,63877312,0.03141221722041153,0.03135602795033021,0.03146847629043403,15.029014079948357,15.021242851985374,15.036789571007745
11,fastp,100000000,120,-10,0.01,16,0.025118864315095794,29887074,764512,30651586,0.024942004632321473,0.024869506352443782,0.025014650400033034,16.030686444513545,16.018055623547273,16.043328351778893
12,fastp,100000000,120,-10,0.01,17,0.0199526231496888,61602212,1243656,62845868,0.01978898596801941,0.01974376105765574,0.019834283587396917,17.035764594457866,17.025834815855596,17.045701135205118
13,fastp,100000000,120,-10,0.01,18,0.015848931924611134,62973413,1006280,63979693,0.015728115481892044,0.015688076205173762,0.015768226784994566,18.033233107425886,18.02217142485371,18.04430309740191
14,fastp,100000000,120,-10,0.01,19,0.012589254117941675,105009382,1329774,106339156,0.012505026840724597,0.012477286452677538,0.012532810850806597,19.0291537176506,19.019515147926445,19.03879854298338
15,fastp,100000000,120,-10,0.01,20,0.01,14292630,142117,14434747,0.009845479106769242,0.009778666510475986,0.009912614971490763,20.067631451060212,20.038117624794396,20.097203647039258
16,fastp,100000000,120,-10,0.01,21,0.007943282347242814,110657456,880867,111538323,0.007897438085024822,0.007875865892192357,0.007919052261842086,21.025137702265454,21.013267908954706,21.037016875030282
17,fastp,100000000,120,-10,0.01,22,0.00630957344480193,46093533,289306,46382839,0.006237349981962079,0.006207612918135874,0.0062671883684134455,22.04999886705556,22.029272518241875,22.070753717690014
18,fastp,100000000,120,-10,0.01,23,0.005011872336272725,247017017,1234145,248251162,0.004971356387850462,0.004959865743208058,0.00498286600704434,23.03525101932639,23.025207911720432,23.045300791092053
19,fastp,100000000,120,-10,0.01,24,0.003981071705534973,543380390,2146394,545526784,0.003934534587398004,0.003927634014004089,0.003941443813055723,24.051066325753215,24.04344660108019,24.058689875611854
20,fastp,100000000,120,-10,0.01,25,0.0031622776601683794,210053478,663253,210716731,0.003147604828778404,0.0031376739759066963,0.0031575581204342784,25.020197971051253,25.006486467420427,25.033921843375158
21,fastp,100000000,120,-10,0.01,26,0.0025118864315095794,336744105,843874,337587979,0.002499715785199804,0.0024927208726133188,0.002506724721430542,26.02109367302452,26.0089335592125,26.03326349763636
22,fastp,100000000,120,-10,0.01,27,0.001995262314968879,495092114,983252,496075366,0.0019820617337406752,0.0019769218558483015,0.0019872111646908053,27.02882823006448,27.01755981512578,27.040104972238147
23,fastp,100000000,120,-10,0.01,28,0.001584893192461114,9028692190,14232527,9042924717,0.0015738853794993945,0.0015728118265870838,0.0015749594567957548,28.030268989550343,28.027306215039122,28.033232338696457
