predicted_phred,program,nfrags,fraglen,qual_shift,n_matches,n_mismatches,n_total,observed_phred_mean,observed_phred_lower,observed_phred_higher,alpha
2,fastp,100000000,120,0,190808,29638,220446,8.714533292483699,8.654496315637184,8.77541186988396,0.01
13,fastp,100000000,120,0,42337923,177838,42515761,23.785253914652586,23.758862742653307,23.811806441331093,0.01
14,fastp,100000000,120,0,82675364,294896,82970260,24.492535692454027,24.472020875904033,24.513147875181804,0.01
15,fastp,100000000,120,0,142984686,4674700,147659386,14.995073130491377,14.9899846946199,15.000167535251698,0.01
16,fastp,100000000,120,0,178863762,4616432,183480194,15.992827478647545,15.987689907482302,15.997971134601494,0.01
18,fastp,100000000,120,0,8621198,138934,8760132,17.99702110768746,17.967349493022297,18.02689683837937,0.01
21,fastp,100000000,120,0,10618435,84807,10703242,21.01083644366092,20.972742840589564,21.049267139001277,0.01
22,fastp,100000000,120,0,1132609,7167,1139776,22.014821034259455,21.885055750942392,22.1485833843587,0.01
23,fastp,100000000,120,0,32667643,164578,32832221,22.999284820786524,22.971865758663952,23.02687809285224,0.01
24,fastp,100000000,120,0,19939915,79725,20019640,23.998617356669037,23.959256177437993,24.038338541272427,0.01
25,fastp,100000000,120,0,63331731,200760,63532491,25.00318696600795,24.978330914542486,25.028186095819795,0.01
26,fastp,100000000,120,0,30412655,76381,30489036,26.01158353121564,25.971344221403708,26.05219916561037,0.01
27,fastp,100000000,120,0,62372996,124971,62497967,26.99056645384692,26.959068215711874,27.022294810435213,0.01
28,fastp,100000000,120,0,63560165,101453,63661618,27.976127784962415,27.941175639713375,28.01136350988566,0.01
29,fastp,100000000,120,0,105614027,132967,105746994,29.00524160500938,28.974690439168313,29.036009211582254,0.01
30,fastp,100000000,120,0,14355830,14735,14370565,29.891237032133162,29.800090893395954,29.98433715255734,0.01
31,fastp,100000000,120,0,110885530,88855,110974385,30.96540875711809,30.92805643848946,31.003085120453026,0.01
32,fastp,100000000,120,0,46169958,30085,46200043,31.862923639417417,31.79892348887541,31.927881057684985,0.01
33,fastp,100000000,120,0,247060760,126439,247187199,32.91144923970591,32.88011047436209,32.9430157908272,0.01
34,fastp,100000000,120,0,542806985,219571,543026556,33.93246088903888,33.90865768733417,33.95639527279217,0.01
35,fastp,100000000,120,0,209599978,66924,209666902,34.959479876454544,34.916458107983324,35.002932091699066,0.01
36,fastp,100000000,120,0,335793080,84933,335878013,35.9710511081761,35.93283941722806,36.00960199388239,0.01
37,fastp,100000000,120,0,493460336,99328,493559664,36.96267968996728,36.92733263063647,36.99831679996757,0.01
38,fastp,100000000,120,0,8995943857,1441812,8997385669,37.95207700946196,37.94277135532612,37.96140264570265,0.01
0,fastp,100000000,120,-10,0,512623,512623,0.0,0.0,0.0,0.01
3,fastp,100000000,120,-10,22150102,22279528,44429630,2.997667106381081,2.9959940281123583,2.999340829435732,0.01
4,fastp,100000000,120,-10,51625377,33967240,85592617,4.013760453537342,4.012270028275192,4.015251390463853,0.01
5,fastp,100000000,120,-10,100542844,46440812,146983656,5.003692410004085,5.002334957402362,5.00505028703066,0.01
6,fastp,100000000,120,-10,136842846,45510003,182352849,6.028056887921864,6.0266206350282605,6.02949361595501,0.01
8,fastp,100000000,120,-10,7339540,1358208,8697748,8.064405365079384,8.055596727274438,8.073231905442867,0.01
11,fastp,100000000,120,-10,9807499,847052,10654551,10.996250803448731,10.98460483829341,11.00792808221013,0.01
12,fastp,100000000,120,-10,1063560,71157,1134717,12.02669931570042,11.986287567460788,12.067490636014224,0.01
13,fastp,100000000,120,-10,31058202,1635997,32694199,13.006881987678792,12.998365959835613,13.015414747312255,0.01
14,fastp,100000000,120,-10,19140394,791890,19932284,14.008922077535825,13.996620787584536,14.021258309600269,0.01
15,fastp,100000000,120,-10,61281396,1985628,63267024,15.032795179533,15.024989014980267,15.04061540043464,0.01
16,fastp,100000000,120,-10,29601635,756788,30358423,16.033049708657742,16.0203703176676,16.045766226025798,0.01
17,fastp,100000000,120,-10,61030701,1234789,62265490,17.026546581837827,17.01659120680511,17.03652483011705,0.01
18,fastp,100000000,120,-10,62392172,998749,63390921,18.025707041526985,18.014616057842794,18.036826421826333,0.01
19,fastp,100000000,120,-10,104040767,1319024,105359791,19.02422202729425,19.014553599608085,19.03391202723297,0.01
20,fastp,100000000,120,-10,14154799,140745,14295544,20.067677111893097,20.03810672172859,20.097450223016224,0.01
21,fastp,100000000,120,-10,109635028,874150,110509178,21.018123866066123,21.006222722108205,21.03005771283825,0.01
22,fastp,100000000,120,-10,45673657,285533,45959190,22.067160575911814,22.04634068085214,22.088080761656297,0.01
23,fastp,100000000,120,-10,244703041,1218093,245921134,23.05115405346904,23.04105506499051,23.061276580660568,0.01
24,fastp,100000000,120,-10,538328482,2126626,540455108,24.050685066110052,24.043035845610238,24.05834778294203,0.01
25,fastp,100000000,120,-10,208089842,657476,208747318,25.017410000476815,25.003657280214192,25.031206409600856,0.01
26,fastp,100000000,120,-10,333592409,835016,334427425,26.026070876943802,26.01386130304235,26.038314873128105,0.01
27,fastp,100000000,120,-10,490442187,975739,491417926,27.02117330718209,27.009874361989986,27.032501725290153,0.01
28,fastp,100000000,120,-10,8943875558,14095016,8957970574,28.03144058300294,28.028464275229563,28.034418931899037,0.01
0,fastp,100000000,120,-20,0,133492832,133492832,0.0,0.0,0.0,0.01
1,fastp,100000000,120,-20,712669,2756955,3469624,0.9985273578784176,0.9954749915623895,1.0015818710081312,0.01
2,fastp,100000000,120,-20,136601,233604,370205,1.9996200512494857,1.9855833509057699,2.0137022663335866,0.01
3,fastp,100000000,120,-20,5302381,5337669,10640050,2.9959203003291863,2.9925035098235746,2.9993397810946343,0.01
4,fastp,100000000,120,-20,3927594,2331956,6259550,4.288227610622204,4.282428745906335,4.294034228555824,0.01
5,fastp,100000000,120,-20,14229763,5537287,19767050,5.52644827032249,5.522416654131828,5.53048363259645,0.01
6,fastp,100000000,120,-20,7464018,2102905,9566923,6.579526249147303,6.572717751456761,6.586345437380507,0.01
7,fastp,100000000,120,-20,16367432,3458171,19825603,7.5837994084338085,7.57833702627614,7.589268669610173,0.01
8,fastp,100000000,120,-20,17529225,2782386,20311611,8.633269910627506,8.627044176789926,8.639504582043866,0.01
9,fastp,100000000,120,-20,30210138,3715180,33925318,9.605440671044583,9.59996733445793,9.610920914285838,0.01
