predicted_phred,program,nfrags,fraglen,qual_shift,n_matches,n_mismatches,n_total,observed_phred_mean,observed_phred_lower,observed_phred_higher,alpha
2,leeHom,100000000,120,-30,7987444,40836893,48824337,0.7758366241391825,0.7751286369801634,0.776544726733135,0.01
3,leeHom,100000000,120,-30,607988970,655332445,1263321415,2.8505218800823195,2.8502187379369426,2.8508250433888165,0.01
4,leeHom,100000000,120,-30,82826321,56963200,139789521,3.898802382327797,3.897661622971056,3.8999434414060126,0.01
5,leeHom,100000000,120,-30,208082750,87423352,295506102,5.289389989348643,5.2883861313524605,5.290394079437084,0.01
6,leeHom,100000000,120,-30,129824897,42818436,172643333,6.055190117099164,6.053707885851387,6.056672854399785,0.01
7,leeHom,100000000,120,-30,728739409,98918926,827658335,9.225717005921423,9.224661721538931,9.2267725467879,0.01
8,leeHom,100000000,120,-30,975377,2640909,3616286,1.365093334456307,1.3615197763134113,1.3686698354952478,0.01
9,leeHom,100000000,120,-30,7990251,4047630,12037881,4.733492396803831,4.7289646746298954,4.7380248442656985,0.01
10,leeHom,100000000,120,-30,36001920,46500544,82502464,2.4900888564606665,2.489005309926779,2.4911726734023403,0.01
11,leeHom,100000000,120,-30,4401240,367304,4768544,11.1336013637459,11.115904429255101,11.151370706092996,0.01
12,leeHom,100000000,120,-30,99349015,6360258,105709273,12.20638353143098,12.202085452936826,12.210685867815059,0.01
13,leeHom,100000000,120,-30,12329420,668357,12997777,12.888605806292652,12.875299165874834,12.90195334315754,0.01
14,leeHom,100000000,120,-30,206433247,8540244,214973491,14.009146301890475,14.005396777966244,14.012899065800363,0.01
15,leeHom,100000000,120,-30,91957166,2671125,94628291,15.49326784671361,15.48652568098332,15.500020495535104,0.01
16,leeHom,100000000,120,-30,8408626,234884,8643510,15.658367045878991,15.635660227463838,15.68119320975368,0.01
17,leeHom,100000000,120,-30,172019715,3621884,175641599,16.856928453445985,16.851115205478116,16.86274949316664,0.01
18,leeHom,100000000,120,-30,260636068,4084384,264720452,18.116609294576218,18.111120371525505,18.122105163698777,0.01
19,leeHom,100000000,120,-30,2549174931,30157418,2579332349,19.321131493077,19.319106846405745,19.323157084062842,0.01
