predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
2,leeHom,10000000,120,-20,0,32112,1626928,1659040,0.08488523553983345
3,leeHom,10000000,120,-20,3,11398270,12170316,23568586,2.8703167300679784
4,leeHom,10000000,120,-20,4,3648219,2476100,6124319,3.932896237374278
5,leeHom,10000000,120,-20,5,4843726,2039625,6883351,5.282495893825553
6,leeHom,10000000,120,-20,6,2847045,849491,3696536,6.386361580198269
7,leeHom,10000000,120,-20,7,1329876,334032,1663908,6.973412359465407
8,leeHom,10000000,120,-20,8,2537787,438692,2976479,8.31543108143337
9,leeHom,10000000,120,-20,8,835213,159217,994430,7.9558478104999155
10,leeHom,10000000,120,-20,10,3524736,399791,3924527,9.919543081351502
11,leeHom,10000000,120,-20,10,2659118,267834,2926952,10.385498929761862
12,leeHom,10000000,120,-20,13,5697366,316471,6013837,12.788177333819968
13,leeHom,10000000,120,-20,14,6893712,267400,7161112,14.278190632318992
14,leeHom,10000000,120,-20,14,5469240,218486,5687726,14.155150527961759
15,leeHom,10000000,120,-20,15,4617301,160008,4777309,14.750416358539361
16,leeHom,10000000,120,-20,15,6363131,186012,6549143,15.466435110037573
17,leeHom,10000000,120,-20,20,80407798,888112,81295910,19.61600958568343
18,leeHom,10000000,120,-20,11,324268,29978,354246,10.72502299807163
19,leeHom,10000000,120,-20,13,689629,38113,727742,12.809043051088697
20,leeHom,10000000,120,-20,4,691187,433123,1124310,4.14274826894718
21,leeHom,10000000,120,-20,21,390502,3156,393658,20.959820871534
22,leeHom,10000000,120,-20,22,687799,4305,692104,22.06198203453839
23,leeHom,10000000,120,-20,23,2679022,14176,2693198,22.78714578740944
24,leeHom,10000000,120,-20,24,835019,3457,838476,23.84791256610508
25,leeHom,10000000,120,-20,25,3668196,12528,3680724,24.68051508274511
26,leeHom,10000000,120,-20,26,8937134,21970,8959104,26.10434521121807
27,leeHom,10000000,120,-20,27,4854578,8950,4863528,27.35128385195885
28,leeHom,10000000,120,-20,28,1815009,2983,1817992,27.849387144328517
29,leeHom,10000000,120,-20,29,10989343,14294,11003637,28.863824772079276
30,leeHom,10000000,120,-20,30,10565353,10403,10575756,30.071528238848394
31,leeHom,10000000,120,-20,31,17511998,13376,17525374,31.17341034697997
32,leeHom,10000000,120,-20,32,6629352,3921,6633273,32.283310292562334
33,leeHom,10000000,120,-20,33,20043591,9092,20052683,33.43513061331707
34,leeHom,10000000,120,-20,34,11674306,4179,11678485,34.463141361177584
35,leeHom,10000000,120,-20,35,38581711,11248,38592959,35.35432770406038
36,leeHom,10000000,120,-20,36,4515965,1273,4517238,35.50044569210976
37,leeHom,10000000,120,-20,36,72807925,16310,72824235,36.49821970130714
38,leeHom,10000000,120,-20,38,31537691,5593,31543284,37.51262086812172
39,leeHom,10000000,120,-20,39,49777399,6897,49784296,38.584321441581395
40,leeHom,10000000,120,-20,40,70888835,7640,70896475,39.67531283855526
41,leeHom,10000000,120,-20,41,661171285,56813,661228098,40.65903577329399
