,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,leeHom,100000000,120,-10,0.01,2,0.6309573444801932,527915,716022,1243937,0.5756095364958194,0.5744673765379722,0.5767511179354947,2.3987201943799983,2.3901155499890026,2.407346294505972
1,leeHom,100000000,120,-10,0.01,3,0.5011872336272722,14275083,14350908,28625991,0.5013244082973407,0.5010836744398592,0.5015651417146709,2.9988115010310494,2.9967265416900535,3.000897465614175
2,leeHom,100000000,120,-10,0.01,4,0.3981071705534972,5580436,3920415,9500851,0.4126382994533858,0.41222688201548885,0.4130498043820777,3.8443046499756015,3.8399757918081385,3.84863690552155
3,leeHom,100000000,120,-10,0.01,5,0.31622776601683794,5029540,2169575,7199115,0.30136690412641,0.30092646202489637,0.3018076087671774,5.209044432771277,5.202698155745269,5.215396208139627
4,leeHom,100000000,120,-10,0.01,6,0.251188643150958,2693416,850627,3544043,0.24001599303394455,0.23943182857845136,0.24060085559319055,6.197598188926473,6.187028326123805,6.208181176840889
5,leeHom,100000000,120,-10,0.01,7,0.19952623149688797,1059817,263037,1322854,0.19884053720214023,0.19794737633171777,0.19973586510903618,7.014950722097131,6.9954394504202835,7.034502501745125
6,leeHom,100000000,120,-10,0.01,8,0.15848931924611134,2084766,414173,2498939,0.16573953986071688,0.16513407352904308,0.1663462792712127,7.805738712135022,7.789869087119153,7.821633057872131
7,leeHom,100000000,120,-10,0.01,9,0.12589254117941673,1578509,242867,1821376,0.13334259373133278,0.1326944557756815,0.13399264789574183,8.75031101390973,8.729190304852416,8.771472223980288
8,leeHom,100000000,120,-10,0.01,10,0.1,7461118,840256,8301374,0.10121890665328415,0.10094942533991447,0.1014888451033985,9.947383581654453,9.935816895366468,9.958961489582267
9,leeHom,100000000,120,-10,0.01,11,0.07943282347242814,3918232,322966,4241198,0.07614971052990216,0.07581832063207172,0.07648205161326516,11.183317432209801,11.164404707271256,11.202258393807224
10,leeHom,100000000,120,-10,0.01,12,0.06309573444801933,5711283,398473,6109756,0.06521913477395824,0.06496208691910565,0.06547685990429453,11.856249670355517,11.839121563666533,11.873400317518952
11,leeHom,100000000,120,-10,0.01,13,0.05011872336272722,9233823,477829,9711652,0.049201618838895796,0.04902301416199084,0.04938066527937712,13.080206077766757,13.06443063346652,13.095999898265639
12,leeHom,100000000,120,-10,0.01,14,0.039810717055349734,6228175,255158,6483333,0.03935599174066796,0.03915955255579462,0.03955310721197103,14.049891392435443,14.028193935314906,14.071622791686838
13,leeHom,100000000,120,-10,0.01,15,0.03162277660168379,5009695,160851,5170546,0.031109093701129437,0.03091276213145977,0.031306288565699836,15.07112640975249,15.043684159658815,15.09862187920939
14,leeHom,100000000,120,-10,0.01,16,0.025118864315095794,1716951,45658,1762609,0.025903646242586984,0.02559645106634112,0.02621340350026735,15.866390995643531,15.814765873928566,15.918202452017722
15,leeHom,100000000,120,-10,0.01,17,0.0199526231496888,3757252,75736,3832988,0.019758997419245767,0.0195763593228927,0.019942828621026365,17.042350954941206,17.002132428458687,17.082680721341305
16,leeHom,100000000,120,-10,0.01,18,0.015848931924611134,4008490,63072,4071562,0.015490860755651025,0.015333657642837895,0.0156491971509084,18.099244498299775,18.055079381094878,18.143542375377322
17,leeHom,100000000,120,-10,0.01,19,0.012589254117941675,6800472,90349,6890821,0.013111500066537789,0.01300014369466529,0.013223529226115138,18.823476185043052,18.786526205784565,18.860518472735237
18,leeHom,100000000,120,-10,0.01,20,0.01,15748489,164182,15912671,0.010317689594663271,0.010252553937911912,0.010383118198437069,19.86417541916548,19.83672202074353,19.891679372439995
19,leeHom,100000000,120,-10,0.01,21,0.007943282347242814,15154606,123834,15278440,0.008105146860543354,0.008046180439250317,0.008164419798944333,20.912391115809505,20.880746727852454,20.94410232404572
20,leeHom,100000000,120,-10,0.01,22,0.00630957344480193,97959315,577798,98537113,0.005863760185464334,0.005843966969801606,0.00588360112419406,22.318237996662535,22.3035677772448,22.332922473704304
21,leeHom,100000000,120,-10,0.01,23,0.005011872336272725,85493657,387442,85881099,0.004511376828095784,0.004492771532877082,0.004530037033348311,23.456908954632425,23.438982475869302,23.47485665656599
22,leeHom,100000000,120,-10,0.01,24,0.003981071705534973,7020243,28798,7049041,0.004085378422398167,0.004023758042981496,0.004147669142664734,23.887677092300915,23.821958943384132,23.953681422059287
23,leeHom,100000000,120,-10,0.01,25,0.0031622776601683794,66227480,228625,66456105,0.0034402407423667096,0.0034217677389739576,0.0034587848686123968,24.634111651543094,24.61076449630645,24.65749472616451
24,leeHom,100000000,120,-10,0.01,26,0.0025118864315095794,32138651,84138,32222789,0.0026111333814090396,0.002588034291038377,0.002634379453938851,25.83170943063916,25.793216694339325,25.870299736331347
25,leeHom,100000000,120,-10,0.01,27,0.001995262314968879,5915459,10330,5925789,0.001743227779456879,0.0016994024059076018,0.0017878551747914084,27.58645861944508,27.476676641398438,27.697037712355623
26,leeHom,100000000,120,-10,0.01,28,0.001584893192461114,7847768,12430,7860198,0.0015813850999682197,0.001545116199934804,0.00161825869779475,28.009623575026424,27.909520500637083,28.110388540431373
27,leeHom,100000000,120,-10,0.01,29,0.0012589254117941675,9173414,12168,9185582,0.0013246847069679417,0.0012939761765430324,0.001355910963304452,28.778874774391127,28.677688277367423,28.88073719410088
28,leeHom,100000000,120,-10,0.01,30,0.001,8824986,9753,8834739,0.0011039375356759265,0.0010753721098248903,0.001133041638763821,29.570554996853872,29.457541297190595,29.68441231301544
29,leeHom,100000000,120,-10,0.01,31,0.0007943282347242813,15899055,13216,15912271,0.0008305539793785564,0.0008120700082326904,0.0008493370815810808,30.80632136620865,30.709199144475722,30.90406528790178
30,leeHom,100000000,120,-10,0.01,32,0.000630957344480193,21142561,13130,21155691,0.0006206367827928665,0.0006067782269826294,0.0006347204265710893,32.07162488999057,31.974175249972756,32.16970011390497
31,leeHom,100000000,120,-10,0.01,33,0.0005011872336272725,41562600,21259,41583859,0.0005112320143255583,0.0005022478588606605,0.0005203306503019922,32.91381957647805,32.837205910461826,32.99081906022187
32,leeHom,100000000,120,-10,0.01,34,0.00039810717055349735,11802986,4919,11807905,0.0004165853299124612,0.0004014477613455414,0.0004321269416277529,33.80296027835815,33.64388656078233,33.963709595643465
33,leeHom,100000000,120,-10,0.01,35,0.00031622776601683794,108693826,37985,108731811,0.00034934578621154393,0.00034474678267948367,0.00035398856596979833,34.567444908127044,34.51010765704211,34.62499778150131
34,leeHom,100000000,120,-10,0.01,36,0.00025118864315095795,183270804,45486,183316290,0.0002481285214750964,0.0002451423535331232,0.00025114065691211884,36.05323312280316,36.00082974092078,36.10581648696251
35,leeHom,100000000,120,-10,0.01,37,0.00019952623149688788,15837159,3514,15840673,0.00022183400919897783,0.0002123143377725789,0.00023165518866019585,36.53971871734185,36.35157967935442,36.73020676558175
36,leeHom,100000000,120,-10,0.01,38,0.00015848931924611142,248705038,44049,248749087,0.0001770820569886152,0.0001749164778482859,0.0001792667760536215,37.51825441890748,37.465001918297595,37.57169276276039
37,leeHom,100000000,120,-10,0.01,39,0.00012589254117941674,6882951,886,6883837,0.00012870728926324084,0.00011784297003603061,0.00014026862780724958,38.90396856381103,38.5303945152137,39.28696320357513
38,leeHom,100000000,120,-10,0.01,40,0.0001,16281775,1626,16283401,9.98562892358912e-05,9.359326129210199e-05,0.00010641331782090813,40.006245768180555,39.730040158926045,40.287554193068694
39,leeHom,100000000,120,-10,0.01,41,7.943282347242822e-05,7630179,648,7630827,8.491871195612219e-05,7.657249989756476e-05,9.389470351917062e-05,40.709966018186975,40.27358905042441,41.159271740632384
40,leeHom,100000000,120,-10,0.01,42,6.309573444801929e-05,11860145,773,11860918,6.517202125501585e-05,5.929267404081173e-05,7.145620746373815e-05,41.859388095201695,41.459600376896866,42.269989629628235
41,leeHom,100000000,120,-10,0.01,43,5.011872336272725e-05,18144751,895,18145646,4.9323126881236415e-05,4.5180022347435234e-05,5.373068688008242e-05,43.069493987385066,42.69777607480389,43.450535586001315
