,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,leeHom,100000000,120,0,0.01,2,0.6309573444801932,3,16,19,0.8421052631578947,0.5318418181571855,0.9813842780837365,0.746336182969042,0.08160903758985712,2.7421751754810595
1,leeHom,100000000,120,0,0.01,3,0.5011872336272722,1395142,1373093,2768235,0.49601749851439636,0.4952432702563877,0.49679174046293806,3.045030021908621,3.038256332444951,3.051814172742679
2,leeHom,100000000,120,0,0.01,4,0.3981071705534972,753805,546054,1299859,0.4200871017548826,0.4189718953656876,0.42120289327781335,3.7666065272212568,3.7550865427127733,3.7781510853004696
3,leeHom,100000000,120,0,0.01,5,0.31622776601683794,592781,262251,855032,0.3067148364037837,0.305430785429354,0.3080010392528594,5.13265215825624,5.114478181066316,5.150871910246291
4,leeHom,100000000,120,0,0.01,6,0.251188643150958,273897,86258,360155,0.2395024364509725,0.23767270776127292,0.2413390531917896,6.2069006416244275,6.173723954001646,6.240206859587839
5,leeHom,100000000,120,0,0.01,7,0.19952623149688797,90858,22938,113796,0.20157123273225772,0.19851610025771782,0.2046513627851806,6.9557144820419525,6.889853590171803,7.022042648730075
6,leeHom,100000000,120,0,0.01,8,0.15848931924611134,210410,41583,251993,0.16501648855325346,0.16311615008067737,0.1669294915017041,7.824726586350611,7.774669295580839,7.87503037465626
7,leeHom,100000000,120,0,0.01,9,0.12589254117941673,110697,17411,128108,0.13590876447997002,0.133452201851467,0.13839242330277324,8.667525355960361,8.588876859476821,8.746742563159389
8,leeHom,100000000,120,0,0.01,10,0.1,686283,77971,764254,0.10202236429249961,0.10113236682479188,0.10291732071096082,9.913046162362331,9.87511528481816,9.951098287435586
9,leeHom,100000000,120,0,0.01,11,0.07943282347242814,434577,34863,469440,0.074265081799591,0.07328259493573386,0.07525620911696562,11.292153362570625,11.234576621927255,11.349991607059682
10,leeHom,100000000,120,0,0.01,12,0.06309573444801933,331075,20706,351781,0.05886048422171749,0.05784287283477041,0.05989004833588207,12.301761694542993,12.22645336406551,12.377501454281777
11,leeHom,100000000,120,0,0.01,13,0.05011872336272722,650865,32367,683232,0.0473733665870451,0.04671378309380281,0.04803926205025566,13.244657510494635,13.184036725839409,13.305549601531627
12,leeHom,100000000,120,0,0.01,14,0.039810717055349734,353404,14164,367568,0.03853436643015714,0.03772119845631994,0.03935950537391508,14.14151777151533,14.049503679319828,14.23414517559889
13,leeHom,100000000,120,0,0.01,15,0.03162277660168379,451051,14241,465292,0.030606586831495062,0.029959867706758958,0.03126292502030448,15.14185099115397,15.049703909761725,15.234601086745547
14,leeHom,100000000,120,0,0.01,16,0.025118864315095794,202573,5075,207648,0.02444039913700108,0.023576057092799196,0.025326611729213466,16.118917058934095,15.964229075538164,16.275288254505632
15,leeHom,100000000,120,0,0.01,17,0.0199526231496888,391356,7608,398964,0.019069389719373178,0.018516126610308103,0.019634156246864154,17.196632055250312,17.06987757250933,17.32449858242966
16,leeHom,100000000,120,0,0.01,18,0.015848931924611134,687269,10674,697943,0.015293512507468375,0.014917733325911287,0.015675915774516103,18.154927573987372,18.047670786183517,18.2629716069933
