predicted_phred,program,nfrags,fraglen,qual_shift,n_matches,n_mismatches,n_total,observed_phred_mean,observed_phred_lower,observed_phred_higher,alpha
2,leeHom,100000000,120,0,5,13,18,1.4132915279646932,0.025449576146132982,3.4651031172618363,0.01
3,leeHom,100000000,120,0,1395332,1375176,2770508,3.0420112424531247,3.035246628034271,3.0487864099429665,0.01
4,leeHom,100000000,120,0,753146,544880,1298026,3.7698252437580764,3.75829675722683,3.781384414497434,0.01
5,leeHom,100000000,120,0,593182,263026,856208,5.125806009352369,5.1076884289200315,5.143999488122989,0.01
6,leeHom,100000000,120,0,272490,86170,358660,6.1932685120197215,6.160178144713649,6.226612943076601,0.01
7,leeHom,100000000,120,0,91137,22728,113865,6.998290297665544,6.932407096139475,7.065188373995798,0.01
8,leeHom,100000000,120,0,209960,41974,251934,7.783064239076447,7.733501464879605,7.833199171967862,0.01
9,leeHom,100000000,120,0,110153,17503,127656,8.629287392440206,8.551443474943257,8.708552107204534,0.01
10,leeHom,100000000,120,0,687125,77828,764953,9.924988819631142,9.887149734570597,9.963160487829997,0.01
11,leeHom,100000000,120,0,435020,34321,469341,11.359285610671181,11.301537050365077,11.41781241927384,0.01
12,leeHom,100000000,120,0,331801,20899,352700,12.272799536938546,12.198386540824773,12.348509802103369,0.01
13,leeHom,100000000,120,0,651719,32623,684342,13.21749298578601,13.157468512701227,13.278358706442855,0.01
14,leeHom,100000000,120,0,353461,13981,367442,14.196505605845267,14.10469141135264,14.290302843142229,0.01
15,leeHom,100000000,120,0,452459,14092,466551,15.19926490117681,15.107440978546174,15.293072291414722,0.01
16,leeHom,100000000,120,0,201805,4910,206715,16.242904996512372,16.08796253382302,16.40358048014584,0.01
17,leeHom,100000000,120,0,391576,7923,399499,17.026260406269895,16.903584712031282,17.15250231517866,0.01
18,leeHom,100000000,120,0,687455,10723,698178,18.136498538302593,18.03060321738229,18.245040607325166,0.01
19,leeHom,100000000,120,0,1155472,14383,1169855,19.10282555137403,19.011098816025033,19.19653151249711,0.01
20,leeHom,100000000,120,0,1504049,14837,1518886,20.101790824232317,20.01134951665621,20.19415569011133,0.01
21,leeHom,100000000,120,0,1451282,11229,1462511,21.147580593962605,21.04367201722485,21.254036337634506,0.01
22,leeHom,100000000,120,0,8902091,55753,8957844,22.059352537794116,22.012378196005926,22.106840526215553,0.01
23,leeHom,100000000,120,0,8384025,41767,8425792,23.047774515852332,22.993513267889956,23.102722296700172,0.01
24,leeHom,100000000,120,0,6315725,24697,6340422,24.094739624796134,24.024269741038932,24.16637185992494,0.01
25,leeHom,100000000,120,0,2731215,8641,2739856,25.011637328497947,24.893116697398035,25.13348339776936,0.01
26,leeHom,100000000,120,0,7727,19,7746,26.103238916972348,24.088692536387715,29.977631481293365,0.01
27,leeHom,100000000,120,0,10020,23,10043,26.40135626674931,24.53608102408669,29.740691799588266,0.01
28,leeHom,100000000,120,0,10369,17,10386,27.859993968807636,25.753548436332466,32.11064435226309,0.01
29,leeHom,100000000,120,0,4618,3,4621,31.876147137990426,27.91996048011294,100.0,0.01
30,leeHom,100000000,120,0,14168,20,14188,28.508911841359243,26.53454351920631,32.23081878306415,0.01
31,leeHom,100000000,120,0,485496,366,485862,31.230318481702106,30.681928842316157,31.858099552458103,0.01
32,leeHom,100000000,120,0,1302031,746,1302777,32.42131255194762,32.03002473546037,32.851376837983565,0.01
33,leeHom,100000000,120,0,4107079,1836,4108915,33.49854480358491,33.245071232016684,33.76773420244079,0.01
34,leeHom,100000000,120,0,5037610,1760,5039370,34.568635784279294,34.30989323707852,34.843775683053615,0.01
35,leeHom,100000000,120,0,444869,138,445007,35.084877561245555,34.22400281242622,36.159675032440916,0.01
36,leeHom,100000000,120,0,6740284,1808,6742092,35.71596248301872,35.46056792814173,35.9873195576307,0.01
37,leeHom,100000000,120,0,4406964,924,4407888,36.785585797779035,36.43237056155153,37.17009200646327,0.01
38,leeHom,100000000,120,0,533418,87,533505,37.87619241361615,36.81722495201923,39.279618853848554,0.01
39,leeHom,100000000,120,0,24561,4,24565,37.88256777142878,34.28836863083984,100.0,0.01
40,leeHom,100000000,120,0,590546,42,590588,41.480353280071014,40.02700617098249,43.68038602764025,0.01
41,leeHom,100000000,120,0,161099,12,161111,41.27943947234486,38.86509496566438,47.18941546111509,0.01
42,leeHom,100000000,120,0,790745,41,790786,42.852751152818286,41.38444549024324,45.08767535951726,0.01
43,leeHom,100000000,120,0,1249019,65,1249084,42.83678288704699,41.632741633088195,44.508399423645926,0.01
44,leeHom,100000000,120,0,3598448,149,3598597,43.82946945154792,42.997971393525425,44.85878633445516,0.01
45,leeHom,100000000,120,0,3912880,133,3913013,44.68659649770008,43.81109302933283,45.78433705455236,0.01
46,leeHom,100000000,120,0,5443295,147,5443442,45.68556265114998,44.84893160981695,46.722769996992994,0.01
47,leeHom,100000000,120,0,4741081,133,4741214,45.52037917161751,44.6448733493482,46.61812343624242,0.01
48,leeHom,100000000,120,0,6580642,121,6580763,47.35490880057226,46.441179540566296,48.513551861409425,0.01
49,leeHom,100000000,120,0,6381528,84,6381612,48.80651109630546,47.73087005823071,50.23948898933793,0.01
50,leeHom,100000000,120,0,7932298,79,7932377,50.01776255333199,48.912532108787246,51.50396807528237,0.01
51,leeHom,100000000,120,0,10819705,81,10819786,51.25733652248812,50.16424409340808,52.721584378280546,0.01
52,leeHom,100000000,120,0,23514286,167,23514453,51.48618409368295,50.696822657571694,52.45161027892101,0.01
53,leeHom,100000000,120,0,23591545,140,23591685,52.26630925133938,51.41091809032698,53.332557426833404,0.01
54,leeHom,100000000,120,0,30057628,151,30057779,52.98979939680279,52.16331882188071,54.01142617947183,0.01
55,leeHom,100000000,120,0,22799685,76,22799761,54.771167022229434,53.64690216136096,56.29215604126037,0.01
56,leeHom,100000000,120,0,77041376,214,77041590,55.56311463917606,54.85874665188184,56.40426324787282,0.01
57,leeHom,100000000,120,0,176334456,354,176334810,56.97334792182929,56.416111331419586,57.61275509896173,0.01
58,leeHom,100000000,120,0,264530934,478,264531412,57.430493534765326,56.94679193600919,57.97489971689161,0.01
59,leeHom,100000000,120,0,324404962,434,324405396,58.735983399277615,58.22969726305481,59.309176171875336,0.01
60,leeHom,100000000,120,0,10939807423,271,10939807694,76.06040396921115,75.42905843565347,76.79940113825185,0.01
2,leeHom,100000000,120,-10,525647,716803,1242450,2.3887910612560606,2.3802052811999257,2.3973938485888455,0.01
3,leeHom,100000000,120,-10,14261595,14349378,28610973,2.996995513228416,2.994911030215321,2.999080997211175,0.01
4,leeHom,100000000,120,-10,5583109,3919131,9502240,3.846362149340365,3.8420328753249846,3.850695743308703,0.01
5,leeHom,100000000,120,-10,5028711,2168714,7197425,5.20974865017314,5.2034037801196495,5.216102803394006,0.01
6,leeHom,100000000,120,-10,2686548,851186,3537734,6.187007035807566,6.176453546169327,6.197586233233987,0.01
7,leeHom,100000000,120,-10,1059164,263331,1322495,7.008920503842319,6.989455192534148,7.028473452661821,0.01
8,leeHom,100000000,120,-10,2081748,415676,2497424,7.787373306792809,7.771560790440816,7.803243606437322,0.01
9,leeHom,100000000,120,-10,1578279,241654,1819933,8.768614116932513,8.747473817127883,8.78985782566389,0.01
10,leeHom,100000000,120,-10,7466468,840517,8306985,9.948969245052298,9.937416471408092,9.960552832498765,0.01
11,leeHom,100000000,120,-10,3920003,323579,4243582,11.177522700806568,11.158662566589616,11.19646509641582,0.01
12,leeHom,100000000,120,-10,5710385,397040,6107425,11.870238802943348,11.853105899919857,11.887439562997017,0.01
13,leeHom,100000000,120,-10,9226232,476361,9702593,13.08951615892844,13.073739592041676,13.105350246189719,0.01
14,leeHom,100000000,120,-10,6223946,255302,6479248,14.04470386319871,14.023058634553365,14.066457512214567,0.01
15,leeHom,100000000,120,-10,5011706,160107,5171813,15.092324934551556,15.064890552896648,15.119933721492341,0.01
16,leeHom,100000000,120,-10,1716219,45191,1761410,15.908085059851276,15.85644969939678,15.960341732435195,0.01
17,leeHom,100000000,120,-10,3757855,76294,3834149,17.011786011019986,16.971874825610858,17.052067380414638,0.01
18,leeHom,100000000,120,-10,4001827,63232,4065059,18.081299347259723,18.03738251890058,18.125664812982947,0.01
19,leeHom,100000000,120,-10,6803744,89679,6893423,18.857441720067392,18.82048754505512,18.894713039157615,0.01
20,leeHom,100000000,120,-10,15738964,164764,15903728,19.84636612574357,19.819036001505662,19.87386932803409,0.01
21,leeHom,100000000,120,-10,15145404,123882,15269286,20.90810521525173,20.87656603220315,20.939875117603314,0.01
22,leeHom,100000000,120,-10,97962109,577270,98539379,22.322308326584363,22.307652744770525,22.33701353222687,0.01
23,leeHom,100000000,120,-10,85498300,387776,85886076,23.453418344809297,23.435531504160284,23.47137915892317,0.01
24,leeHom,100000000,120,-10,7020037,28833,7048870,23.882296691202157,23.817043809506693,23.94854497443614,0.01
25,leeHom,100000000,120,-10,66208339,228063,66436402,24.64351271458422,24.620190990091157,24.666960353802384,0.01
26,leeHom,100000000,120,-10,32130546,84192,32214738,25.827837772073178,25.78950416925428,25.86651274714207,0.01
27,leeHom,100000000,120,-10,5912841,10461,5923302,27.52990673646766,27.421981375660167,27.640582619206555,0.01
28,leeHom,100000000,120,-10,7855341,12372,7867713,28.034085979245912,27.93473714158289,28.135760825891865,0.01
29,leeHom,100000000,120,-10,9173023,11999,9185022,28.839351475341367,28.738474651278025,28.942627273961396,0.01
30,leeHom,100000000,120,-10,8827193,9596,8836789,29.64204245976092,29.529381072917026,29.757704434748383,0.01
31,leeHom,100000000,120,-10,15891335,13136,15904471,30.830560888015206,30.734076455856396,30.929237651033162,0.01
32,leeHom,100000000,120,-10,21140287,12921,21153208,32.14080113363462,32.04351581602481,32.24031575087126,0.01
33,leeHom,100000000,120,-10,41570064,21206,41591270,32.92543424788566,32.84930539862761,33.002921429792615,0.01
34,leeHom,100000000,120,-10,11801072,4768,11805840,33.937606463671266,33.778579797335574,34.10267830691162,0.01
35,leeHom,100000000,120,-10,108670945,37671,108708616,34.60256817680692,34.54532061003542,34.66058045756531,0.01
36,leeHom,100000000,120,-10,183213972,45197,183259169,36.079561038985865,36.027264185659746,36.132495323942116,0.01
37,leeHom,100000000,120,-10,15835033,3480,15838513,36.58135161450269,36.39576289638599,36.77522658278149,0.01
38,leeHom,100000000,120,-10,248685649,43834,248729483,37.53916163861814,37.48606098951109,37.592919587810414,0.01
39,leeHom,100000000,120,-10,6881074,854,6881928,39.06252253950706,38.695684385551814,39.46322943344703,0.01
40,leeHom,100000000,120,-10,16273568,1664,16275232,39.90373866105904,39.63782597576413,40.18700088503693,0.01
41,leeHom,100000000,120,-10,7630784,650,7631434,40.69692795960934,40.278944186749186,41.15946647663587,0.01
42,leeHom,100000000,120,-10,11859227,879,11860106,41.30099695489832,40.93919158525202,41.69570578242453,0.01
43,leeHom,100000000,120,-10,18146057,913,18146970,42.983333437313306,42.62805404769871,43.37028724178373,0.01
44,leeHom,100000000,120,-10,13131550,571,13132121,43.61698767440316,43.17240245797417,44.11233023308306,0.01
45,leeHom,100000000,120,-10,15303061,559,15303620,44.37382365419275,43.924727571189166,44.87477357571955,0.01
46,leeHom,100000000,120,-10,55322050,1519,55323569,45.61352415416291,45.3355876406345,45.91047140506596,0.01
47,leeHom,100000000,120,-10,59433858,1301,59435159,46.59766132299854,46.2980946065031,46.919432561080335,0.01
48,leeHom,100000000,120,-10,126361279,2220,126363499,47.55268668545001,47.321527132229654,47.79684517003206,0.01
49,leeHom,100000000,120,-10,68237776,932,68238708,48.64614883153338,48.294359802294025,49.028965381822324,0.01
50,leeHom,100000000,120,-10,134227950,1453,134229403,49.65582044321545,49.37183910780988,49.959678356050404,0.01
51,leeHom,100000000,120,-10,124140109,1046,124141155,50.74384097180223,50.41103791322661,51.10427932880607,0.01
52,leeHom,100000000,120,-10,199253494,1320,199254814,51.788348915517865,51.49087135523257,52.10771091513344,0.01
53,leeHom,100000000,120,-10,72464201,373,72464574,52.88416911639011,52.340447993570216,53.50583715214077,0.01
54,leeHom,100000000,120,-10,218338106,890,218338996,53.89741302289781,53.5377480437686,54.28957554730869,0.01
55,leeHom,100000000,120,-10,125039688,418,125040106,54.75873051399847,54.2433939769026,55.34355516274936,0.01
56,leeHom,100000000,120,-10,458045537,1223,458046760,55.734833584640484,55.426185363469514,56.067106792238775,0.01
57,leeHom,100000000,120,-10,766668918,1671,766670589,56.616323532871895,56.35093882803627,56.898986684896556,0.01
58,leeHom,100000000,120,-10,329533758,584,329534342,57.51487833620119,57.075016886766775,58.0043628574394,0.01
59,leeHom,100000000,120,-10,517130683,677,517131360,58.830122064723184,58.42015661103748,59.28286016370433,0.01
60,leeHom,100000000,120,-10,7542633681,6598,7542640279,60.58111084777788,60.445529993287366,60.72106112669542,0.01
2,leeHom,100000000,120,-20,323806,16273195,16597001,0.0855679158364634,0.0851805928729312,0.08595527334624595,0.01
3,leeHom,100000000,120,-20,113983207,121692712,235675919,2.870506395121631,2.8698012204935224,2.8712116842692743,0.01
4,leeHom,100000000,120,-20,36510658,24765362,61276020,3.9344586871597524,3.9327238574078494,3.9361942101824985,0.01
5,leeHom,100000000,120,-20,48437446,20412726,68850172,5.280040234658889,5.277963958233178,5.282117504186289,0.01
6,leeHom,100000000,120,-20,28464352,8501130,36965482,6.383197159231172,6.379831677470932,6.386565251029658,0.01
7,leeHom,100000000,120,-20,13306025,3338575,16644600,6.977122257689151,6.971651660348862,6.982599754768249,0.01
8,leeHom,100000000,120,-20,25369661,4382943,29752604,8.317591592333871,8.312660232094277,8.322528558438142,0.01
9,leeHom,100000000,120,-20,8359482,1588378,9947860,7.967758014590806,7.959628908494611,7.975902365253243,0.01
10,leeHom,100000000,120,-20,35253756,3992766,39246522,9.925273172233267,9.919970419138272,9.930582407927208,0.01
11,leeHom,100000000,120,-20,26576548,2684470,29261018,10.374308763774225,10.367806695298572,10.380820581462498,0.01
12,leeHom,100000000,120,-20,57000332,3173249,60173581,12.779017057700946,12.77290933014353,12.78513338699767,0.01
13,leeHom,100000000,120,-20,68908122,2682324,71590446,14.263438325774514,14.25674227711971,14.27014471449025,0.01
14,leeHom,100000000,120,-20,54706215,2177004,56883219,14.17124937969659,14.163820445197503,14.178691043726088,0.01
15,leeHom,100000000,120,-20,46141933,1596068,47738001,14.75812838836539,14.74943164682232,14.766842580072247,0.01
16,leeHom,100000000,120,-20,63651665,1866727,65518392,15.452824210345355,15.44476150000649,15.460901917012869,0.01
17,leeHom,100000000,120,-20,804032231,8898856,812931087,19.60719552429946,19.603467680048702,19.610926571161123,0.01
18,leeHom,100000000,120,-20,3235415,300728,3536143,10.703559533557193,10.684090663863364,10.72311607287891,0.01
19,leeHom,100000000,120,-20,6895378,378409,7273787,12.837991223372336,12.820321261415167,12.855733372184709,0.01
20,leeHom,100000000,120,-20,6900279,4342352,11242631,4.131429313512463,4.12722564922489,4.135637050593086,0.01
21,leeHom,100000000,120,-20,3915708,30584,3946292,21.10694932067617,21.043693837704414,21.171139761457987,0.01
22,leeHom,100000000,120,-20,6876587,43490,6920077,22.01721519232037,21.964068328575237,22.071020507881776,0.01
23,leeHom,100000000,120,-20,26780871,141346,26922217,22.79827297708495,22.76869714735252,22.828051602621237,0.01
24,leeHom,100000000,120,-20,8363816,34114,8397930,23.912396051836264,23.85236908859161,23.973264332944307,0.01
25,leeHom,100000000,120,-20,36691481,126059,36817540,24.65480909691282,24.623468898111437,24.686377102406162,0.01
26,leeHom,100000000,120,-20,89337192,222761,89559953,26.042746981739995,26.01913893291225,26.066484064580745,0.01
27,leeHom,100000000,120,-20,48528694,90157,48618851,27.31805239025034,27.280989085712697,27.355434722847654,0.01
28,leeHom,100000000,120,-20,18141331,28729,18170060,28.010358520915467,27.944906835416766,28.076811729171922,0.01
29,leeHom,100000000,120,-20,109867671,143933,110011604,28.83278119361171,28.80341364421249,28.86234868292972,0.01
30,leeHom,100000000,120,-20,105693226,105774,105799000,30.001026346660314,29.96678258943753,30.0355422604018,0.01
31,leeHom,100000000,120,-20,175090635,134305,175224940,31.155037387589175,31.12463080704255,31.18565835788022,0.01
32,leeHom,100000000,120,-20,66246681,38685,66285366,32.33875057423021,32.282260033136765,32.39598560650774,0.01
33,leeHom,100000000,120,-20,200494618,93275,200587893,33.32539458798206,33.28892816490017,33.36216980350085,0.01
34,leeHom,100000000,120,-20,116726152,41845,116767997,34.456802583321,34.40246726999712,34.51182631692721,0.01
35,leeHom,100000000,120,-20,385757908,109600,385867508,35.4662765616598,35.43262148477584,35.500194482312686,0.01
36,leeHom,100000000,120,-20,45178799,12853,45191652,35.460537098989235,35.36298188677809,35.560334140360645,0.01
37,leeHom,100000000,120,-20,727929948,162395,728092343,36.51613810243839,36.48846980241558,36.543983804174715,0.01
38,leeHom,100000000,120,-20,315324919,54994,315379913,37.58518719703919,37.53774860623803,37.63314969413926,0.01
39,leeHom,100000000,120,-20,497801207,69089,497870296,38.577073094020605,38.53472366008158,38.619839560692824,0.01
40,leeHom,100000000,120,-20,708847477,77033,708924510,39.63923180184706,39.59911447582591,39.679723163664,0.01
41,leeHom,100000000,120,-20,6610725262,571671,6611296933,40.631405013805065,40.616635342174206,40.646225086217854,0.01
2,leeHom,100000000,120,-30,7987444,40836893,48824337,0.7758366241391825,0.7751286369801634,0.776544726733135,0.01
3,leeHom,100000000,120,-30,607988970,655332445,1263321415,2.8505218800823195,2.8502187379369426,2.8508250433888165,0.01
4,leeHom,100000000,120,-30,82826321,56963200,139789521,3.898802382327797,3.897661622971056,3.8999434414060126,0.01
5,leeHom,100000000,120,-30,208082750,87423352,295506102,5.289389989348643,5.2883861313524605,5.290394079437084,0.01
6,leeHom,100000000,120,-30,129824897,42818436,172643333,6.055190117099164,6.053707885851387,6.056672854399785,0.01
7,leeHom,100000000,120,-30,728739409,98918926,827658335,9.225717005921423,9.224661721538931,9.2267725467879,0.01
8,leeHom,100000000,120,-30,975377,2640909,3616286,1.365093334456307,1.3615197763134113,1.3686698354952478,0.01
9,leeHom,100000000,120,-30,7990251,4047630,12037881,4.733492396803831,4.7289646746298954,4.7380248442656985,0.01
10,leeHom,100000000,120,-30,36001920,46500544,82502464,2.4900888564606665,2.489005309926779,2.4911726734023403,0.01
11,leeHom,100000000,120,-30,4401240,367304,4768544,11.1336013637459,11.115904429255101,11.151370706092996,0.01
12,leeHom,100000000,120,-30,99349015,6360258,105709273,12.20638353143098,12.202085452936826,12.210685867815059,0.01
13,leeHom,100000000,120,-30,12329420,668357,12997777,12.888605806292652,12.875299165874834,12.90195334315754,0.01
14,leeHom,100000000,120,-30,206433247,8540244,214973491,14.009146301890475,14.005396777966244,14.012899065800363,0.01
15,leeHom,100000000,120,-30,91957166,2671125,94628291,15.49326784671361,15.48652568098332,15.500020495535104,0.01
16,leeHom,100000000,120,-30,8408626,234884,8643510,15.658367045878991,15.635660227463838,15.68119320975368,0.01
17,leeHom,100000000,120,-30,172019715,3621884,175641599,16.856928453445985,16.851115205478116,16.86274949316664,0.01
18,leeHom,100000000,120,-30,260636068,4084384,264720452,18.116609294576218,18.111120371525505,18.122105163698777,0.01
19,leeHom,100000000,120,-30,2549174931,30157418,2579332349,19.321131493077,19.319106846405745,19.323157084062842,0.01
