predicted_phred,program,nfrags,fraglen,qual_shift,n_matches,n_mismatches,n_total,observed_phred_mean,observed_phred_lower,observed_phred_higher,alpha
0,seqtk_adna_trim,100000000,120,-20,6110207,7689960,13800167,2.5396026117553276,2.536919177480632,2.542287705105157,0.01
1,seqtk_adna_trim,100000000,120,-20,1051306,936842,1988148,3.267823580812828,3.259427269212239,3.2762361566380345,0.01
2,seqtk_adna_trim,100000000,120,-20,937045,654506,1591551,3.85906927627333,3.8484722366308755,3.869692236573795,0.01
3,seqtk_adna_trim,100000000,120,-20,861994,519028,1381022,4.250098096834086,4.237847840866024,4.262383005181613,0.01
4,seqtk_adna_trim,100000000,120,-20,1709370,1227903,2937273,3.7878025275383504,3.780108026527149,3.7955106852837672,0.01
5,seqtk_adna_trim,100000000,120,-20,1519508,758917,2278425,4.774404559955007,4.763930511724358,4.7849039299352025,0.01
6,seqtk_adna_trim,100000000,120,-20,617590,210408,827998,5.94967039497182,5.928659006249615,5.970783932265419,0.01
7,seqtk_adna_trim,100000000,120,-20,1384080,290131,1674211,7.612160561265827,7.5933181117057185,7.6310851176857835,0.01
8,seqtk_adna_trim,100000000,120,-20,854309,135761,990070,8.628908729177276,8.600797354085445,8.657203252058022,0.01
9,seqtk_adna_trim,100000000,120,-20,2212238,252345,2464583,9.897487445324444,9.876440190902127,9.918637198195093,0.01
10,seqtk_adna_trim,100000000,120,-20,1501256,138680,1639936,10.728130666552936,10.699483921824397,10.756967625073957,0.01
11,seqtk_adna_trim,100000000,120,-20,2801633,193774,2995407,11.89160336038633,11.867095501476392,11.916250305906999,0.01
12,seqtk_adna_trim,100000000,120,-20,1683840,94892,1778732,12.728809180622989,12.693619036346453,12.764286795573751,0.01
13,seqtk_adna_trim,100000000,120,-20,6496249,275459,6771708,13.906412562778032,13.885586201710002,13.927339276985105,0.01
14,seqtk_adna_trim,100000000,120,-20,10424630,281824,10706454,15.796676807409412,15.775933294204712,15.817519875016036,0.01
15,seqtk_adna_trim,100000000,120,-20,5172772,68227,5240999,18.854578014407593,18.81223720824086,18.897335682564517,0.01
16,seqtk_adna_trim,100000000,120,-20,6914059,52996,6967055,21.188061475758104,21.139920763976164,21.236741805259086,0.01
17,seqtk_adna_trim,100000000,120,-20,11432561,63165,11495726,22.60059903388378,22.55643622472406,22.645215546176626,0.01
18,seqtk_adna_trim,100000000,120,-20,615149406,887529,616036935,28.41424198900869,28.40239236889154,28.42612402900535,0.01
