predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,seqtk_adna_trim,10000000,120,-20,3,3336820,4095713,7432533,2.588073295228735
1,seqtk_adna_trim,10000000,120,-20,3,580441,485268,1065709,3.4165697984229193
2,seqtk_adna_trim,10000000,120,-20,4,527074,339025,866099,4.073358125243728
3,seqtk_adna_trim,10000000,120,-20,5,490979,266797,757776,4.533599044974539
4,seqtk_adna_trim,10000000,120,-20,5,1170707,477266,1647973,5.381895953208103
5,seqtk_adna_trim,10000000,120,-20,6,956440,317656,1274096,6.03245089395206
6,seqtk_adna_trim,10000000,120,-20,7,372340,95739,468079,6.892302703447289
7,seqtk_adna_trim,10000000,120,-20,8,736984,146920,883904,7.793241795770792
8,seqtk_adna_trim,10000000,120,-20,9,448094,66325,514419,8.896397421692026
9,seqtk_adna_trim,10000000,120,-20,10,1164373,133450,1297823,9.8789688832779
10,seqtk_adna_trim,10000000,120,-20,11,765756,71003,836759,10.71323693430595
11,seqtk_adna_trim,10000000,120,-20,12,1396382,92085,1488467,12.085503181444997
12,seqtk_adna_trim,10000000,120,-20,13,829367,43172,872539,13.055826793988023
13,seqtk_adna_trim,10000000,120,-20,15,2950921,104926,3055847,14.642484892546124
14,seqtk_adna_trim,10000000,120,-20,17,4555860,92685,4648545,17.003075852103755
15,seqtk_adna_trim,10000000,120,-20,19,2786406,37412,2823818,18.778257765708144
16,seqtk_adna_trim,10000000,120,-20,21,3517469,25760,3543229,21.38453363140868
17,seqtk_adna_trim,10000000,120,-20,23,5801701,32391,5834092,22.555489173011736
18,seqtk_adna_trim,10000000,120,-20,28,300369731,437802,300807533,28.37010966701707
