predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,seqtk_adna_trim,10000000,120,0,3,1242,1150,2392,3.180633349627615
1,seqtk_adna_trim,10000000,120,0,3,332,299,631,3.2435817091970467
2,seqtk_adna_trim,10000000,120,0,4,315,196,511,4.161648287782366
3,seqtk_adna_trim,10000000,120,0,5,336,155,491,5.007497939526769
4,seqtk_adna_trim,10000000,120,0,5,1085,458,1543,5.275004480592791
5,seqtk_adna_trim,10000000,120,0,6,777,264,1041,5.958468026407051
6,seqtk_adna_trim,10000000,120,0,7,301,69,370,7.293526333297397
7,seqtk_adna_trim,10000000,120,0,8,345,71,416,7.678349819076674
8,seqtk_adna_trim,10000000,120,0,9,186,27,213,8.970158392797504
9,seqtk_adna_trim,10000000,120,0,9,332,51,383,8.756285978706863
10,seqtk_adna_trim,10000000,120,0,10,455,54,509,9.743240225137903
11,seqtk_adna_trim,10000000,120,0,12,525,36,561,11.926603604888742
12,seqtk_adna_trim,10000000,120,0,14,502,23,525,13.58431467388364
13,seqtk_adna_trim,10000000,120,0,12,491,32,523,12.133517105473683
14,seqtk_adna_trim,10000000,120,0,17,319,6,325,17.337321105952306
15,seqtk_adna_trim,10000000,120,0,16,968,24,992,16.163004304425726
16,seqtk_adna_trim,10000000,120,0,25,1437,5,1442,24.599952560473916
17,seqtk_adna_trim,10000000,120,0,15,351,12,363,14.807253789884879
18,seqtk_adna_trim,10000000,120,0,21,450,4,454,20.549958615291413
19,seqtk_adna_trim,10000000,120,0,22,730,5,735,21.67317334748176
20,seqtk_adna_trim,10000000,120,0,25,916,3,919,24.86194256666449
21,seqtk_adna_trim,10000000,120,0,24,689,3,692,23.629848397370953
22,seqtk_adna_trim,10000000,120,0,24,1863,8,1871,23.689838005080667
23,seqtk_adna_trim,10000000,120,0,24,2151,9,2160,23.80211241711606
24,seqtk_adna_trim,10000000,120,0,26,1542,4,1546,25.87149498254344
25,seqtk_adna_trim,10000000,120,0,26,1781,4,1785,26.495782291202495
26,seqtk_adna_trim,10000000,120,0,100,359,0,359,100.0
27,seqtk_adna_trim,10000000,120,0,100,738,0,738,100.0
28,seqtk_adna_trim,10000000,120,0,100,760,0,760,100.0
29,seqtk_adna_trim,10000000,120,0,100,1380,0,1380,100.0
30,seqtk_adna_trim,10000000,120,0,100,253,0,253,100.0
31,seqtk_adna_trim,10000000,120,0,100,1693,0,1693,100.0
32,seqtk_adna_trim,10000000,120,0,100,902,0,902,100.0
33,seqtk_adna_trim,10000000,120,0,100,5412,0,5412,100.0
34,seqtk_adna_trim,10000000,120,0,100,12789,0,12789,100.0
35,seqtk_adna_trim,10000000,120,0,100,6807,0,6807,100.0
36,seqtk_adna_trim,10000000,120,0,100,11498,0,11498,100.0
37,seqtk_adna_trim,10000000,120,0,100,17805,0,17805,100.0
38,seqtk_adna_trim,10000000,120,0,100,959731,0,959731,100.0
