,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,seqtk_adna_trim,100000000,120,-20,0.01,0,1.0,82584882,101376385,183961267,0.5510746183325645,0.5509801546806661,0.5511690793431336,2.5878959146402107,2.587151543938303,2.588640433766937
1,seqtk_adna_trim,100000000,120,-20,0.01,1,0.7943282347242815,13899615,11562749,25462364,0.45411137002047414,0.45385720264591023,0.45436555454166694,3.42837624116799,3.4259459991918817,3.4308076797542846
2,seqtk_adna_trim,100000000,120,-20,0.01,2,0.6309573444801932,12423357,7996199,20419556,0.3915951453596738,0.39131691297540017,0.39187342825449956,4.0716270082337855,4.0685418371169435,4.074713811993604
3,seqtk_adna_trim,100000000,120,-20,0.01,3,0.5011872336272722,11181188,6113221,17294409,0.35347961297781266,0.35318352501071715,0.3537757815528503,4.516356291840859,4.51271900928734,4.519995632026578
4,seqtk_adna_trim,100000000,120,-20,0.01,4,0.3981071705534972,24685553,10099545,34785098,0.2903411397604802,0.29014291028958583,0.29053942657568044,5.370914226420036,5.367949249520789,5.373880370578488
5,seqtk_adna_trim,100000000,120,-20,0.01,5,0.31622776601683794,20515703,6893074,27408777,0.25149148391407616,0.2512780410696417,0.25170501302254467,5.994767165791995,5.991081348435779,5.9984546229866815
6,seqtk_adna_trim,100000000,120,-20,0.01,6,0.251188643150958,7751909,2033648,9785557,0.20782138410721024,0.20748737164952213,0.20815568067180945,6.8230976706784405,6.816117325035739,6.830083307100789
7,seqtk_adna_trim,100000000,120,-20,0.01,7,0.19952623149688797,17381054,3479466,20860520,0.1667967049718799,0.1665865129420978,0.16700704897926044,7.778125329948319,7.7726519790517665,7.783601625446401
8,seqtk_adna_trim,100000000,120,-20,0.01,8,0.15848931924611134,10391709,1552810,11944519,0.13000188622078462,0.12975134231832408,0.13025272487630268,8.860503463905816,8.852131825285245,8.868881405436614
9,seqtk_adna_trim,100000000,120,-20,0.01,9,0.12589254117941673,28885487,3317334,32202821,0.10301377012902069,0.10287583499520025,0.10315182255691424,9.871047180974479,9.865230942112547,9.876866267994918
10,seqtk_adna_trim,100000000,120,-20,0.01,10,0.1,17703366,1647944,19351310,0.08515929929291609,0.08499593833482633,0.08532286423359325,10.697679206774907,10.689345739918847,10.70601827237688
11,seqtk_adna_trim,100000000,120,-20,0.01,11,0.07943282347242814,33603207,2224861,35828068,0.06209826887679235,0.06199445892839184,0.062202195120190096,12.069205065502434,12.061942887534906,12.076471260560162
12,seqtk_adna_trim,100000000,120,-20,0.01,12,0.06309573444801933,18351688,945498,19297186,0.04899667754666406,0.048870188845985374,0.04912338864800736,13.09833368381103,13.087116821688054,13.10955982751838
13,seqtk_adna_trim,100000000,120,-20,0.01,13,0.05011872336272722,72106164,2518841,74625005,0.03375331097130245,0.033699485059812795,0.03380719633022766,14.716836193947884,14.709908442830052,14.72376735253006
14,seqtk_adna_trim,100000000,120,-20,0.01,14,0.039810717055349734,115533506,2187685,117721191,0.018583612529030562,0.01855156640846256,0.01861569756064063,17.308698582152577,17.301206854159894,17.316194146833862
15,seqtk_adna_trim,100000000,120,-20,0.01,15,0.03162277660168379,73076997,872523,73949520,0.011798900114564638,0.011766580823791117,0.011831282228006001,19.28158475442929,19.2696818568728,19.29349717707745
16,seqtk_adna_trim,100000000,120,-20,0.01,16,0.025118864315095794,96457343,658111,97115454,0.006776583673284378,0.006755158881300294,0.006798056796416985,21.689891948895937,21.676152112934936,21.703644319179634
17,seqtk_adna_trim,100000000,120,-20,0.01,17,0.0199526231496888,157080572,813955,157894527,0.005155055184401673,0.005140386863091595,0.005169753329244853,22.877666812722484,22.86530178434786,22.890041949768055
18,seqtk_adna_trim,100000000,120,-20,0.01,18,0.015848931924611134,8330062039,11271052,8341333091,0.0013512290993583581,0.001350193298786162,0.0013522654686799473,28.692710105990656,28.689380419258907,28.696040518111403
