predicted_phred,program,nfrags,fraglen,qual_shift,observed_phred,n_matches,n_mismatches,n_total,observed_phred_unrounded
0,seqtk_adna_trim,10000000,120,0,3,1242,1150,2392,3.180633349627615
1,seqtk_adna_trim,10000000,120,0,3,332,299,631,3.2435817091970467
2,seqtk_adna_trim,10000000,120,0,4,315,196,511,4.161648287782366
3,seqtk_adna_trim,10000000,120,0,5,336,155,491,5.007497939526769
4,seqtk_adna_trim,10000000,120,0,5,1085,458,1543,5.275004480592791
5,seqtk_adna_trim,10000000,120,0,6,777,264,1041,5.958468026407051
6,seqtk_adna_trim,10000000,120,0,7,301,69,370,7.293526333297397
7,seqtk_adna_trim,10000000,120,0,8,345,71,416,7.678349819076674
8,seqtk_adna_trim,10000000,120,0,9,186,27,213,8.970158392797504
9,seqtk_adna_trim,10000000,120,0,9,332,51,383,8.756285978706863
10,seqtk_adna_trim,10000000,120,0,10,455,54,509,9.743240225137903
11,seqtk_adna_trim,10000000,120,0,12,525,36,561,11.926603604888742
12,seqtk_adna_trim,10000000,120,0,14,502,23,525,13.58431467388364
13,seqtk_adna_trim,10000000,120,0,12,491,32,523,12.133517105473683
14,seqtk_adna_trim,10000000,120,0,17,319,6,325,17.337321105952306
15,seqtk_adna_trim,10000000,120,0,16,968,24,992,16.163004304425726
16,seqtk_adna_trim,10000000,120,0,25,1437,5,1442,24.599952560473916
17,seqtk_adna_trim,10000000,120,0,15,351,12,363,14.807253789884879
18,seqtk_adna_trim,10000000,120,0,21,450,4,454,20.549958615291413
19,seqtk_adna_trim,10000000,120,0,22,730,5,735,21.67317334748176
20,seqtk_adna_trim,10000000,120,0,25,916,3,919,24.86194256666449
21,seqtk_adna_trim,10000000,120,0,24,689,3,692,23.629848397370953
22,seqtk_adna_trim,10000000,120,0,24,1863,8,1871,23.689838005080667
23,seqtk_adna_trim,10000000,120,0,24,2151,9,2160,23.80211241711606
24,seqtk_adna_trim,10000000,120,0,26,1542,4,1546,25.87149498254344
25,seqtk_adna_trim,10000000,120,0,26,1781,4,1785,26.495782291202495
26,seqtk_adna_trim,10000000,120,0,100,359,0,359,100.0
27,seqtk_adna_trim,10000000,120,0,100,738,0,738,100.0
28,seqtk_adna_trim,10000000,120,0,100,760,0,760,100.0
29,seqtk_adna_trim,10000000,120,0,100,1380,0,1380,100.0
30,seqtk_adna_trim,10000000,120,0,100,253,0,253,100.0
31,seqtk_adna_trim,10000000,120,0,100,1693,0,1693,100.0
32,seqtk_adna_trim,10000000,120,0,100,902,0,902,100.0
33,seqtk_adna_trim,10000000,120,0,100,5412,0,5412,100.0
34,seqtk_adna_trim,10000000,120,0,100,12789,0,12789,100.0
35,seqtk_adna_trim,10000000,120,0,100,6807,0,6807,100.0
36,seqtk_adna_trim,10000000,120,0,100,11498,0,11498,100.0
37,seqtk_adna_trim,10000000,120,0,100,17805,0,17805,100.0
38,seqtk_adna_trim,10000000,120,0,100,959731,0,959731,100.0
0,seqtk_adna_trim,10000000,120,-10,3,140526,142630,283156,2.9781488643713288
1,seqtk_adna_trim,10000000,120,-10,3,41142,35364,76506,3.3513411423266666
2,seqtk_adna_trim,10000000,120,-10,4,33750,21714,55464,4.072713536988724
3,seqtk_adna_trim,10000000,120,-10,5,30491,15801,46292,4.668213713738521
4,seqtk_adna_trim,10000000,120,-10,5,91679,36193,127872,5.481508750572543
5,seqtk_adna_trim,10000000,120,-10,7,70099,20181,90280,6.506488680032598
6,seqtk_adna_trim,10000000,120,-10,10,54774,6689,61463,9.632525583349311
7,seqtk_adna_trim,10000000,120,-10,8,26435,5242,31677,7.812470279880877
8,seqtk_adna_trim,10000000,120,-10,9,14155,1869,16024,9.331616349066877
9,seqtk_adna_trim,10000000,120,-10,9,19013,2419,21432,9.474268322382729
10,seqtk_adna_trim,10000000,120,-10,10,18804,1861,20665,10.4548903648696
11,seqtk_adna_trim,10000000,120,-10,12,26984,1910,28894,11.79774301203502
12,seqtk_adna_trim,10000000,120,-10,13,20305,1145,21450,12.726218098448363
13,seqtk_adna_trim,10000000,120,-10,14,42418,1753,44171,14.013553153938425
14,seqtk_adna_trim,10000000,120,-10,16,25614,735,26349,15.544767983875964
15,seqtk_adna_trim,10000000,120,-10,18,50998,866,51864,17.773481165775006
16,seqtk_adna_trim,10000000,120,-10,19,25488,330,25818,18.934086565883117
17,seqtk_adna_trim,10000000,120,-10,20,55140,535,55675,20.17306443684847
18,seqtk_adna_trim,10000000,120,-10,21,79615,707,80322,20.55415099975034
19,seqtk_adna_trim,10000000,120,-10,22,143426,947,144373,21.831360019906597
20,seqtk_adna_trim,10000000,120,-10,21,117325,956,118281,20.92457095311545
21,seqtk_adna_trim,10000000,120,-10,23,170361,775,171136,23.440396744035425
22,seqtk_adna_trim,10000000,120,-10,23,509201,2812,512013,22.60265671496385
23,seqtk_adna_trim,10000000,120,-10,25,704338,2118,706456,25.231591622145686
24,seqtk_adna_trim,10000000,120,-10,29,940762,1295,942057,28.618074125460403
25,seqtk_adna_trim,10000000,120,-10,30,523355,490,523845,30.29006722980606
